,mots,poids,serie
0,be,34899.655489846235,stargatesg1
1,the,16135.713732662689,stargatesg1
2,you,14340.30630121367,stargatesg1
3,to,13219.166286264173,stargatesg1
4,we,10815.680989700488,stargatesg1
5,not,9952.843412191645,stargatesg1
6,it,8790.970278207053,stargatesg1
7,have,8039.186699045856,stargatesg1
8,that,7827.917050843177,stargatesg1
9,of,6985.762014906409,stargatesg1
10,do,6851.89638706318,stargatesg1
11,and,5225.143547615395,stargatesg1
12,this,5164.589261587864,stargatesg1
13,they,5065.550204998806,stargatesg1
14,what,4750.054255676874,stargatesg1
15,in,4060.2302851541517,stargatesg1
16,know,3537.1904169614477,stargatesg1
17,he,3294.716913859814,stargatesg1
18,will,3285.7086760903894,stargatesg1
19,for,3233.156652204733,stargatesg1
20,go,3147.070681552134,stargatesg1
21,get,3126.0764020929773,stargatesg1
22,can,2958.3798590309148,stargatesg1
23,your,2720.2904819806618,stargatesg1
24,on,2566.0,stargatesg1
25,with,2554.538314987777,stargatesg1
26,would,2486.4449378844515,stargatesg1
27,there,2464.264959641369,stargatesg1
28,if,2429.9776605899856,stargatesg1
29,well,2414.229837207049,stargatesg1
30,no,2395.4915892366166,stargatesg1
31,think,2354.850721469918,stargatesg1
32,ori,2307.1519312153005,stargatesg1
33,jaffa,2248.504398204271,stargatesg1
34,just,2221.529183086833,stargatesg1
35,all,2144.122137139691,stargatesg1
36,so,2143.316020318316,stargatesg1
37,teal,2101.0840704587677,stargatesg1
38,here,2055.5554614347247,stargatesg1
39,my,2015.5754251820638,stargatesg1
40,but,1988.7840841821417,stargatesg1
41,ve,1942.9384749206363,stargatesg1
42,our,1924.054997697895,stargatesg1
43,stargate,1887.107565742866,stargatesg1
44,how,1818.8567613941327,stargatesg1
45,one,1789.4860581565654,stargatesg1
46,uld,1753.8138076608948,stargatesg1
47,say,1751.6502341398118,stargatesg1
48,from,1721.0284425466286,stargatesg1
49,out,1689.559610386282,stargatesg1
50,about,1686.6834373435777,stargatesg1
51,sir,1624.7779624063219,stargatesg1
52,right,1583.2573293209048,stargatesg1
53,goa,1576.052643686198,stargatesg1
54,come,1548.2050393865316,stargatesg1
55,see,1546.6288155812742,stargatesg1
56,now,1546.5760229117807,stargatesg1
57,take,1503.9851078457846,stargatesg1
58,as,1503.0,stargatesg1
59,she,1500.245199018899,stargatesg1
60,could,1477.0179545202222,stargatesg1
61,at,1430.920227882824,stargatesg1
62,like,1363.088060496631,stargatesg1
63,time,1344.331229272594,stargatesg1
64,make,1337.9010246923872,stargatesg1
65,sg,1337.7641322539835,stargatesg1
66,want,1228.0162818824379,stargatesg1
67,why,1202.5094413766203,stargatesg1
68,colonel,1196.007354917158,stargatesg1
69,need,1193.8327479781137,stargatesg1
70,ship,1184.603162876979,stargatesg1
71,tell,1174.6363213214436,stargatesg1
72,good,1154.6060057300804,stargatesg1
73,up,1144.4236587903808,stargatesg1
74,who,1138.4691122598963,stargatesg1
75,their,1138.032252393381,stargatesg1
76,his,1119.3804264494229,stargatesg1
77,yeah,1093.976240027449,stargatesg1
78,more,1084.6094338454382,stargatesg1
79,find,1062.636721796164,stargatesg1
80,neill,1059.9801321497416,stargatesg1
81,yes,1025.5739616890016,stargatesg1
82,an,999.0,stargatesg1
83,back,998.6140923203723,stargatesg1
84,thing,977.8079644488912,stargatesg1
85,anubis,966.3628739275404,stargatesg1
86,some,961.385297245474,stargatesg1
87,by,957.9247852419658,stargatesg1
88,look,945.8092999199469,stargatesg1
89,work,945.6230158358552,stargatesg1
90,when,936.0446491385093,stargatesg1
91,vala,934.2267291755999,stargatesg1
92,any,927.7394893330973,stargatesg1
93,way,927.6103555841855,stargatesg1
94,should,925.4687569750771,stargatesg1
95,then,904.7502108368164,stargatesg1
96,people,903.9603790248985,stargatesg1
97,mean,901.3843792416627,stargatesg1
98,carter,899.7114786563083,stargatesg1
99,let,899.1547658754872,stargatesg1
100,only,882.6806996738658,stargatesg1
101,give,852.306853671074,stargatesg1
102,replicator,841.1603008218696,stargatesg1
103,use,838.2207666781493,stargatesg1
104,where,826.478860069639,stargatesg1
105,try,824.6708150508829,stargatesg1
106,something,823.4945787754789,stargatesg1
107,other,819.3541880905625,stargatesg1
108,planet,818.0402062396157,stargatesg1
109,believe,804.4710749677348,stargatesg1
110,still,798.4928458335289,stargatesg1
111,happen,776.9739308259805,stargatesg1
112,help,767.8495147430108,stargatesg1
113,before,757.5965044636664,stargatesg1
114,weapon,745.0441096031429,stargatesg1
