,mots,poids,serie
0,etre,5083.537748119284,stargateuniverse
1,le,4834.922530172768,stargateuniverse
2,avoir,3541.609546807668,stargateuniverse
3,je,3216.1231695099127,stargateuniverse
4,de,2755.5894462182623,stargateuniverse
5,ce,2626.562538750399,stargateuniverse
6,vous,2026.3447335510475,stargateuniverse
7,pas,1961.8896292760342,stargateuniverse
8,que,1915.976119386331,stargateuniverse
9,un,1842.0739403000737,stargateuniverse
10,il,1696.267520331523,stargateuniverse
11,on,1506.0,stargateuniverse
12,cela,1408.7686408383752,stargateuniverse
13,pouvoir,1161.7547041971761,stargateuniverse
14,aller,1119.7230578803465,stargateuniverse
15,ne,906.5121289097222,stargateuniverse
16,faire,826.2908619536107,stargateuniverse
17,en,814.0538839155154,stargateuniverse
18,et,774.3225463003445,stargateuniverse
19,tout,707.6443824347549,stargateuniverse
20,savoir,686.1032968369883,stargateuniverse
21,devoir,670.6008997755814,stargateuniverse
22,se,633.5470973008356,stargateuniverse
23,vaisseau,608.0392037720942,stargateuniverse
24,mais,542.7596838322737,stargateuniverse
25,nous,532.2003515735349,stargateuniverse
26,sur,521.0456291450711,stargateuniverse
27,si,500.61756334170894,stargateuniverse
28,qui,496.65831035738887,stargateuniverse
29,me,491.45128228109905,stargateuniverse
30,dire,490.3091019296954,stargateuniverse
31,tu,465.74996026359577,stargateuniverse
32,pour,464.6221130736858,stargateuniverse
33,quoi,462.24213152736775,stargateuniverse
34,dans,449.22122641392076,stargateuniverse
35,vouloir,432.4277842381583,stargateuniverse
36,ici,429.4008885671362,stargateuniverse
37,lui,427.0892643018074,stargateuniverse
38,bien,426.0792800557143,stargateuniverse
39,moi,412.9324150285145,stargateuniverse
40,voir,389.75988513620615,stargateuniverse
41,mon,356.39662782689635,stargateuniverse
42,colonel,341.9695103689059,stargateuniverse
43,ou,340.23301233939645,stargateuniverse
44,rien,328.2678607578879,stargateuniverse
45,votre,305.53308907744685,stargateuniverse
46,au,302.83155984252977,stargateuniverse
47,autre,291.4870935847696,stargateuniverse
48,porte,283.50406156363044,stargateuniverse
49,te,281.6168922661377,stargateuniverse
50,plus,279.0933003469819,stargateuniverse
51,trouver,278.71322030975045,stargateuniverse
52,avec,265.2667739786584,stargateuniverse
53,rush,258.23618016626,stargateuniverse
54,passer,257.8962095976299,stargateuniverse
55,telford,255.63278138827957,stargateuniverse
56,planete,253.9433753987055,stargateuniverse
57,notre,245.0107669241682,stargateuniverse
58,quelque,244.31971058097633,stargateuniverse
59,bon,231.85431935403378,stargateuniverse
60,destiny,230.67439756115544,stargateuniverse
61,la,228.90460770327928,stargateuniverse
62,temps,228.19275326350532,stargateuniverse
63,arriver,228.0380893443413,stargateuniverse
64,eli,226.53216958198587,stargateuniverse
65,pourquoi,224.86147219396508,stargateuniverse
66,son,221.88223670056777,stargateuniverse
67,kino,220.9838188545114,stargateuniverse
68,penser,211.14637902253824,stargateuniverse
69,luire,202.70052386163673,stargateuniverse
70,falloir,197.6330107650958,stargateuniverse
71,non,195.7272534375459,stargateuniverse
72,oui,193.412564396484,stargateuniverse
73,parler,191.66430720474398,stargateuniverse
74,quand,184.88609935948242,stargateuniverse
75,young,181.82624776727775,stargateuniverse
76,comme,179.8128654900098,stargateuniverse
77,personne,177.38280357248965,stargateuniverse
78,hyperespace,176.97654096111663,stargateuniverse
79,prendre,176.53291453068525,stargateuniverse
80,chose,175.00769066012015,stargateuniverse
81,aussi,173.22661561609164,stargateuniverse
82,croire,172.2954452823912,stargateuniverse
83,par,170.08337065103373,stargateuniverse
84,taire,168.12658526731929,stargateuniverse
85,peu,167.34226752121666,stargateuniverse
86,allez,166.67581720899386,stargateuniverse
87,probleme,165.79184886762016,stargateuniverse
88,meme,160.24017346918296,stargateuniverse
89,systeme,159.68391663461685,stargateuniverse
90,vraiment,153.2389291988503,stargateuniverse
91,besoin,152.28146344430715,stargateuniverse
92,sans,151.36802194382113,stargateuniverse
93,essayer,145.26870876750633,stargateuniverse
94,comment,144.87365027576607,stargateuniverse
95,terre,141.5794454554595,stargateuniverse
96,fait,141.26798742290552,stargateuniverse
97,scott,137.83600850729763,stargateuniverse
98,venir,135.5472366921855,stargateuniverse
99,energie,130.7464371230004,stargateuniverse
100,arreter,130.06616947788356,stargateuniverse
101,juste,129.02384427165856,stargateuniverse
102,sortir,127.77620480316264,stargateuniverse
103,toi,127.41104621826283,stargateuniverse
104,fois,126.00180513939131,stargateuniverse
105,avant,124.2678896291623,stargateuniverse
106,aucun,123.30948534916233,stargateuniverse
107,mourir,122.15985529048817,stargateuniverse
108,encore,120.32083978313449,stargateuniverse
109,icarus,119.06811254198823,stargateuniverse
110,heure,118.26047796867793,stargateuniverse
111,toujours,118.24197225262142,stargateuniverse
112,rentrer,117.68860968712349,stargateuniverse
113,deux,116.67528560776755,stargateuniverse
114,alors,115.46616458963949,stargateuniverse
115,mieux,114.92919689913771,stargateuniverse
116,monde,114.3260779817771,stargateuniverse
117,lieutenant,114.07040654764698,stargateuniverse
118,navette,113.39045671492676,stargateuniverse
119,greer,112.86398535041008,stargateuniverse
120,rester,112.64481212910391,stargateuniverse
121,deja,112.5967301372023,stargateuniverse
122,attendre,111.48528812390019,stargateuniverse
123,chevron,109.05243543706858,stargateuniverse
124,revenir,103.03943296299866,stargateuniverse
125,raison,102.07122412368132,stargateuniverse
126,seul,100.87595116039157,stargateuniverse
127,jamais,100.66559257176857,stargateuniverse
128,merci,100.64996227295799,stargateuniverse
129,etoile,99.87575058006973,stargateuniverse
130,bouclier,99.78202707777949,stargateuniverse
131,trop,99.01533695583794,stargateuniverse
132,entrer,97.97191986645774,stargateuniverse
133,assez,97.97191986645774,stargateuniverse
134,lucienne,97.68313170834614,stargateuniverse
135,partir,97.51341945504518,stargateuniverse
136,tres,96.88171515005635,stargateuniverse
137,sg,95.30245797060041,stargateuniverse
138,depuis,94.59357780209713,stargateuniverse
139,finir,94.59357780209713,stargateuniverse
140,wray,93.40428550725599,stargateuniverse
141,maintenant,92.41431449211541,stargateuniverse
142,volker,92.25629105788246,stargateuniverse
143,gens,91.21523573773652,stargateuniverse
144,aimer,90.78835604435241,stargateuniverse
145,tuer,90.78835604435241,stargateuniverse
146,tj,89.5253489991336,stargateuniverse
147,celui,89.10709019167922,stargateuniverse
148,aider,89.10709019167922,stargateuniverse
149,donc,88.69140178624482,stargateuniverse
150,utiliser,84.4585516090153,stargateuniverse
151,laisser,84.06329263365964,stargateuniverse
152,composer,83.79062302588724,stargateuniverse
153,idee,83.67113376060833,stargateuniverse
154,ancien,83.55339730281061,stargateuniverse
155,chloe,83.01402842240438,stargateuniverse
156,entendre,83.00827009822449,stargateuniverse
157,truc,82.38202678098645,stargateuniverse
158,comprendre,81.08020954465468,stargateuniverse
159,ignorer,80.52362343669022,stargateuniverse
160,eau,80.12008673459148,stargateuniverse
161,vie,79.46851459911878,stargateuniverse
162,air,78.23697439279312,stargateuniverse
163,equipe,77.46443524793374,stargateuniverse
164,reste,77.33822922296686,stargateuniverse
165,apres,77.20459777763442,stargateuniverse
166,mal,77.09231587117237,stargateuniverse
167,adresse,76.8384956248912,stargateuniverse
168,sergent,76.71613624053643,stargateuniverse
169,repondre,76.01269644811377,stargateuniverse
170,cas,75.45718462527198,stargateuniverse
171,moins,74.32352541593346,stargateuniverse
172,travailler,73.97569751762047,stargateuniverse
173,mort,73.85171261196832,stargateuniverse
174,annee,73.28818352988492,stargateuniverse
175,controle,72.97698567866776,stargateuniverse
176,bord,72.6458205284718,stargateuniverse
177,tenir,72.63435438375316,stargateuniverse
178,arme,72.29443166494728,stargateuniverse
179,pret,71.29049501307667,stargateuniverse
180,beaucoup,71.27147324351158,stargateuniverse
181,envoyer,70.61316581227409,stargateuniverse
182,brody,70.1171001087099,stargateuniverse
183,vrai,68.9318999596009,stargateuniverse
184,equipage,68.53158263033808,stargateuniverse
185,quel,68.29126192557459,stargateuniverse
186,appeler,67.56684128721224,stargateuniverse
