,mots,poids,serie
0,be,41069.49817717856,supernatural
1,you,24377.048149376136,supernatural
2,not,13561.863487979139,supernatural
3,to,11918.844696473534,supernatural
4,it,11551.377528979006,supernatural
5,the,11438.909453103763,supernatural
6,do,10591.100846669988,supernatural
7,we,8889.619849815499,supernatural
8,what,8677.545094329273,supernatural
9,that,8666.08790141147,supernatural
10,this,5990.923543441922,supernatural
11,get,5948.664755584868,supernatural
12,know,5877.763066729155,supernatural
13,and,5861.981894828431,supernatural
14,have,5532.1445869153295,supernatural
15,go,5231.592921871114,supernatural
16,of,5187.543163941464,supernatural
17,he,5040.937691325628,supernatural
18,just,4309.6246644419325,supernatural
19,they,4150.600347397347,supernatural
20,in,3952.623089072197,supernatural
21,so,3795.398279257658,supernatural
22,no,3702.329979949192,supernatural
23,right,3664.7211155516698,supernatural
24,yeah,3394.8640781946333,supernatural
25,can,3361.7952943533123,supernatural
26,your,3307.701953495424,supernatural
27,dean,3256.776321004949,supernatural
28,all,3244.7549375485937,supernatural
29,think,3234.5991993647845,supernatural
30,like,3190.6038040527683,supernatural
31,for,3159.2277653402953,supernatural
32,here,3087.1369587350528,supernatural
33,she,3001.9469467747094,supernatural
34,there,2909.9903037239665,supernatural
35,my,2893.6219368023385,supernatural
36,well,2776.7549648653244,supernatural
37,on,2764.0,supernatural
38,about,2731.028881709161,supernatural
39,out,2538.7230024114115,supernatural
40,say,2535.6926124759266,supernatural
41,want,2529.713540677822,supernatural
42,but,2488.7521053450114,supernatural
43,see,2344.9377145149974,supernatural
44,will,2318.4324094165854,supernatural
45,with,2312.4553451927923,supernatural
46,come,2266.009194011196,supernatural
47,how,2247.177922452121,supernatural
48,okay,2221.269041257149,supernatural
49,would,2219.9838126450904,supernatural
50,tell,2097.0017548423084,supernatural
51,if,2074.827079426834,supernatural
52,sam,2046.1660099293074,supernatural
53,now,2030.332295251133,supernatural
54,thing,2010.8766615824923,supernatural
55,why,1967.8841440380659,supernatural
56,look,1940.8663470987428,supernatural
57,mean,1922.633702531419,supernatural
58,one,1847.2528247398118,supernatural
59,up,1768.9684293664377,supernatural
60,ve,1634.6766879004285,supernatural
61,could,1615.1450320949082,supernatural
62,kill,1575.7669364067635,supernatural
63,something,1564.1709171807483,supernatural
64,where,1550.4019491817317,supernatural
65,let,1535.3214548037322,supernatural
66,dad,1483.313867940508,supernatural
67,find,1461.321695704917,supernatural
68,take,1436.709432047514,supernatural
69,at,1412.7008714063531,supernatural
70,some,1367.4072431695336,supernatural
71,hell,1355.7617923067978,supernatural
72,good,1355.4664587979169,supernatural
73,his,1350.65737406294,supernatural
74,guy,1347.307581643186,supernatural
75,maybe,1340.7851249462249,supernatural
76,who,1340.0579104817123,supernatural
77,make,1336.3994522741016,supernatural
78,really,1331.2999785608245,supernatural
79,back,1326.243387701072,supernatural
80,then,1257.8996886418606,supernatural
81,sorry,1219.5389001727372,supernatural
82,hey,1143.159779396018,supernatural
83,demon,1141.6797582628249,supernatural
84,happen,1108.7894361681538,supernatural
85,oh,1095.3552952050654,supernatural
86,from,1087.5554327493353,supernatural
87,talk,1086.3263936817898,supernatural
88,time,1078.591335114058,supernatural
89,when,1045.3217510348636,supernatural
90,god,1036.093142599799,supernatural
91,uh,1025.4422915946711,supernatural
92,thank,1009.1201462921408,supernatural
93,help,1001.2000859585459,supernatural
94,need,978.1928013537947,supernatural
95,or,951.3471913351593,supernatural
96,give,924.5096442214781,supernatural
97,man,918.8906820033137,supernatural
98,too,900.9434509713045,supernatural
99,way,899.5009508695132,supernatural
100,should,899.3070960005166,supernatural
101,die,886.8057841623134,supernatural
102,down,885.7410225484277,supernatural
103,anything,882.9481073020247,supernatural
104,people,881.5365556692421,supernatural
105,our,880.2666232517772,supernatural
106,wait,877.0388805097106,supernatural
107,work,852.5056390642429,supernatural
108,more,851.3275165099668,supernatural
109,kind,824.6708150508829,supernatural
110,try,819.8762172889592,supernatural
111,little,818.521969951665,supernatural
112,never,816.1750166668073,supernatural
113,call,796.4599912199951,supernatural
114,over,788.1922404460852,supernatural
115,please,780.8185846455824,supernatural
116,leave,779.5797129405352,supernatural
117,any,771.4886279717335,supernatural
118,hear,759.3882622926308,supernatural
119,even,747.5585637986104,supernatural
120,off,724.6797283652975,supernatural
121,her,721.8927827852823,supernatural
122,guess,721.2223515554584,supernatural
123,year,720.9207298678922,supernatural
124,brother,716.6219785604837,supernatural
125,sure,710.28534910437,supernatural
126,keep,707.9633008855484,supernatural
127,an,679.0,supernatural
128,before,670.4806846485426,supernatural
129,as,656.0,supernatural
130,nothing,648.7017296947616,supernatural
131,still,643.7946232552131,supernatural
132,because,639.6519636980828,supernatural
133,again,628.3822395059522,supernatural
134,two,627.5660417189665,supernatural
135,us,613.6904337114232,supernatural
136,kid,612.8245068124352,supernatural
137,winchester,610.3974378210889,supernatural
138,into,608.6035168188956,supernatural
139,dead,605.313339118792,supernatural
140,these,594.8169874032441,supernatural
141,ever,580.7073371903987,supernatural
142,believe,578.8267490621507,supernatural
143,other,567.9795051423899,supernatural
144,much,567.3994448118287,supernatural
145,around,566.2528287983051,supernatural
146,first,557.3488622259352,supernatural
147,real,556.1455865990376,supernatural
148,yes,551.0770775107812,supernatural
149,last,544.1854664571229,supernatural
150,start,542.5254362055224,supernatural
151,bad,542.4454379906166,supernatural
152,after,539.7945673526775,supernatural
153,than,537.7509040283692,supernatural
154,sammy,536.8034106636374,supernatural
155,ask,534.6789461675799,supernatural
156,only,534.3716208818175,supernatural
157,angel,531.4087385457598,supernatural
158,save,530.6105595671959,supernatural
159,listen,528.1780803860335,supernatural
160,lilith,517.8952619310963,supernatural
161,use,515.9533651203366,supernatural
162,feel,511.8929773845846,supernatural
163,damn,509.6860036396542,supernatural
164,life,508.88944498789294,supernatural
165,else,508.73594245771324,supernatural
166,those,504.9782184747735,supernatural
167,name,504.7224837656161,supernatural
168,stop,499.7463709255509,supernatural
169,stay,495.44176873211956,supernatural
170,day,494.22089826856575,supernatural
171,got,487.5871535079247,supernatural
