,mots,poids,serie
0,be,14437.518159753874,thebigbangtheory
1,you,7497.798348486695,thebigbangtheory
2,to,4984.181155893786,thebigbangtheory
3,the,4876.944585907018,thebigbangtheory
4,not,4619.833268328772,thebigbangtheory
5,it,3623.3476299833314,thebigbangtheory
6,do,3437.636860176188,thebigbangtheory
7,that,3092.7960119183977,thebigbangtheory
8,have,2841.622763011414,thebigbangtheory
9,and,2545.1611742317905,thebigbangtheory
10,of,2383.961404098697,thebigbangtheory
11,we,2283.202346919941,thebigbangtheory
12,what,2165.4659106762224,thebigbangtheory
13,sheldon,1898.3340690450852,thebigbangtheory
14,go,1871.5053690455077,thebigbangtheory
15,my,1843.8976744025772,thebigbangtheory
16,in,1803.8072250438936,thebigbangtheory
17,with,1586.2064358078374,thebigbangtheory
18,this,1559.705956999535,thebigbangtheory
19,your,1415.6750270219086,thebigbangtheory
20,get,1390.363966497594,thebigbangtheory
21,for,1344.273592818355,thebigbangtheory
22,he,1229.0147426621731,thebigbangtheory
23,on,1222.0,thebigbangtheory
24,just,1193.805778259442,thebigbangtheory
25,know,1193.6920513815307,thebigbangtheory
26,can,1162.2206589050022,thebigbangtheory
27,no,1159.1088335015886,thebigbangtheory
28,would,1106.838520225038,thebigbangtheory
29,so,1092.240430328668,thebigbangtheory
30,leonard,1090.8782885584226,thebigbangtheory
31,will,1055.669659189687,thebigbangtheory
32,she,1031.236505733379,thebigbangtheory
33,they,948.2758457922406,thebigbangtheory
34,well,928.1893354698947,thebigbangtheory
35,if,915.9146566839177,thebigbangtheory
36,right,904.7184738976599,thebigbangtheory
37,say,871.1581981512386,thebigbangtheory
38,like,855.5246793201429,thebigbangtheory
39,all,831.0647217534491,thebigbangtheory
40,want,825.8409495659396,thebigbangtheory
41,about,814.2107439335578,thebigbangtheory
42,there,803.441225320861,thebigbangtheory
43,at,803.0531739244448,thebigbangtheory
44,but,784.2240331949854,thebigbangtheory
45,how,779.7254938978165,thebigbangtheory
46,here,760.7533165931624,thebigbangtheory
47,think,754.7398131851163,thebigbangtheory
48,why,751.3739459054433,thebigbangtheory
49,penny,745.0441096031429,thebigbangtheory
50,okay,704.136774244667,thebigbangtheory
51,out,701.3738931181008,thebigbangtheory
52,come,696.6922677239393,thebigbangtheory
53,one,688.0663753026679,thebigbangtheory
54,good,647.6724813207788,thebigbangtheory
55,see,643.7974991400995,thebigbangtheory
56,oh,608.4191648893398,thebigbangtheory
57,up,607.2921526043427,thebigbangtheory
58,make,605.1336845690595,thebigbangtheory
59,really,597.7265209864927,thebigbangtheory
60,yeah,593.2507968308057,thebigbangtheory
61,ve,569.0986837296143,thebigbangtheory
62,now,561.7348953433078,thebigbangtheory
63,let,540.6682252323191,thebigbangtheory
64,tell,517.1553199911859,thebigbangtheory
65,raj,506.94445845379164,thebigbangtheory
66,when,503.24981136478993,thebigbangtheory
67,from,494.7256027841693,thebigbangtheory
68,could,489.7232750375232,thebigbangtheory
69,take,476.90979065885216,thebigbangtheory
70,thank,472.007810362453,thebigbangtheory
71,his,467.1794341793046,thebigbangtheory
72,an,463.0,thebigbangtheory
73,look,462.1711665830448,thebigbangtheory
74,who,455.3876449039585,thebigbangtheory
75,work,449.53216372502453,thebigbangtheory
76,wolowitz,445.0009333380213,thebigbangtheory
77,then,443.78075971961294,thebigbangtheory
78,yes,442.9638633942247,thebigbangtheory
79,sorry,432.36697137382566,thebigbangtheory
80,need,431.2798932486379,thebigbangtheory
81,some,410.6888648427268,thebigbangtheory
82,talk,410.5217067528728,thebigbangtheory
83,little,403.46043558247425,thebigbangtheory
84,guy,399.09435391376536,thebigbangtheory
85,as,394.0,thebigbangtheory
86,time,384.78174719788024,thebigbangtheory
87,friend,384.03308687328393,thebigbangtheory
88,our,377.4754443458142,thebigbangtheory
89,give,376.71021156732553,thebigbangtheory
90,mean,369.18402766812784,thebigbangtheory
91,thing,366.86986421237833,thebigbangtheory
92,by,339.5946824428316,thebigbangtheory
93,more,327.2006113276741,thebigbangtheory
94,because,320.63978841863184,thebigbangtheory
95,where,316.71635148654053,thebigbangtheory
96,back,313.2136063839488,thebigbangtheory
97,wait,311.6886758711259,thebigbangtheory
98,should,309.0346202619957,thebigbangtheory
99,very,304.81883209179335,thebigbangtheory
100,her,304.2899031493518,thebigbangtheory
101,howard,288.144358593342,thebigbangtheory
102,great,287.8153525567503,thebigbangtheory
103,night,286.4866589719383,thebigbangtheory
104,ask,282.8729592874352,thebigbangtheory
105,or,282.5148014763578,thebigbangtheory
106,call,278.3476093883028,thebigbangtheory
107,koothrappali,276.7688731736474,thebigbangtheory
108,two,276.4801442538104,thebigbangtheory
109,hey,274.6552716730692,thebigbangtheory
110,into,274.3445904831291,thebigbangtheory
111,too,270.28303529139134,thebigbangtheory
112,over,268.7019001520745,thebigbangtheory
113,down,259.2754575497771,thebigbangtheory
114,any,258.7904891297587,thebigbangtheory
115,way,250.5403463699052,thebigbangtheory
116,try,249.31908362003438,thebigbangtheory
117,maybe,248.5357792583246,thebigbangtheory
118,something,248.45472111062836,thebigbangtheory
119,put,247.75944901710872,thebigbangtheory
120,people,245.26056795249187,thebigbangtheory
121,other,243.41978791816712,thebigbangtheory
122,which,240.8867445987691,thebigbangtheory
123,off,237.24633964340097,thebigbangtheory
124,year,237.0813138491726,thebigbangtheory
125,only,235.18305320146845,thebigbangtheory
126,start,230.764340470518,thebigbangtheory
127,please,223.31728282966964,thebigbangtheory
128,never,223.01556432641414,thebigbangtheory
129,use,216.47254751105604,thebigbangtheory
130,god,212.17452994943568,thebigbangtheory
131,woman,210.42523654725724,thebigbangtheory
132,mother,209.38951338883146,thebigbangtheory
133,move,209.29328779648387,thebigbangtheory
134,find,208.76024224355956,thebigbangtheory
135,kripke,206.47263112130273,thebigbangtheory
136,us,203.31613962390648,thebigbangtheory
137,hear,202.28947367626105,thebigbangtheory
138,fine,200.8401426483885,thebigbangtheory
139,sure,198.21916719191722,thebigbangtheory
140,happen,193.83281995235876,thebigbangtheory
141,again,191.70983578147693,thebigbangtheory
142,first,191.63438569973104,thebigbangtheory
143,believe,191.30714587647353,thebigbangtheory
144,three,188.66682251510426,thebigbangtheory
145,man,188.2333639497697,thebigbangtheory
146,feel,188.1052507256606,thebigbangtheory
147,than,187.73552270812888,thebigbangtheory
148,leave,187.73552270812888,thebigbangtheory
149,help,187.62647280168025,thebigbangtheory
150,even,186.8896409496526,thebigbangtheory
151,kind,185.3911134610512,thebigbangtheory
152,nice,185.2158540206017,thebigbangtheory
153,much,183.47971177339025,thebigbangtheory
154,still,181.26256382913766,thebigbangtheory
155,big,180.10285602582866,thebigbangtheory
156,day,178.39524402742344,thebigbangtheory
157,understand,174.08144131100116,thebigbangtheory
158,play,171.36150723286025,thebigbangtheory
159,new,169.08082815630502,thebigbangtheory
160,wrong,168.64377463611578,thebigbangtheory
161,eat,166.01654019644897,thebigbangtheory
162,sit,163.8708376181125,thebigbangtheory
163,guess,163.23277240747095,thebigbangtheory
164,might,162.76131391808724,thebigbangtheory
165,ever,162.2798586121114,thebigbangtheory
166,before,160.23088287424568,thebigbangtheory
167,their,158.60506965827292,thebigbangtheory
168,bring,158.05420923278174,thebigbangtheory
169,name,157.82343919605952,thebigbangtheory
170,hi,157.1357285904843,thebigbangtheory
171,bad,156.36820023709103,thebigbangtheory
172,last,153.9865468271529,thebigbangtheory
173,actually,152.52850095821054,thebigbangtheory
174,physics,151.8268828118483,thebigbangtheory
175,while,150.4295506037228,thebigbangtheory
176,cooper,150.1379299419535,thebigbangtheory
177,live,148.73700313717404,thebigbangtheory
178,apartment,148.56250960911387,thebigbangtheory
179,always,148.24200759453996,thebigbangtheory
180,love,147.07404951481706,thebigbangtheory
181,anything,146.63245353408624,thebigbangtheory
182,leslie,146.29743179928826,thebigbangtheory
183,keep,145.71056752006814,thebigbangtheory
184,turn,143.83793285771213,thebigbangtheory
185,sleep,142.88700918402566,thebigbangtheory
186,sex,141.95074652312033,thebigbangtheory
187,girl,141.25795459864543,thebigbangtheory
188,may,139.33845354478785,thebigbangtheory
189,home,138.9148212414166,thebigbangtheory
190,another,138.41517352209502,thebigbangtheory
191,comic,137.98950297197243,thebigbangtheory
192,those,136.97121612224248,thebigbangtheory
193,mind,136.2872893105864,thebigbangtheory
194,meet,135.23321551009283,thebigbangtheory
195,hang,134.6973833567239,thebigbangtheory
196,life,133.34536259041045,thebigbangtheory
197,bernadette,133.33802754834485,thebigbangtheory
198,hello,130.25515157907586,thebigbangtheory
199,through,128.54369332703038,thebigbangtheory
200,course,125.95176248653073,thebigbangtheory
201,nothing,124.45117116446266,thebigbangtheory
202,morning,122.89553152490687,thebigbangtheory
203,relationship,122.83378202662834,thebigbangtheory
204,bazinga,122.47842093000862,thebigbangtheory
205,head,122.47454534622649,thebigbangtheory
206,question,122.0,thebigbangtheory
207,order,121.02804967336272,thebigbangtheory
208,point,121.0,thebigbangtheory
209,excuse,120.43087896304942,thebigbangtheory
210,uh,120.25160893700397,thebigbangtheory
211,hour,119.52335148246199,thebigbangtheory
212,care,118.78578873918597,thebigbangtheory
213,hofstadter,118.20064729427355,thebigbangtheory
214,drive,117.01735900791121,thebigbangtheory
215,book,116.61117138366917,thebigbangtheory
216,after,115.56577458228054,thebigbangtheory
217,boy,115.25191656881351,thebigbangtheory
218,stay,115.07034628616971,thebigbangtheory
219,watch,113.93291974266107,thebigbangtheory
220,since,113.86763749921363,thebigbangtheory
221,own,113.52189951026031,thebigbangtheory
222,run,112.63578878349102,thebigbangtheory
223,next,112.59149085578802,thebigbangtheory
224,enough,111.7002691250881,thebigbangtheory
225,old,111.64433793669684,thebigbangtheory
226,sound,111.0699842226017,thebigbangtheory
227,problem,110.59527347512407,thebigbangtheory
228,idea,110.56712626735236,thebigbangtheory
229,answer,110.56712626735236,thebigbangtheory
230,room,110.24878371248812,thebigbangtheory
231,listen,110.17211492714809,thebigbangtheory
232,wheaton,109.7945639995812,thebigbangtheory
233,buy,109.55195533097202,thebigbangtheory
234,fun,109.49343795332325,thebigbangtheory
235,tonight,108.79182036399946,thebigbangtheory
236,someone,108.18657240807427,thebigbangtheory
237,dr,108.08331420118233,thebigbangtheory
238,pretty,106.38739590221789,thebigbangtheory
239,movie,106.22265219308072,thebigbangtheory
240,around,105.78349548979325,thebigbangtheory
241,whole,102.75020885143418,thebigbangtheory
242,physicist,102.18394972661055,thebigbangtheory
243,hold,101.44477865195113,thebigbangtheory
244,also,99.74133246551185,thebigbangtheory
245,kid,99.33564324889846,thebigbangtheory
246,same,99.28440149003322,thebigbangtheory
247,else,98.8308678022946,thebigbangtheory
248,date,98.60500239682567,thebigbangtheory
249,hell,98.46314692730934,thebigbangtheory
