,mots,poids,serie
0,etre,9740.31340159105,thebigbangtheory
1,le,9322.195820074669,thebigbangtheory
2,je,7351.749638813218,thebigbangtheory
3,de,6976.189359183243,thebigbangtheory
4,avoir,6092.335556151096,thebigbangtheory
5,un,5294.400054199903,thebigbangtheory
6,ce,5138.0285168139835,thebigbangtheory
7,pas,3920.952328250518,thebigbangtheory
8,que,3740.2160360660664,thebigbangtheory
9,tu,2673.2394168975616,thebigbangtheory
10,et,2429.7284337158194,thebigbangtheory
11,il,2333.2006505109953,thebigbangtheory
12,ne,2271.5661072825255,thebigbangtheory
13,cela,2190.8548287378567,thebigbangtheory
14,te,2122.6544262863554,thebigbangtheory
15,aller,1879.6552232886295,thebigbangtheory
16,mon,1757.7481684422528,thebigbangtheory
17,en,1642.5370833509512,thebigbangtheory
18,faire,1607.2167354078074,thebigbangtheory
19,pouvoir,1592.1587624815136,thebigbangtheory
20,me,1590.356306874115,thebigbangtheory
21,on,1494.0,thebigbangtheory
22,mais,1301.0030630367635,thebigbangtheory
23,vous,1276.93211515097,thebigbangtheory
24,sheldon,1241.5954324219147,thebigbangtheory
25,qui,1229.8205780278201,thebigbangtheory
26,dans,1219.0822412464734,thebigbangtheory
27,avec,1188.206792318606,thebigbangtheory
28,pour,1142.6021661835398,thebigbangtheory
29,moi,1066.1164169827102,thebigbangtheory
30,lui,1066.0805097379732,thebigbangtheory
31,dire,1046.759607638763,thebigbangtheory
32,taire,1000.3531823405497,thebigbangtheory
33,sur,970.0157822124378,thebigbangtheory
34,se,960.2586396344038,thebigbangtheory
35,si,950.1249566040287,thebigbangtheory
36,tout,917.9421707071224,thebigbangtheory
37,devoir,908.7740153130046,thebigbangtheory
38,bien,894.0189806081304,thebigbangtheory
39,au,874.7023166267062,thebigbangtheory
40,quoi,851.2416717915962,thebigbangtheory
41,toi,751.5638928824111,thebigbangtheory
42,leonard,735.2042541179031,thebigbangtheory
43,ton,726.8827589865823,thebigbangtheory
44,voir,719.5567110206882,thebigbangtheory
45,vouloir,692.5601231939254,thebigbangtheory
46,comme,626.1340851884271,thebigbangtheory
47,nous,624.8959083040605,thebigbangtheory
48,son,606.4111808468007,thebigbangtheory
49,pourquoi,606.2931546563207,thebigbangtheory
