,mots,poids,serie
0,be,2368.1498266223116,thekillpoint
1,you,1246.7697417450872,thekillpoint
2,to,815.2993271689095,thekillpoint
3,not,723.2418717613981,thekillpoint
4,the,714.4890802345622,thekillpoint
5,we,642.0203799616633,thekillpoint
6,that,632.7101388218455,thekillpoint
7,do,618.330465499219,thekillpoint
8,it,604.9349828143619,thekillpoint
9,get,556.1455865990376,thekillpoint
10,go,456.46472415744086,thekillpoint
11,what,436.22947246012114,thekillpoint
12,and,358.4270904279912,thekillpoint
13,this,326.1069219459765,thekillpoint
14,of,324.69338580710763,thekillpoint
15,in,313.9467679504439,thekillpoint
16,know,310.1258760942212,thekillpoint
17,he,303.8715536472096,thekillpoint
18,on,283.0,thekillpoint
19,right,278.13980109691573,thekillpoint
20,come,270.2321523292855,thekillpoint
21,have,269.82310554910333,thekillpoint
22,my,266.0349878491281,thekillpoint
23,all,263.35683260348463,thekillpoint
24,just,251.25282134592297,thekillpoint
25,your,240.85208399238522,thekillpoint
26,they,236.3115526255424,thekillpoint
27,here,225.18298171157605,thekillpoint
28,can,219.5458151414408,thekillpoint
29,out,206.65480779372612,thekillpoint
30,man,203.82666037164415,thekillpoint
31,wolf,202.9595091071491,thekillpoint
32,for,184.8222171610937,thekillpoint
33,with,184.37714559966875,thekillpoint
34,will,165.42192027972368,thekillpoint
35,think,160.94865581380327,thekillpoint
36,there,157.56532864066355,thekillpoint
37,tonray,157.37837886344656,thekillpoint
38,if,155.2885132211352,thekillpoint
39,now,147.2929545630267,thekillpoint
40,sabian,146.5246975625192,thekillpoint
41,let,145.45150624456411,thekillpoint
42,no,142.04765116441038,thekillpoint
43,take,140.53141166749876,thekillpoint
44,about,139.82867874350904,thekillpoint
45,like,138.03423397434238,thekillpoint
46,one,137.35653387571915,thekillpoint
47,move,135.7136163055325,thekillpoint
48,say,133.78500900179736,thekillpoint
49,okay,133.66197084487808,thekillpoint
50,up,133.4202456479238,thekillpoint
51,talk,133.38250399912835,thekillpoint
52,need,132.8217062541095,thekillpoint
53,she,132.54593505895127,thekillpoint
54,sarge,130.6846146162643,thekillpoint
55,make,127.63365555426813,thekillpoint
56,want,127.40668924530294,thekillpoint
57,see,127.24468218298436,thekillpoint
58,how,125.17836749229934,thekillpoint
59,yeah,122.4600268687443,thekillpoint
