,mots,poids,serie
0,le,2110.6391597939464,thekillpoint
1,etre,1932.6927044956558,thekillpoint
2,je,1568.145162438344,thekillpoint
3,de,1349.4362297791179,thekillpoint
4,avoir,1268.970207655816,thekillpoint
5,ce,1215.8918718709715,thekillpoint
6,vous,972.7012942734711,thekillpoint
7,que,875.4254772572292,thekillpoint
8,un,859.104194242354,thekillpoint
9,pas,843.8386950128187,thekillpoint
10,il,744.8653133270396,thekillpoint
11,cela,614.8582557136314,thekillpoint
12,ne,540.4715170904904,thekillpoint
13,et,482.26428002541263,thekillpoint
14,on,456.0,thekillpoint
15,en,454.523438877496,thekillpoint
16,aller,437.1291216950301,thekillpoint
17,faire,429.3472125837389,thekillpoint
18,moi,379.8978218262334,thekillpoint
19,tout,334.63443681296434,thekillpoint
20,me,329.2973058939344,thekillpoint
21,mon,315.05461899897637,thekillpoint
22,pouvoir,304.3091193338479,thekillpoint
23,tu,301.77290324771445,thekillpoint
24,se,286.95956760096675,thekillpoint
25,te,286.88075941129915,thekillpoint
26,mais,277.0504654785636,thekillpoint
27,nous,255.7118806359327,thekillpoint
28,savoir,244.31971058097633,thekillpoint
29,vouloir,219.59223418343979,thekillpoint
30,sur,211.72171097825657,thekillpoint
31,wolf,210.40756448722797,thekillpoint
32,quoi,205.07925553678993,thekillpoint
33,allez,202.98144075946777,thekillpoint
34,votre,202.0460750350858,thekillpoint
35,bien,201.82702739481203,thekillpoint
36,pour,200.3615172928482,thekillpoint
37,otage,199.6080238011651,thekillpoint
38,dans,193.68596356252382,thekillpoint
39,qui,189.20316585043386,thekillpoint
40,dire,186.921358506922,thekillpoint
41,voir,184.88609935948242,thekillpoint
42,devoir,182.43047147547304,thekillpoint
43,avec,174.22847284988805,thekillpoint
44,rien,170.76560433364875,thekillpoint
45,ou,166.7005120699051,thekillpoint
46,toi,166.1181994997604,thekillpoint
47,lui,162.6224506379959,thekillpoint
48,si,153.3305102381674,thekillpoint
49,luire,148.64705083186692,thekillpoint
50,son,147.586827126622,thekillpoint
51,sabian,141.09785691205553,thekillpoint
52,la,140.8643739712488,thekillpoint
53,sergent,140.6462497743168,thekillpoint
54,plus,139.0200590407608,thekillpoint
55,mec,135.99311965748367,thekillpoint
56,au,133.86974533811403,thekillpoint
57,tonray,124.81733496066451,thekillpoint
58,parler,119.36987553979668,thekillpoint
59,bon,117.25965576525847,thekillpoint
60,comme,101.14473683813053,thekillpoint
61,sortir,99.19468530771837,thekillpoint
62,ici,97.81719083189589,thekillpoint
63,notre,97.04971936606663,thekillpoint
64,oui,95.17126184588895,thekillpoint
65,beck,92.67153193981284,thekillpoint
66,alors,92.03824713666916,thekillpoint
67,passer,90.34580590999772,thekillpoint
68,vie,90.16619925669247,thekillpoint
69,autre,89.94458887758603,thekillpoint
70,pourquoi,88.27894834281592,thekillpoint
71,falloir,87.83689367337591,thekillpoint
72,quelque,87.01797911103266,thekillpoint
73,croire,86.1477226411956,thekillpoint
74,gars,83.15982088964466,thekillpoint
75,non,80.46564863543554,thekillpoint
76,ton,79.39796290468821,thekillpoint
77,prendre,79.01949507564005,thekillpoint
78,temps,78.28510513419525,thekillpoint
79,taire,77.33822922296686,thekillpoint
80,cali,77.28664336616595,thekillpoint
81,fils,70.94518335157285,thekillpoint
82,reste,68.9318999596009,thekillpoint
83,deke,68.82421037376757,thekillpoint
84,homme,68.29126192557459,thekillpoint
85,fait,67.34869167836194,thekillpoint
86,fai,66.62562139080447,thekillpoint
87,venir,65.26348433327449,thekillpoint
88,hawke,64.64874062950054,thekillpoint
89,comment,64.51404738842707,thekillpoint
90,banque,63.87404006687787,thekillpoint
91,chef,63.35470973008357,thekillpoint
92,par,62.590680399580414,thekillpoint
93,entrer,62.49932819067132,thekillpoint
94,horst,61.66990293614272,thekillpoint
95,chose,60.4572022280415,thekillpoint
96,peu,60.243216307637994,thekillpoint
97,sans,60.221686149692275,thekillpoint
98,capitaine,60.19398527969316,thekillpoint
99,cap,60.00883164097455,thekillpoint
100,trouver,59.12098612631071,thekillpoint
101,deux,56.760949755130156,thekillpoint
102,fille,56.6317781821838,thekillpoint
103,attendre,55.742644061950095,thekillpoint
104,frere,55.59352957094103,thekillpoint
105,ashley,54.77192061471484,thekillpoint
106,besoin,53.54952560678933,thekillpoint
107,juste,53.22233576205916,thekillpoint
108,mendez,52.54009903648804,thekillpoint
109,falloudja,52.49075182714655,thekillpoint
110,meme,52.32332194912097,thekillpoint
111,aimer,52.119241432868975,thekillpoint
112,arme,52.119241432868975,thekillpoint
113,robby,51.69135433105795,thekillpoint
114,quand,49.96921604310335,thekillpoint
115,bas,49.50766847791897,thekillpoint
116,chez,48.82839417542617,thekillpoint
117,caporal,47.898726434348696,thekillpoint
118,merci,47.44926792868019,thekillpoint
119,mettre,47.296788901048565,thekillpoint
120,leon,47.2245232224303,thekillpoint
121,aussi,46.63793497356313,thekillpoint
122,mal,46.255389522703425,thekillpoint
123,trop,46.207157246057704,thekillpoint
124,monsieur,46.050610570591424,thekillpoint
125,donne,45.99422846327157,thekillpoint
126,arriver,45.60761786886826,thekillpoint
127,ok,44.58231883855212,thekillpoint
128,henry,44.468944066608714,thekillpoint
129,petit,44.34669446262943,thekillpoint
130,avant,44.147802894570816,thekillpoint
131,entendre,43.945554757883556,thekillpoint
132,voila,43.90916302828816,thekillpoint
133,laisser,43.712912169503014,thekillpoint
134,derz,43.414725203709395,thekillpoint
135,shelton,43.28228361795564,thekillpoint
136,ordre,43.03579735996318,thekillpoint
137,jamais,42.90664601419644,thekillpoint
138,connie,42.04436754789645,thekillpoint
139,sai,41.06627541363533,thekillpoint
140,soldat,40.95197864767628,thekillpoint
141,finir,40.54010477232734,thekillpoint
142,donner,40.504454017333856,thekillpoint
143,accord,40.480967718672076,thekillpoint
144,perdre,40.35038046415663,thekillpoint
145,parce,40.35038046415663,thekillpoint
146,tuer,40.35038046415663,thekillpoint
147,monde,40.35038046415663,thekillpoint
148,assaut,40.231687548125905,thekillpoint
149,heure,39.975372834482684,thekillpoint
150,fois,39.79004372822884,thekillpoint
151,swat,39.573231970187884,thekillpoint
152,plaire,39.21894159111518,thekillpoint
153,tres,39.06520772179691,thekillpoint
154,aucun,38.850933740147035,thekillpoint
155,penser,38.850933740147035,thekillpoint
156,suivre,38.850933740147035,thekillpoint
157,laisse,38.66911461148343,thekillpoint
158,tirer,38.66911461148343,thekillpoint
159,personne,38.48872152987983,thekillpoint
