,mots,poids,serie
0,be,1535.630852964559,thelostroom
1,you,900.7175102764704,thelostroom
2,the,725.621346357197,thelostroom
3,to,512.7378204858297,thelostroom
4,not,493.1848151374941,thelostroom
5,it,490.96172518267053,thelostroom
6,do,435.98726584349475,thelostroom
7,what,319.3313785328991,thelostroom
8,that,315.6747359283186,thelostroom
9,object,288.70981017300335,thelostroom
10,have,280.6160297710675,thelostroom
11,get,249.66750796247118,thelostroom
12,we,244.5791923663479,thelostroom
13,this,225.76633057798375,thelostroom
14,know,206.2629647607792,thelostroom
15,can,197.59123362729673,thelostroom
16,go,195.26546533401637,thelostroom
17,in,193.0273414253613,thelostroom
18,he,191.4807050379677,thelostroom
19,my,172.98826796100937,thelostroom
20,she,171.8727509555632,thelostroom
21,there,167.50188089728198,thelostroom
22,of,167.20091295714843,thelostroom
23,and,165.5122038367788,thelostroom
24,they,160.57067037376598,thelostroom
25,ruber,157.37837886344656,thelostroom
26,key,153.32320047440973,thelostroom
27,just,151.88729877973873,thelostroom
28,right,148.23934454066386,thelostroom
29,no,147.7295572109868,thelostroom
30,will,145.2177162760933,thelostroom
31,want,141.22187241648038,thelostroom
32,all,139.13191156410508,thelostroom
33,joe,138.78803045124354,thelostroom
34,for,133.07199635598747,thelostroom
35,kreutzfeld,130.24417561112818,thelostroom
36,see,127.24468218298436,thelostroom
37,back,125.80964942618863,thelostroom
38,if,125.09352453924778,thelostroom
39,here,123.2420372880923,thelostroom
40,room,115.83100060932297,thelostroom
41,come,115.41164839063235,thelostroom
42,your,107.04537066328231,thelostroom
43,think,106.2573650032876,thelostroom
44,like,103.52567548075679,thelostroom
45,yeah,100.68935542541197,thelostroom
46,how,99.53942475291274,thelostroom
47,about,99.04531410998557,thelostroom
48,find,97.31680465489244,thelostroom
49,on,93.0,thelostroom
50,now,90.97506017128121,thelostroom
51,okay,90.94525851300983,thelostroom
52,ve,88.92166933275223,thelostroom
53,with,88.66992498304681,thelostroom
54,well,84.38084867908134,thelostroom
55,make,84.08805542398842,thelostroom
56,take,83.72084099340351,thelostroom
57,out,81.40946973692242,thelostroom
58,but,79.63200337069902,thelostroom
59,bring,79.02710461639087,thelostroom
60,need,76.56780713472195,thelostroom
61,sood,75.97576910649144,thelostroom
62,anna,74.37548292200684,thelostroom
63,look,71.97747676293321,thelostroom
64,tell,70.9511871939127,thelostroom
65,where,70.88413580889241,thelostroom
66,one,70.60382582396778,thelostroom
67,who,69.61339794710194,thelostroom
68,daughter,69.5827072750088,thelostroom
69,so,65.86374454243224,thelostroom
70,at,64.46849214751215,thelostroom
71,sorry,64.35996902129466,thelostroom
72,god,63.49748706515958,thelostroom
73,miller,62.4207386287257,thelostroom
74,help,61.491028901391005,thelostroom
75,motel,61.29561572731328,thelostroom
76,give,61.2154093796904,thelostroom
77,would,58.337642803883774,thelostroom
78,thing,58.3307733894158,thelostroom
79,up,56.358552040933326,thelostroom
80,iggy,56.266968703342336,thelostroom
81,try,55.93697388911028,thelostroom
82,an,55.0,thelostroom
83,happen,54.207483545998635,thelostroom
84,something,53.1286825016438,thelostroom
85,say,52.89174774489663,thelostroom
86,please,52.265747045241824,thelostroom
87,use,52.083620453787915,thelostroom
88,from,51.85509150995542,thelostroom
89,comb,51.72209686266176,thelostroom
90,why,51.33610810534085,thelostroom
91,oh,50.19960106347688,thelostroom
92,never,49.5590142947587,thelostroom
93,kill,49.33908215755032,thelostroom
94,stritzke,48.84156585417307,thelostroom
95,door,48.65840232744622,thelostroom
96,vault,48.57522616310041,thelostroom
97,some,48.22482882622928,thelostroom
98,collector,47.996245380118204,thelostroom
99,occupant,47.16563175464744,thelostroom
100,let,47.014628281071225,thelostroom
101,man,46.77988926562325,thelostroom
102,yes,45.04717254856522,thelostroom
103,arlene,44.705478005392116,thelostroom
104,conroy,44.30687514090681,thelostroom
105,wally,44.228045175011545,thelostroom
106,could,43.949524682854644,thelostroom
107,lou,41.849922365549084,thelostroom
108,his,41.629850570433085,thelostroom
109,name,40.62781603066879,thelostroom
110,legion,40.129580061325875,thelostroom
111,order,39.79004372822884,thelostroom
112,guy,39.32681589661191,thelostroom
113,harold,39.03739402395946,thelostroom
114,mean,38.3567820953899,thelostroom
115,good,38.25913391768314,thelostroom
116,thank,37.43510220116006,thelostroom
117,detective,37.06524929399722,thelostroom
118,really,36.758582841415326,thelostroom
119,hell,36.35562348085268,thelostroom
120,anything,36.26394012133316,thelostroom
121,into,36.26394012133316,thelostroom
122,time,36.07328879980127,thelostroom
123,should,35.972283840020665,thelostroom
124,hey,35.87839134468021,thelostroom
125,gallup,35.568091179615585,thelostroom
126,these,35.5311032298398,thelostroom
127,wait,34.81628826220023,thelostroom
128,before,34.22407207022723,thelostroom
129,people,33.6357350334846,thelostroom
