,mots,poids,serie
0,le,1394.3085188087794,thelostroom
1,etre,1213.2470276952424,thelostroom
2,je,888.1403965446257,thelostroom
3,avoir,787.9122322094676,thelostroom
4,ce,689.1037671890093,thelostroom
5,de,655.9908079735126,thelostroom
6,vous,581.9461114950323,thelostroom
7,un,465.916295819266,thelostroom
8,que,444.2653245362286,thelostroom
9,il,430.3962365020282,thelostroom
10,pas,411.31835887559504,thelostroom
11,ne,385.8623056000567,thelostroom
12,cela,273.64570721320956,thelostroom
13,objet,262.27702313707755,thelostroom
14,en,239.28614903868177,thelostroom
15,et,223.33867421024198,thelostroom
16,aller,216.88329499484186,thelostroom
17,pouvoir,215.20202914216867,thelostroom
18,lui,203.68872605163122,thelostroom
19,faire,196.04155744389587,thelostroom
20,me,188.34808026509126,thelostroom
21,tout,185.73746263471875,thelostroom
22,moi,175.68397293940438,thelostroom
23,mon,173.92155437952542,thelostroom
24,mais,170.1187068728022,thelostroom
25,tu,162.59909855356304,thelostroom
26,qui,159.24599792411516,thelostroom
27,cle,145.1518248056159,thelostroom
28,se,142.85865919528646,thelostroom
29,ruber,135.67101626159186,thelostroom
30,savoir,133.8738140169733,thelostroom
31,te,131.5966786290363,thelostroom
32,voir,126.58868064252849,thelostroom
33,dans,125.32621171692718,thelostroom
34,kreutzfeld,124.81733496066451,thelostroom
35,on,124.0,thelostroom
36,chambre,123.89116173355225,thelostroom
37,pour,113.71869900404897,thelostroom
38,nous,111.87394777822055,thelostroom
39,vouloir,111.48528812390019,thelostroom
40,si,110.08344324791506,thelostroom
41,bien,106.14606625949374,thelostroom
42,votre,101.84436302581561,thelostroom
43,devoir,101.35026193081836,thelostroom
44,sur,100.605352025129,thelostroom
45,ou,99.7470277139596,thelostroom
46,dire,94.89853585736039,thelostroom
47,la,92.44224541863203,thelostroom
48,oui,92.10122114118285,thelostroom
49,quoi,84.63588323740537,thelostroom
50,ecrin,82.2265372481903,thelostroom
51,au,81.88149472137071,thelostroom
52,joe,80.27935094728792,thelostroom
53,ici,77.92216896778147,thelostroom
54,glaneur,75.97576910649144,thelostroom
55,son,75.29940159521531,thelostroom
56,fille,71.6225429951148,thelostroom
57,croire,70.94518335157285,thelostroom
58,rien,67.97465803572426,thelostroom
59,anna,67.45683334786666,thelostroom
60,sood,65.12208780556409,thelostroom
61,autre,64.95998085603436,thelostroom
62,plus,64.24411819307886,thelostroom
63,trouver,64.18849922285163,thelostroom
64,avec,62.785035261220926,thelostroom
65,luire,62.49932819067132,thelostroom
66,non,61.98029692188953,thelostroom
67,quelque,60.243216307637994,thelostroom
68,miller,59.13543659563487,thelostroom
69,bon,58.629827882629236,thelostroom
70,homme,58.29741871695391,thelostroom
71,chose,57.27524421603932,thelostroom
72,comme,56.19152046562807,thelostroom
73,porte,54.71131012631465,thelostroom
74,alors,53.54952560678933,thelostroom
75,dieu,52.56483252945322,thelostroom
76,toi,51.609537708663424,thelostroom
77,stritzke,48.84156585417307,thelostroom
78,comment,48.66849188951517,thelostroom
79,ramener,47.74479845874892,thelostroom
80,iggy,47.61051197975121,thelostroom
81,pourquoi,46.63793497356313,thelostroom
82,pendul,46.553181479549465,thelostroom
83,taire,45.394178022176206,thelostroom
84,venir,45.182412230728495,thelostroom
85,inspecteur,45.0585547423787,thelostroom
86,arlene,44.705478005392116,thelostroom
87,jamais,44.55690163012707,thelostroom
88,passer,42.70892643018074,thelostroom
89,par,42.18067592145637,thelostroom
90,tuer,42.03164631682982,thelostroom
91,motel,41.86042049670176,thelostroom
92,ordre,41.314365465564656,thelostroom
93,conroy,40.61463554583125,thelostroom
94,juste,40.319951334893304,thelostroom
95,allez,39.606134782335175,thelostroom
96,falloir,38.850933740147035,thelostroom
97,merci,38.8221283052838,thelostroom
98,prendre,38.66911461148343,thelostroom
99,quel,38.30973229971257,thelostroom
100,notre,38.183496144026215,thelostroom
101,entrer,37.16176270796673,thelostroom
102,premier,37.004311618162745,thelostroom
103,accord,35.42084675383806,thelostroom
104,parler,35.306582906137045,thelostroom
105,connaitre,35.306582906137045,thelostroom
106,legion,34.77896938648242,thelostroom
107,encore,34.37738279518128,thelostroom
108,nom,33.868759121310376,thelostroom
109,salut,33.868759121310376,thelostroom
110,fois,33.15836977352403,thelostroom
111,sans,32.55226278361745,thelostroom
112,occupant,32.271221726864034,thelostroom
113,appeler,32.094249611425816,thelostroom
114,lou,31.885655135656446,thelostroom
115,gallup,31.122079782163638,thelostroom
116,prie,30.693084723481448,thelostroom
117,retrouver,30.405078579245508,thelostroom
118,toujours,30.405078579245508,thelostroom
119,ouvrir,30.26278534811747,thelostroom
120,tres,29.689557868565654,thelostroom
121,meme,29.431868596380543,thelostroom
122,aussi,28.3158890910919,thelostroom
123,avant,27.796764785470515,thelostroom
124,mettre,27.026736514884895,thelostroom
125,aucun,27.026736514884895,thelostroom
126,arriver,27.026736514884895,thelostroom
127,revenir,27.026736514884895,thelostroom
128,laisser,26.900253642771084,thelostroom
129,aider,26.900253642771084,thelostroom
130,kang,25.69579289005947,thelostroom
131,chercher,25.33756548270459,thelostroom
132,perdre,25.21898779009789,thelostroom
133,personne,25.1013401281825,thelostroom
134,karl,25.046534667906677,thelostroom
135,peindre,24.706241636017666,thelostroom
136,destefano,24.58007513348842,thelostroom
137,jour,23.544388222957846,thelostroom
138,rendre,23.5377219374247,thelostroom
139,1961,23.431793761486865,thelostroom
140,pret,23.21085884146682,thelostroom
141,fait,22.997114231635784,thelostroom
142,nouveau,22.997114231635784,thelostroom
143,photo,22.743739800809795,thelostroom
144,ton,22.3656233534333,thelostroom
145,exister,22.167227855847713,thelostroom
146,disparaitre,22.167227855847713,thelostroom
147,wally,22.114022587505772,thelostroom
148,depuis,21.959223418343978,thelostroom
149,celui,21.856456084751507,thelostroom
150,vrai,21.856456084751507,thelostroom
151,peu,21.754494777758165,thelostroom
152,veux,21.653326952011454,thelostroom
153,vraiment,21.653326952011454,thelostroom
154,jennifer,21.57678144503332,thelostroom
155,vie,21.395369315147363,thelostroom
156,carte,20.966374694144516,thelostroom
157,cas,20.87113617294757,thelostroom
158,isaac,20.622117910810722,thelostroom
159,femme,20.589536714792235,thelostroom
160,deux,20.497009633797003,thelostroom
161,montre,20.365670421953794,thelostroom
162,gens,20.27005238616367,thelostroom
163,sai,19.71181219854496,thelostroom
164,llosa,19.664060106790735,thelostroom
165,reunification,19.664060106790735,thelostroom
166,fort,19.474963867689265,thelostroom
167,ciseau,19.448867015277465,thelostroom
168,mort,19.265664159643908,thelostroom
169,montague,19.08701369014787,thelostroom
170,fouine,18.877680798498822,thelostroom
171,partir,18.49392437940512,thelostroom
172,truc,18.49392437940512,thelostroom
173,desole,18.32204588247123,thelostroom
174,cabale,18.31817116030588,thelostroom
175,martin,18.01886901942609,thelostroom
176,lee,17.862004040617858,thelostroom
177,voila,17.838097480242066,thelostroom
178,equipier,17.626838277295192,thelostroom
179,glaneurs,17.496917275715518,thelostroom
180,ami,17.34362353628977,thelostroom
181,servir,16.97139201829483,thelostroom
182,fils,16.89171032180306,thelostroom
183,moins,16.89171032180306,thelostroom
184,seul,16.812658526731926,thelostroom
185,sortir,16.812658526731926,thelostroom
186,mourir,16.734226752121664,thelostroom
187,temps,16.656405347701117,thelostroom
188,papa,16.61957527062687,thelostroom
189,vrang,16.280521951391023,thelostroom
190,donner,16.201781606933544,thelostroom
191,marche,16.12798053395732,thelostroom
192,aide,16.022036106027077,thelostroom
193,petit,15.838105165224796,thelostroom
194,stylo,15.688837981311583,thelostroom
195,loin,15.556396395557833,thelostroom
196,ignacio,15.5455824380661,thelostroom
197,interieur,15.419417253834297,thelostroom
198,prenez,15.419417253834297,thelostroom
199,ouai,15.419417253834297,thelostroom
200,monsieur,15.350203523530475,thelostroom
201,endroit,15.274252816465346,thelostroom
202,moyen,15.202539289622754,thelostroom
203,tant,15.202539289622754,thelostroom
204,attendez,15.202539289622754,thelostroom
205,harold,15.181208787095345,thelostroom
206,besoin,15.060804076909498,thelostroom
207,donc,15.060804076909498,thelostroom
208,oh,15.059880319043062,thelostroom
209,as,15.0,thelostroom
210,hein,14.921266398085814,thelostroom
211,garder,14.921266398085814,thelostroom
212,trop,14.85230054337569,thelostroom
213,maintenant,14.85230054337569,thelostroom
214,apres,14.783859148908718,thelostroom
215,donne,14.783859148908718,thelostroom
216,berhug,14.748045080093052,thelostroom
217,bridgewater,14.748045080093052,thelostroom
218,lorsque,14.384520963355547,thelostroom
219,mal,13.876616856811028,thelostroom
220,plaire,13.641370988213977,thelostroom
221,gars,13.577113614635863,thelostroom
222,venez,13.577113614635863,thelostroom
223,bonjour,13.514151764569567,thelostroom
224,demander,13.513368257442448,thelostroom
225,ecoute,13.513368257442448,thelostroom
226,arreter,13.513368257442448,thelostroom
227,attendre,13.513368257442448,thelostroom
228,dernier,13.513368257442448,thelostroom
229,aimer,13.450126821385542,thelostroom
230,vivre,13.387381401697333,thelostroom
231,sou,13.202044927445058,thelostroom
232,prix,13.202044927445058,thelostroom
233,frere,13.080830487280242,thelostroom
234,willowbrook,12.984685085386694,thelostroom
235,mabel,12.497022229878514,thelostroom
236,genre,12.118541160284225,thelostroom
237,polaroid,12.115781510661215,thelostroom
238,ignorer,11.992880086315566,thelostroom
239,elephant,11.87997441280638,thelostroom
240,dites,11.87997441280638,thelostroom
241,contre,11.87997441280638,thelostroom
242,montrer,11.824197225262141,thelostroom
243,comprendre,11.824197225262141,thelostroom
244,arrete,11.824197225262141,thelostroom
245,jusque,11.824197225262141,thelostroom
246,seulement,11.824197225262141,thelostroom
247,reste,11.76886096871235,thelostroom
248,vue,11.76886096871235,thelostroom
249,monde,11.76886096871235,thelostroom
250,chaque,11.76886096871235,thelostroom
251,cote,11.713958726485167,thelostroom
252,cpte,11.664611517143678,thelostroom
253,squillo,11.664611517143678,thelostroom
