,mots,poids,serie
0,be,20952.446432022054,thementalist
1,you,11520.348755416218,thementalist
2,the,6874.680342823485,thementalist
3,to,6413.842015716888,thementalist
4,not,6356.764045839247,thementalist
5,do,5706.407055892604,thementalist
6,it,5271.576278810869,thementalist
7,that,5203.190474956424,thementalist
8,he,4198.006326756314,thementalist
9,have,3913.20595362071,thementalist
10,we,3740.949919603458,thementalist
11,and,3568.925401937429,thementalist
12,she,3153.428015413511,thementalist
13,what,3122.034459763612,thementalist
14,of,2756.118274874286,thementalist
15,this,2462.77127931147,thementalist
16,in,2446.122343924837,thementalist
17,know,2438.58412947673,thementalist
18,go,2296.2711540253486,thementalist
19,get,2267.9377819105916,thementalist
20,your,2082.032459400841,thementalist
21,with,1918.366789712584,thementalist
22,no,1917.0751001148824,thementalist
23,for,1837.1328385812715,thementalist
24,would,1732.7856605802235,thementalist
25,they,1670.8438624741875,thementalist
26,so,1584.8463530522758,thementalist
27,will,1545.6216062777235,thementalist
28,on,1518.0,thementalist
29,just,1473.4487489099888,thementalist
30,can,1451.7467026227773,thementalist
31,there,1446.478107070596,thementalist
32,right,1416.6790967958289,thementalist
33,my,1415.3585560446222,thementalist
34,here,1413.4796622300958,thementalist
35,say,1410.9651530770955,thementalist
36,about,1399.7433361720018,thementalist
37,like,1360.2123472888322,thementalist
38,tell,1237.7040432715883,thementalist
39,want,1215.7361190636136,thementalist
40,think,1212.5840476845763,thementalist
41,well,1195.3953562869856,thementalist
42,if,1180.4802718014073,thementalist
43,but,1166.2560493658073,thementalist
44,all,1160.2607625078049,thementalist
45,his,1156.3847380675857,thementalist
46,good,1136.842836411156,thementalist
47,how,1110.0154033052088,thementalist
48,see,1095.2131573606869,thementalist
49,at,1069.3360762728646,thementalist
50,out,1013.2347848795421,thementalist
51,come,1006.3332756012455,thementalist
52,lisbon,996.9046906704033,thementalist
53,why,992.4980900365897,thementalist
54,who,936.8803140380803,thementalist
55,rigsby,922.5629105788246,thementalist
56,take,885.0488905016942,thementalist
57,now,872.2053387849818,thementalist
58,make,866.4072853507378,thementalist
59,yeah,853.1381871855853,thementalist
60,yes,851.3915611678827,thementalist
61,up,847.6786296768951,thementalist
62,could,841.3194725003603,thementalist
63,thank,818.6894090079788,thementalist
64,kill,806.385624012463,thementalist
65,okay,803.3497835315868,thementalist
66,let,797.7794736444273,thementalist
67,look,794.277769892719,thementalist
68,from,780.6293505687884,thementalist
69,her,754.9954500734964,thementalist
70,one,754.8190833544193,thementalist
71,need,751.6145965673726,thementalist
72,find,729.8760349116932,thementalist
73,cbi,721.7698065116687,thementalist
74,work,712.8295739068246,thementalist
75,talk,695.0710486176799,thementalist
76,uh,681.8662660603741,thementalist
77,where,645.498087791616,thementalist
78,very,627.3784427709397,thementalist
79,ve,622.4516853292656,thementalist
80,when,619.7161962806414,thementalist
81,call,607.6796818823839,thementalist
82,jane,599.473613475412,thementalist
83,thing,598.6579374176885,thementalist
84,oh,588.339324463949,thementalist
85,time,575.9701778368269,thementalist
86,sorry,567.6879318801375,thementalist
87,mean,536.9949493354586,thementalist
88,some,535.1400360071895,thementalist
89,or,528.6451209443967,thementalist
90,back,524.2068726091193,thementalist
91,an,524.0,thementalist
92,then,517.2233502365912,thementalist
93,maybe,513.4225966257495,thementalist
94,cho,510.0918462166952,thementalist
95,as,495.0,thementalist
96,any,493.1667811718043,thementalist
97,guy,483.57418065463537,thementalist
98,try,482.65617470032294,thementalist
99,really,473.06697917647546,thementalist
100,something,471.9077092793067,thementalist
101,give,466.1788868145654,thementalist
102,nothing,465.13625222717917,thementalist
103,people,463.89284567014175,thementalist
104,anything,455.66429108979486,thementalist
105,leave,451.8380377043102,thementalist
106,man,447.75036868525103,thementalist
107,help,441.47405365101235,thementalist
108,name,432.8425015575098,thementalist
109,too,424.9449943747986,thementalist
110,way,416.7524785957935,thementalist
111,down,412.03775416018635,thementalist
112,because,410.15851107357986,thementalist
113,never,405.76442953833686,thementalist
114,ask,394.06001842931727,thementalist
115,pelt,393.4826765973664,thementalist
116,more,384.7636818390242,thementalist
117,hear,369.2585630598416,thementalist
118,our,365.24951902287285,thementalist
119,should,362.9930460220267,thementalist
120,keep,362.6926082836478,thementalist
121,money,360.59707206515895,thementalist
122,murder,359.7405726234455,thementalist
123,off,359.46415097485,thementalist
124,night,355.77645556050015,thementalist
125,happen,354.81261957380923,thementalist
126,please,350.022124151468,thementalist
127,much,349.9991140551226,thementalist
128,little,344.16593067258987,thementalist
129,put,337.8537941142392,thementalist
130,us,333.0393207336382,thementalist
