,mots,poids,serie
0,etre,15033.144437506819,thementalist
1,le,14222.689203394611,thementalist
2,avoir,11932.15563017421,thementalist
3,de,8787.922536832764,thementalist
4,je,8737.41972780419,thementalist
5,vous,7566.695003659628,thementalist
6,ce,7428.15495509523,thementalist
7,un,6498.964136074103,thementalist
8,il,5412.5991104372715,thementalist
9,pas,4993.772377688925,thementalist
10,que,4640.541339772229,thementalist
11,ne,4128.198091419784,thementalist
12,et,3381.9856380408073,thementalist
13,cela,3084.4263047612385,thementalist
14,lui,2753.0831037301123,thementalist
15,on,2339.0,thementalist
16,faire,2289.3117410597097,thementalist
17,aller,2288.2028254882152,thementalist
18,en,2262.997650707533,thementalist
19,pouvoir,2215.908393823268,thementalist
20,dire,1895.095003939409,thementalist
21,mais,1853.4838158331972,thementalist
22,votre,1723.1409163561384,thementalist
23,tu,1685.2431994153185,thementalist
24,pour,1680.8706748027048,thementalist
25,qui,1617.6870680212096,thementalist
26,tout,1616.376431027759,thementalist
27,savoir,1601.4655001780434,thementalist
28,me,1599.0876748334238,thementalist
29,sur,1515.086570050077,thementalist
30,bien,1502.4900928280451,thementalist
31,se,1472.0653143166476,thementalist
32,vouloir,1471.2679690290465,thementalist
33,son,1402.5768537135439,thementalist
34,dans,1383.4711683037415,thementalist
35,voir,1344.1719115594801,thementalist
36,mon,1334.3489745839,thementalist
37,devoir,1324.3100892293598,thementalist
38,avec,1316.9161146041088,thementalist
39,moi,1243.3019623404002,thementalist
40,ou,1220.1930924461085,thementalist
41,si,1200.4337382748831,thementalist
42,quoi,1158.8605550967811,thementalist
43,nous,1054.8115076232223,thementalist
44,rien,1047.8044848433594,thementalist
45,luire,1030.3943296299867,thementalist
46,te,1004.082657939547,thementalist
47,parler,983.5405238138178,thementalist
48,oui,963.9927812777138,thementalist
49,pourquoi,926.0961373321821,thementalist
50,tuer,874.2582433900602,thementalist
51,non,872.0736514272878,thementalist
52,au,866.9040790341946,thementalist
53,quelque,840.0581829565076,thementalist
54,cbi,770.6113723658418,thementalist
55,ici,734.4578904835573,thementalist
56,merci,720.3661585535993,thementalist
57,comme,691.9584377338771,thementalist
58,lisbon,686.7565646840555,thementalist
59,plus,682.4621080182803,thementalist
60,rigsby,667.501400007032,thementalist
61,bon,662.2505558560621,thementalist
62,la,661.4022559118791,thementalist
63,taire,654.012416689872,thementalist
64,aimer,632.1559606051204,thementalist
65,tres,585.9781158269537,thementalist
66,quand,577.9772655652288,thementalist
67,trouver,576.0073219734843,thementalist
68,chose,560.0246101123845,thementalist
69,alors,545.5357921191663,thementalist
70,croire,527.0213620402554,thementalist
71,toi,508.0313868196556,thementalist
72,venir,486.9659984867405,thementalist
