,mots,poids,serie
0,etre,43804.43109427971,theoc
1,je,36747.34350197563,theoc
2,le,29560.082910291185,theoc
3,avoir,24818.436214971243,theoc
4,ce,23820.56127137511,theoc
5,que,22725.678444786845,theoc
6,de,22638.638731940715,theoc
7,pas,17344.630865162977,theoc
8,un,15182.05295645218,theoc
9,tu,15180.96837936105,theoc
10,ne,14200.261424582906,theoc
11,aller,11067.773108147629,theoc
12,et,10818.427207898316,theoc
13,il,9601.966811868779,theoc
14,cela,8388.4233458074,theoc
15,pouvoir,8246.60900736201,theoc
16,te,7706.301500516366,theoc
17,faire,7551.650406991725,theoc
18,taire,6488.004925465851,theoc
19,mon,6228.38746790284,theoc
20,vous,6159.976345657248,theoc
21,en,6068.729619086567,theoc
22,bien,6021.920491454095,theoc
23,dire,5863.579230701753,theoc
24,me,5812.596384339902,theoc
25,lui,5780.488927223309,theoc
26,tout,5770.141504495105,theoc
27,pour,5512.64931362485,theoc
28,mais,5487.543430268391,theoc
29,on,5259.0,theoc
30,savoir,5015.247757610863,theoc
31,moi,4955.188980342175,theoc
32,vouloir,4885.0826250654445,theoc
33,devoir,4782.0431921024465,theoc
34,avec,4575.459444661475,theoc
35,si,4171.376188787067,theoc
36,qui,3924.388998347749,theoc
37,toi,3823.9441846012805,theoc
38,se,3736.6856248645367,theoc
39,dans,3725.606475585017,theoc
40,voir,3617.771241520683,theoc
41,non,3370.858253646624,theoc
42,sur,3265.9200097709786,theoc
43,marissa,3227.301598741214,theoc
44,quoi,3208.0254973254996,theoc
45,nous,3102.1047519646586,theoc
46,oui,2984.079564974324,theoc
47,ryan,2938.189903334477,theoc
48,penser,2893.549978124864,theoc
49,juste,2732.07990245237,theoc
50,parler,2727.0132130359184,theoc
51,au,2689.0922631510475,theoc
52,alors,2674.1294349890422,theoc
53,ton,2660.390897890891,theoc
54,vraiment,2646.7028097497077,theoc
55,luire,2638.4851522656377,theoc
56,ou,2605.720299322205,theoc
57,est,2596.073743007735,theoc
58,ouai,2571.616144222809,theoc
59,quelque,2550.296157023342,theoc
60,seth,2479.772709982352,theoc
61,comme,2390.547827809148,theoc
