,mots,poids,serie
0,etre,20458.418882106296,thepretender
1,le,19886.526292220336,thepretender
2,avoir,16050.7151076667,thepretender
3,je,13577.285933693443,thepretender
4,de,12274.412018688725,thepretender
5,ce,9867.316683496585,thepretender
6,vous,9678.168544887407,thepretender
7,un,8889.91020047346,thepretender
8,que,7058.445539681791,thepretender
9,pas,6640.459278342081,thepretender
10,ne,6070.724081940617,thepretender
11,jarod,5299.153792274791,thepretender
12,il,4474.521864315204,thepretender
13,et,3524.333364460522,thepretender
14,ll,3345.354146871989,thepretender
15,mon,3247.4860727586797,thepretender
16,me,3196.9280113869463,thepretender
17,cela,3195.911592885139,thepretender
18,faire,3041.074407621426,thepretender
19,en,2944.782809023777,thepretender
20,on,2860.0,thepretender
21,aller,2728.6944788885917,thepretender
22,qui,2710.335350807465,thepretender
23,pouvoir,2664.8063764870103,thepretender
24,moi,2407.0205865116686,thepretender
25,lui,2309.5673292628508,thepretender
26,mais,2307.1337008273367,thepretender
27,pour,2285.2043323670796,thepretender
28,votre,2278.356959948488,thepretender
29,dans,2233.085226956157,thepretender
30,savoir,2157.041828348483,thepretender
31,vouloir,2108.0854481610218,thepretender
32,tu,2073.827485789088,thepretender
33,se,2022.381714521099,thepretender
34,tout,1987.8513562971964,thepretender
35,son,1859.3932233911835,thepretender
36,dire,1746.9957737377708,thepretender
37,sur,1731.3129982831902,thepretender
38,devoir,1711.13025559865,thepretender
39,voir,1702.2846265350543,thepretender
40,ou,1522.1669708678219,thepretender
41,au,1486.8639676388586,thepretender
42,te,1408.0844613306883,thepretender
43,si,1391.7692467772117,thepretender
44,avec,1277.6754675658458,thepretender
45,luire,1216.2031431698204,thepretender
46,nous,1181.069248687214,thepretender
47,ca,1180.4802718014073,thepretender
48,comme,1098.1428570997027,thepretender
49,trouver,1091.2044867884777,thepretender
50,pere,1039.1954813067555,thepretender
51,quelque,1004.0536051273,thepretender
52,quoi,984.7059492044277,thepretender
53,ici,974.8560713416065,thepretender
54,raines,967.6986793915244,thepretender
55,rien,966.5664788982255,thepretender
56,bien,962.7896714241404,thepretender
57,pourquoi,961.0745885623545,thepretender
58,plus,925.7472113396117,thepretender
59,parler,924.696218970256,thepretender
60,tuer,923.0149531175828,thepretender
61,taire,818.7764702518449,thepretender
62,appeler,810.8020954465469,thepretender
63,autre,802.8387377591939,thepretender
64,chose,800.2624400185493,thepretender
65,croire,798.9778982212847,thepretender
66,la,772.5530509985676,thepretender
67,broots,770.6113723658418,thepretender
68,venir,766.4275852471723,thepretender
69,quand,766.1946459942515,thepretender
70,mourir,716.2249049908073,thepretender
71,vie,701.46246540376,thepretender
72,jamais,699.7083811545881,thepretender
73,toi,698.3415571203519,thepretender
74,falloir,680.7359259686633,thepretender
75,arriver,677.3575839043027,thepretender
76,lyle,671.7149448559701,thepretender
77,passer,666.9163127174377,thepretender
78,centre,654.6855743724813,thepretender
79,ton,624.0008915607891,thepretender
80,par,617.7428022045546,thepretender
81,heure,616.2869978649413,thepretender
82,seul,608.6182386676958,thepretender
83,mort,585.9972848558356,thepretender
84,famille,583.3992508775979,thepretender
85,prendre,573.3116557615588,thepretender
86,mere,572.3208734780146,thepretender
87,aimer,568.2678582035392,thepretender
88,notre,555.2516730943812,thepretender
89,aider,551.4551996768072,thepretender
90,parker,550.2079268483496,thepretender
91,depuis,530.399704104616,thepretender
92,meme,526.5034271130297,thepretender
93,comment,525.1669822496519,thepretender
94,bon,525.00345876718,thepretender
95,connaitre,522.8736801813629,thepretender
96,apres,520.720372244896,thepretender
97,non,519.7645952397053,thepretender
98,aussi,514.6829252439645,thepretender
99,fait,510.86446614562345,thepretender
100,enfant,508.9809760235939,thepretender
101,homme,504.68908203534386,thepretender
102,toujours,498.30545449319027,thepretender
103,penser,496.61628346100997,thepretender
104,laisser,490.92962898057226,thepretender
105,peu,486.9659984867405,thepretender
106,avant,483.99072802936894,thepretender
107,tres,471.9077092793067,thepretender
108,temps,469.7106308051715,thepretender
109,petit,467.22410237413146,thepretender
110,sans,465.4973578057295,thepretender
111,oui,458.9710853535612,thepretender
112,sydney,456.7479821640176,thepretender
113,personne,450.1506996320728,thepretender
114,partir,447.21671681106926,thepretender
115,jour,434.7863691839549,thepretender
116,encore,428.1546766308942,thepretender
117,alors,415.0088234526173,thepretender
118,cameleon,413.5308346484636,thepretender
119,gens,410.46856081981434,thepretender
120,merci,404.03770569573135,thepretender
121,celui,393.4162095255271,thepretender
122,nouveau,382.7376868550813,thepretender
123,besoin,373.17325657231316,thepretender
124,mlle,370.46943238789163,thepretender
125,mal,370.0431161816274,thepretender
126,frere,369.5334612656668,thepretender
127,fils,363.1717719187658,thepretender
128,fois,356.45247506538334,thepretender
129,ami,353.1792429208099,thepretender
130,sou,351.5044461932247,thepretender
131,entendre,346.6815986455258,thepretender
132,vivre,341.378225743282,thepretender
133,perdre,341.2969680926581,thepretender
134,fille,334.79374748879246,thepretender
135,peur,334.6845350424333,thepretender
136,nlce,332.4414282385948,thepretender
137,angelo,329.2168128522154,thepretender
138,donner,328.89616662075093,thepretender
139,trop,328.4008675701958,thepretender
140,sortir,327.8468412712726,thepretender
141,entrer,327.69918024297937,thepretender
142,deux,324.79876804324476,thepretender
143,chez,319.01217527945096,thepretender
144,lls,317.5326051764988,thepretender
145,sauver,315.8749830177172,thepretender
146,femme,315.1782927879734,thepretender
147,chercher,314.18581198553693,thepretender
148,essayer,314.18581198553693,thepretender
149,finir,309.118298888996,thepretender
150,attendre,302.3616147602748,thepretender
151,nom,299.98043793160616,thepretender
152,quel,299.8152962586201,thepretender
153,mettre,297.29410166373384,thepretender
154,maintenant,297.0460108675138,thepretender
155,retrouver,293.91575959937325,thepretender
156,travailler,285.81519495444275,thepretender
157,sembler,285.4699044384717,thepretender
158,dernier,283.7807334062914,thepretender
159,cherche,282.0915623741111,thepretender
160,an,281.0,thepretender
161,vrai,280.7713973964232,thepretender
162,medecin,277.66638191722046,thepretender
163,monde,269.0025364277108,thepretender
164,deja,268.8246932025705,thepretender
165,devenir,268.57819411666867,thepretender
166,probleme,266.92487667686845,thepretender
167,mieux,258.1742828893673,thepretender
168,dieu,257.8962095976299,thepretender
169,combien,254.36024663224933,thepretender
170,maman,252.87374107259294,thepretender
171,lci,252.61571461857412,thepretender
172,dossier,251.57993772837213,thepretender
173,verite,249.99731276268528,thepretender
174,voiture,249.60762468778648,thepretender
175,brigitte,247.6890383148722,thepretender
176,arreter,246.61897069832466,thepretender
177,fai,246.51479914597655,thepretender
