,mots,poids,serie
0,be,9488.415729132139,theriches
1,you,5790.852767022703,theriches
2,to,3181.5150798163536,theriches
3,not,3088.515985175911,theriches
4,do,2604.2349284163706,theriches
5,the,2403.5574582961544,theriches
6,it,2194.298322755201,theriches
7,we,1944.1266484120497,theriches
8,that,1914.4584200480358,theriches
9,what,1639.4244880037231,theriches
10,get,1634.0514143891078,theriches
11,go,1417.5765600222746,theriches
12,have,1329.0715256190117,theriches
13,and,1316.4248795229892,theriches
14,know,1258.0577992501426,theriches
15,he,1224.8521186396088,theriches
16,of,1149.910794918195,theriches
17,this,1096.3685203885093,theriches
18,in,1067.197140524124,theriches
19,my,1037.9296077660563,theriches
20,your,933.9708590371382,theriches
21,just,901.387240421814,theriches
22,want,845.7962141465291,theriches
23,here,810.9630354883111,theriches
24,well,778.1789378181945,theriches
25,doug,759.8259911235497,theriches
26,for,759.0032384748915,theriches
27,she,741.3833070879801,theriches
28,no,718.1929242872588,theriches
29,shit,707.4578495039996,theriches
30,they,696.816116716343,theriches
31,can,687.4528336616365,theriches
32,all,686.9638133477689,theriches
33,on,684.0,theriches
34,so,677.8477042491985,theriches
35,think,659.4207063439319,theriches
36,right,618.9374694739058,theriches
37,will,609.9144083595919,theriches
38,about,605.9242745552058,theriches
39,like,573.7047849558605,theriches
40,come,560.1687324325815,theriches
41,with,554.5388959257214,theriches
42,there,539.4128367878573,theriches
43,cherien,537.2572243959038,theriches
44,how,482.6153927413951,theriches
45,okay,480.90750334909745,theriches
46,now,473.6479323203212,theriches
47,would,471.43122157733103,theriches
48,yeah,453.10209941435386,theriches
49,out,450.88321700449336,theriches
50,panco,445.0009333380213,theriches
51,say,437.1347387151751,theriches
52,tell,435.16728145599785,theriches
53,mean,429.91559931916186,theriches
54,good,422.2168707344317,theriches
55,up,411.76248225824753,theriches
56,if,409.78913211132897,theriches
57,wayne,400.9685218535359,theriches
58,oh,394.56886435892824,theriches
59,take,388.7039046122306,theriches
60,dahlia,363.64916604094054,theriches
61,hugh,357.42151126313,theriches
62,who,356.76866447889745,theriches
63,where,352.9125059421452,theriches
64,make,340.8569389508102,theriches
65,look,334.63212881012805,theriches
66,really,334.02364408068706,theriches
67,at,333.5543724153889,theriches
68,could,323.3429315952878,theriches
69,why,317.3504864693798,theriches
70,ve,317.1539539534829,theriches
71,see,313.56725252235435,theriches
72,thing,313.1441518800217,theriches
73,his,309.91110980211295,theriches
74,but,304.41601288545706,theriches
75,call,303.15086171003276,theriches
76,one,302.95459808102544,theriches
77,let,299.71825529182905,theriches
78,back,292.245331479584,theriches
79,rich,290.60776693858804,theriches
80,some,281.57077475959676,theriches
81,need,281.26949559693776,theriches
82,our,281.19628242765106,theriches
83,pete,280.6513626781436,theriches
84,god,274.12329781788407,theriches
85,give,269.97565162325,theriches
86,dale,269.20819708993486,theriches
87,thank,265.3009416864822,theriches
88,cal,259.28233840659436,theriches
89,money,251.04859447574358,theriches
90,talk,248.98067413170625,theriches
91,little,247.49010744995226,theriches
92,from,239.65461211357777,theriches
93,dad,229.97114231635783,theriches
94,sorry,229.3855306143579,theriches
95,work,224.76608186251227,theriches
96,then,220.32777155093459,theriches
97,hell,218.13374088511605,theriches
98,something,214.0773383154471,theriches
99,goddamn,213.84755119025067,theriches
100,love,202.3954809836932,theriches
101,malloy,202.3223451155674,theriches
102,guy,201.00372569379422,theriches
103,an,193.0,theriches
104,never,192.04118039218994,theriches
105,when,191.23492831862018,theriches
106,time,189.98598767895336,theriches
107,kid,189.50184250559093,theriches
108,friend,187.5510424264875,theriches
109,should,184.7667306328334,theriches
110,people,183.59505372443678,theriches
111,buffer,182.9719584621769,theriches
112,hey,181.86632854027556,theriches
113,too,178.6871177759754,theriches
114,life,178.24737244228336,theriches
115,real,177.90678711098246,theriches
116,house,176.58760892579414,theriches
117,try,172.60551942925457,theriches
118,off,171.1049358640286,theriches
119,riches,169.7029441524389,theriches
120,down,168.178675167423,theriches
121,maybe,165.14548490191305,theriches
122,mom,161.56713187270083,theriches
123,more,160.57067037376598,theriches
124,live,160.2893917303526,theriches
125,find,160.10183991611336,theriches
126,or,157.30937809479013,theriches
127,di,156.16935545247267,theriches
128,over,155.70930624197138,theriches
129,even,155.213430619203,theriches
130,much,154.18463174234475,theriches
131,kind,153.4271283815596,theriches
132,leave,152.73398457610486,theriches
133,home,152.0199930566446,theriches
134,any,151.36802194382113,theriches
135,happen,151.123893522178,theriches
136,uh,150.6448727342687,theriches
137,her,150.23518230804817,theriches
138,bullshit,149.96426675854218,theriches
139,asshole,148.43338412982956,theriches
140,very,146.7646228590116,theriches
141,nina,146.29743179928826,theriches
142,as,146.0,theriches
143,way,145.43561569765228,theriches
144,man,144.7948953459767,theriches
145,day,144.03764147399374,theriches
146,panetta,143.89644018433302,theriches
147,yes,141.1478073188377,theriches
148,hi,140.73895691147726,theriches
149,baby,140.26399973517258,theriches
150,use,139.97472996955503,theriches
151,great,137.84840569823305,theriches
152,school,136.0463666142807,theriches
153,year,135.4750364852415,theriches
154,help,132.4422160953037,theriches
155,feel,131.05693698099304,theriches
156,wait,130.97556060541993,theriches
157,edenfall,130.24417561112818,theriches
158,us,129.72318110973174,theriches
159,everything,128.86929948608847,theriches
160,because,128.58143799528892,theriches
161,please,128.28865183832085,theriches
162,around,127.56245044357422,theriches
163,ma,127.24468218298436,theriches
164,put,126.13208313598263,theriches
165,bad,125.9248338192503,theriches
166,didi,125.51862249207137,theriches
167,hear,125.22681703768541,theriches
168,got,124.49033706585313,theriches
169,ask,124.2678896291623,theriches
170,name,123.44605640087825,theriches
171,nothing,121.3398918853511,theriches
172,those,120.46865996293616,theriches
173,lawyer,119.90297229471388,theriches
174,family,119.67059395780673,theriches
175,huh,119.51028717901092,theriches
176,cause,119.0,theriches
177,anything,116.67528560776755,theriches
178,damn,116.59483743390783,theriches
179,ever,114.55048843207864,theriches
180,keep,114.03435718961853,theriches
181,rosemere,113.96365365973716,theriches
182,big,113.30974385730941,theriches
183,sure,112.53067304124467,theriches
184,nice,111.44343758866714,theriches
185,than,111.36853042007645,theriches
186,rudy,108.85155802499992,theriches
187,dead,108.72132789997721,theriches
188,two,106.78862714565165,theriches
