,mots,poids,serie
0,etre,7070.188878374971,theriches
1,je,5149.218478842999,theriches
2,le,4905.4421269536915,theriches
3,avoir,4062.6225036033807,theriches
4,ce,3873.441946190898,theriches
5,de,3654.5001781884916,theriches
6,que,2952.5952099708647,theriches
7,un,2631.8588807741953,theriches
8,pas,2572.506574410938,theriches
9,vous,2096.122444761483,theriches
10,ne,1787.9167790303995,theriches
11,il,1765.557316920085,theriches
12,tu,1707.2905348124118,theriches
13,aller,1582.0711673654744,theriches
14,cela,1542.2131523806192,theriches
15,et,1352.3034009872895,theriches
16,te,1231.7449119677797,theriches
17,faire,1179.4897009847618,theriches
18,on,1069.0,theriches
19,en,1029.2911737543295,theriches
20,mon,1019.2943555849236,theriches
21,pouvoir,993.6281189298569,theriches
22,me,970.4291817631855,theriches
23,tout,934.8273945830059,theriches
24,vouloir,856.4097133154152,theriches
25,dire,775.0047095017765,theriches
26,savoir,753.0402038454749,theriches
27,lui,721.1237962634364,theriches
28,bien,711.6271484439299,theriches
29,pour,686.6443349387338,theriches
30,dans,678.7146790384238,theriches
31,devoir,668.9117287434011,theriches
32,doug,653.1509135520168,theriches
33,se,642.2428417735922,theriches
34,taire,640.5622898684865,theriches
35,moi,630.6604156799132,theriches
36,quoi,629.8862848629976,theriches
37,nous,624.8959083040605,theriches
38,qui,624.3704473064317,theriches
39,mais,544.379861992967,theriches
40,sur,518.0424843085001,theriches
41,ou,501.4679338496325,theriches
42,voir,479.7044740137922,theriches
43,avec,474.027016222218,theriches
44,si,463.9230822590706,theriches
45,cherien,445.0009333380213,theriches
46,luire,413.84690288417494,theriches
47,toi,408.0379075091202,theriches
48,votre,404.0921500701716,theriches
49,non,403.4156168073863,theriches
50,panco,379.8788455324572,theriches
51,vraiment,379.7660419275855,theriches
52,bon,350.4464712075338,theriches
53,son,345.3732553167209,theriches
54,comme,341.9655388336794,theriches
55,wayne,330.84398215717755,theriches
56,alors,329.6642670167968,theriches
57,au,328.82568515090145,theriches
58,ici,328.2678607578879,theriches
59,ton,327.6563821277979,theriches
60,plus,324.3801377617752,theriches
61,penser,324.3208381786187,theriches
62,aimer,322.80304371325303,theriches
63,veux,321.46862321063156,theriches
64,hugh,302.07882564819374,theriches
65,rien,301.74116493906865,theriches
66,parler,300.9465876285015,theriches
67,quelque,297.86923618776564,theriches
68,oui,296.25892800413817,theriches
69,peu,292.84896816212915,theriches
70,la,277.3267362558961,theriches
71,pourquoi,274.83068823706844,theriches
72,prendre,274.0463339857304,theriches
73,notre,272.05741002618674,theriches
74,pete,264.8844321906074,theriches
75,appeler,263.5106810201277,theriches
76,merde,262.72736000831014,theriches
77,rich,246.4840745761846,theriches
78,juste,243.53250606275554,theriches
79,chose,243.41978791816712,theriches
80,croire,243.24062863396406,theriches
81,dahlia,238.39223107128322,theriches
82,dal,236.22842161192645,theriches
83,venir,235.9525972049155,theriches
84,tres,231.2660297130377,theriches
85,maison,226.685840283267,theriches
86,dieu,223.4005382501762,theriches
87,cal,220.7951162993655,theriches
88,meme,220.73901447285408,theriches
89,quand,218.19891005488464,theriches
90,malloy,217.59195606768571,theriches
91,jamais,209.5824632231903,theriches
92,maintenant,204.6316963753984,theriches
93,argent,204.15756637588433,theriches
94,merci,201.29992454591599,theriches
95,sai,192.19016893581335,theriches
96,petit,188.47345146617508,theriches
97,as,188.0,theriches
98,par,187.77204119874125,theriches
99,arriver,187.49798457201396,theriches
100,passer,187.2622158861771,theriches
