,mots,poids,serie
0,etre,8059.426683975539,thesarahconnorchronicles
1,le,6941.850132241403,thesarahconnorchronicles
2,avoir,5477.028843370883,thesarahconnorchronicles
3,je,4894.038493318941,thesarahconnorchronicles
4,ce,4357.437739848275,thesarahconnorchronicles
5,de,3949.8565615501384,thesarahconnorchronicles
6,un,3396.6434346433807,thesarahconnorchronicles
7,pas,3040.3635393175427,thesarahconnorchronicles
8,que,3010.257965957868,thesarahconnorchronicles
9,il,2634.3447664535906,thesarahconnorchronicles
10,vous,2482.690964867296,thesarahconnorchronicles
11,cela,1749.9811893387969,thesarahconnorchronicles
12,ne,1680.8796326139454,thesarahconnorchronicles
13,tu,1499.218807002344,thesarahconnorchronicles
14,et,1368.2561634308781,thesarahconnorchronicles
15,lui,1323.9767193356029,thesarahconnorchronicles
16,pouvoir,1286.1683772949925,thesarahconnorchronicles
17,aller,1237.4116675674697,thesarahconnorchronicles
18,te,1234.3768455403606,thesarahconnorchronicles
19,faire,1226.4748676448692,thesarahconnorchronicles
20,en,1137.5110401537333,thesarahconnorchronicles
21,on,1083.0,thesarahconnorchronicles
22,savoir,1000.7067597768756,thesarahconnorchronicles
23,me,967.934505203383,thesarahconnorchronicles
24,qui,958.6293736421982,thesarahconnorchronicles
25,tout,922.5472317641816,thesarahconnorchronicles
26,dans,911.4633579412886,thesarahconnorchronicles
27,pour,870.7603238024321,thesarahconnorchronicles
28,dire,842.5839698850483,thesarahconnorchronicles
29,mon,801.179619354863,thesarahconnorchronicles
30,devoir,763.5053065454983,thesarahconnorchronicles
31,se,721.7467912387951,thesarahconnorchronicles
32,mais,712.8783907050758,thesarahconnorchronicles
33,vouloir,692.5601231939254,thesarahconnorchronicles
34,nous,680.8328821931708,thesarahconnorchronicles
35,voir,666.2562139080447,thesarahconnorchronicles
36,quoi,665.6937739249768,thesarahconnorchronicles
37,moi,660.6918640456233,thesarahconnorchronicles
38,ou,654.5044695203651,thesarahconnorchronicles
39,si,589.7327316852592,thesarahconnorchronicles
40,sur,540.5660705827827,thesarahconnorchronicles
41,bien,530.7303312974686,thesarahconnorchronicles
42,avec,530.5335479573168,thesarahconnorchronicles
43,son,528.0998031877767,thesarahconnorchronicles
44,comme,505.7236841906526,thesarahconnorchronicles
45,taire,497.65469239126503,thesarahconnorchronicles
46,quelque,470.2317717346188,thesarahconnorchronicles
47,skynet,462.10541250958227,thesarahconnorchronicles
48,luire,461.14369178522355,thesarahconnorchronicles
49,votre,456.6569825996248,thesarahconnorchronicles
50,john,455.22619122211324,thesarahconnorchronicles
51,ici,442.6642364765458,thesarahconnorchronicles
52,tuer,435.44785584235694,thesarahconnorchronicles
53,parler,432.08532413701056,thesarahconnorchronicles
54,chose,410.4725835482818,thesarahconnorchronicles
55,pourquoi,394.7568067405165,thesarahconnorchronicles
56,toi,380.62034060139274,thesarahconnorchronicles
57,non,372.9691551615458,thesarahconnorchronicles
58,rien,368.05790448611674,thesarahconnorchronicles
59,au,360.0186355209474,thesarahconnorchronicles
60,quand,354.7814339060338,thesarahconnorchronicles
61,connor,347.5910346703057,thesarahconnorchronicles
62,plus,345.4437830709814,thesarahconnorchronicles
63,la,340.0554027899678,thesarahconnorchronicles
64,venir,321.297153640736,thesarahconnorchronicles
65,penser,317.5641540498975,thesarahconnorchronicles
66,trouver,309.118298888996,thesarahconnorchronicles
67,jamais,292.0952440197219,thesarahconnorchronicles
68,oui,290.118846594726,thesarahconnorchronicles
69,croire,283.7807334062914,thesarahconnorchronicles
70,ton,269.5057614088713,thesarahconnorchronicles
71,alors,269.4210507091588,thesarahconnorchronicles
72,passer,269.3947667134478,thesarahconnorchronicles
73,arriver,258.4431679235868,thesarahconnorchronicles
74,autre,256.5086423545972,thesarahconnorchronicles
75,ellison,251.07229246513862,thesarahconnorchronicles
76,peu,251.013401281825,thesarahconnorchronicles
77,prendre,247.14608034295932,thesarahconnorchronicles
78,connaitre,245.46481449028613,thesarahconnorchronicles
79,aimer,238.73975107959336,thesarahconnorchronicles
80,notre,232.28293487615946,thesarahconnorchronicles
81,meme,228.91453352740422,thesarahconnorchronicles
82,mourir,225.9120611536425,thesarahconnorchronicles
83,appeler,211.14637902253824,thesarahconnorchronicles
84,par,210.90337960728183,thesarahconnorchronicles
85,besoin,209.1778344015208,thesarahconnorchronicles
86,aussi,203.20814524195364,thesarahconnorchronicles
87,personne,199.13729835024782,thesarahconnorchronicles
88,vraiment,198.2112236376433,thesarahconnorchronicles
89,mort,197.47305763635006,thesarahconnorchronicles
90,comment,192.4103167725018,thesarahconnorchronicles
91,maintenant,191.42965144795335,thesarahconnorchronicles
92,temps,184.88609935948242,thesarahconnorchronicles
93,turc,184.14650241382697,thesarahconnorchronicles
94,toujours,182.43047147547304,thesarahconnorchronicles
95,sarah,178.7484821141923,thesarahconnorchronicles
96,veux,178.22353722040197,thesarahconnorchronicles
97,bon,177.22197973612927,thesarahconnorchronicles
98,futur,175.53408083132354,thesarahconnorchronicles
99,celui,173.17038282533886,thesarahconnorchronicles
100,tres,170.32430566703454,thesarahconnorchronicles
101,truc,169.80785111999248,thesarahconnorchronicles
102,fai,168.22969401178128,thesarahconnorchronicles
103,fille,168.22969401178128,thesarahconnorchronicles
104,fait,167.55040368763213,thesarahconnorchronicles
105,falloir,167.22793218585028,thesarahconnorchronicles
106,partir,166.4453194146461,thesarahconnorchronicles
107,maman,164.62250257745984,thesarahconnorchronicles
108,aider,161.40152185662652,thesarahconnorchronicles
109,sai,160.9797996214505,thesarahconnorchronicles
110,cromartie,157.37837886344656,thesarahconnorchronicles
111,merci,156.7263698250346,thesarahconnorchronicles
112,jour,153.82333638999125,thesarahconnorchronicles
113,monde,152.99519259326053,thesarahconnorchronicles
114,mere,149.52527325101283,thesarahconnorchronicles
115,ouai,149.05436678706488,thesarahconnorchronicles
116,as,149.0,thesarahconnorchronicles
117,juste,148.37742091240733,thesarahconnorchronicles
118,homme,148.24200759453996,thesarahconnorchronicles
119,seul,147.95139503524095,thesarahconnorchronicles
120,riley,147.58049497316335,thesarahconnorchronicles
121,gens,145.26870876750633,thesarahconnorchronicles
122,vie,145.18286320992854,thesarahconnorchronicles
123,deux,145.05576048533263,thesarahconnorchronicles
124,savannah,143.24055839861376,thesarahconnorchronicles
125,cameron,139.10178401251483,thesarahconnorchronicles
126,fois,137.60723456012474,thesarahconnorchronicles
127,encore,137.50953118072513,thesarahconnorchronicles
128,fils,136.82285360660478,thesarahconnorchronicles
129,comprendre,130.06616947788356,thesarahconnorchronicles
130,arreter,130.06616947788356,thesarahconnorchronicles
131,humain,128.4951437819525,thesarahconnorchronicles
132,nouveau,128.12677929054223,thesarahconnorchronicles
133,avant,127.53809725098236,thesarahconnorchronicles
134,reese,125.90598769496566,thesarahconnorchronicles
135,pere,125.5067006409125,thesarahconnorchronicles
136,donc,123.83327796570033,thesarahconnorchronicles
137,sans,123.6985985777463,thesarahconnorchronicles
138,apres,123.19882624090599,thesarahconnorchronicles
139,entrer,121.62031431698203,thesarahconnorchronicles
140,quel,121.59175903821816,thesarahconnorchronicles
141,vrai,117.68860968712349,thesarahconnorchronicles
142,heure,116.59483743390783,thesarahconnorchronicles
143,demander,116.55280122044111,thesarahconnorchronicles
144,nom,116.1214598444927,thesarahconnorchronicles
145,parce,116.0073438344503,thesarahconnorchronicles
146,enfant,114.39637571865791,thesarahconnorchronicles
147,envoyer,114.3260779817771,thesarahconnorchronicles
148,entendre,113.93291974266107,thesarahconnorchronicles
149,sou,113.86763749921363,thesarahconnorchronicles
150,baum,112.70547267597922,thesarahconnorchronicles
151,maison,111.7002691250881,thesarahconnorchronicles
152,mal,111.01293485448822,thesarahconnorchronicles
153,machine,110.40859794704208,thesarahconnorchronicles
154,essayer,109.79611709171989,thesarahconnorchronicles
155,sortir,109.28228042375753,thesarahconnorchronicles
156,deja,106.96689363034218,thesarahconnorchronicles
157,charley,106.93359670509668,thesarahconnorchronicles
158,ordinateur,106.37809330035313,thesarahconnorchronicles
159,beaucoup,106.11530460700614,thesarahconnorchronicles
160,arme,104.23848286573795,thesarahconnorchronicles
161,ami,104.06174121773863,thesarahconnorchronicles
162,guerre,102.55721701306476,thesarahconnorchronicles
163,petit,101.3638730574387,thesarahconnorchronicles
164,dernier,101.35026193081836,thesarahconnorchronicles
165,depuis,101.35026193081836,thesarahconnorchronicles
166,rester,100.87595116039157,thesarahconnorchronicles
167,allez,100.66559257176857,thesarahconnorchronicles
168,henry,100.05512414986961,thesarahconnorchronicles
169,est,99.21300928691981,thesarahconnorchronicles
170,laisser,99.19468530771837,thesarahconnorchronicles
171,dieu,98.55906099272478,thesarahconnorchronicles
172,888,98.32030053395368,thesarahconnorchronicles
173,frere,98.10622865460181,thesarahconnorchronicles
174,bedell,97.68313170834614,thesarahconnorchronicles
175,securite,97.19476829102459,thesarahconnorchronicles
176,aucun,96.28274883427744,thesarahconnorchronicles
177,an,96.0,thesarahconnorchronicles
178,changer,95.59447168025375,thesarahconnorchronicles
179,chercher,94.59357780209713,thesarahconnorchronicles
180,probleme,94.50135385454348,thesarahconnorchronicles
181,famille,94.1508877496988,thesarahconnorchronicles
182,derek,94.09385490404094,thesarahconnorchronicles
183,trois,93.63110794308855,thesarahconnorchronicles
184,mettre,92.90440676991683,thesarahconnorchronicles
185,puce,92.61205962879194,thesarahconnorchronicles
186,attendre,91.21523573773652,thesarahconnorchronicles
187,perdre,90.78835604435241,thesarahconnorchronicles
188,apprendre,89.52606470555621,thesarahconnorchronicles
189,weaver,87.8394159522938,thesarahconnorchronicles
190,histoire,87.83689367337591,thesarahconnorchronicles
191,travailler,87.42582433900603,thesarahconnorchronicles
192,reste,87.42582433900603,thesarahconnorchronicles
193,proteger,86.9637400498641,thesarahconnorchronicles
194,revenir,86.1477226411956,thesarahconnorchronicles
195,accord,86.02205640217817,thesarahconnorchronicles
196,sg,84.71329597386703,thesarahconnorchronicles
197,regarder,84.4585516090153,thesarahconnorchronicles
198,metal,84.22187432258323,thesarahconnorchronicles
199,tete,84.16303641246225,thesarahconnorchronicles
200,souvenir,83.70184202267431,thesarahconnorchronicles
201,vivre,83.67113376060833,thesarahconnorchronicles
202,ecoute,82.76938057683499,thesarahconnorchronicles
203,moins,82.76938057683499,thesarahconnorchronicles
204,trop,82.51278079653162,thesarahconnorchronicles
205,combien,81.99771108539616,thesarahconnorchronicles
206,lazlo,80.47278898836339,thesarahconnorchronicles
207,premier,80.17600850601927,thesarahconnorchronicles
208,femme,79.19052582612397,thesarahconnorchronicles
209,detruire,78.43788318223037,thesarahconnorchronicles
210,mentir,78.43788318223037,thesarahconnorchronicles
211,ia,78.40289801110914,thesarahconnorchronicles
212,ca,77.6442566105676,thesarahconnorchronicles
213,commencer,77.33822922296686,thesarahconnorchronicles
214,sherman,77.22627661651069,thesarahconnorchronicles
215,systeme,77.20980584530925,thesarahconnorchronicles
216,raison,76.14837355258766,thesarahconnorchronicles
217,sang,75.561946761089,thesarahconnorchronicles
218,fou,74.87020440232013,thesarahconnorchronicles
219,porte,74.60633199042907,thesarahconnorchronicles
220,donner,74.5281953918943,thesarahconnorchronicles
221,genre,74.22606460674088,thesarahconnorchronicles
222,greenway,73.5798821505246,thesarahconnorchronicles
223,dormir,72.63435438375316,thesarahconnorchronicles
224,chez,71.61497812395838,thesarahconnorchronicles
225,fischer,71.30442012094805,thesarahconnorchronicles
226,dehors,70.94518335157285,thesarahconnorchronicles
227,cherche,70.94518335157285,thesarahconnorchronicles
228,oeil,70.61316581227409,thesarahconnorchronicles
229,moment,70.27944148886762,thesarahconnorchronicles
230,kyle,70.22671058262245,thesarahconnorchronicles
231,echec,69.59929547964522,thesarahconnorchronicles
232,sauver,69.25601231939254,thesarahconnorchronicles
233,finir,69.25601231939254,thesarahconnorchronicles
234,desoler,67.56684128721224,thesarahconnorchronicles
235,voiture,67.13584388154257,thesarahconnorchronicles
236,mec,67.13584388154257,thesarahconnorchronicles
237,plait,67.12436866693233,thesarahconnorchronicles
238,argent,66.93690700848666,thesarahconnorchronicles
239,monsieur,66.00587515118104,thesarahconnorchronicles
240,cas,65.82435254545003,thesarahconnorchronicles
241,sarkissian,65.12208780556409,thesarahconnorchronicles
242,ecole,65.10420618285592,thesarahconnorchronicles
243,desolee,64.79651219401639,thesarahconnorchronicles
244,andy,64.51192213582928,thesarahconnorchronicles
245,parfois,64.49128966952034,thesarahconnorchronicles
246,endosquelette,64.15536334429022,thesarahconnorchronicles
247,aide,64.08814442410831,thesarahconnorchronicles
248,coltan,63.90819534706989,thesarahconnorchronicles
249,type,63.73365496317736,thesarahconnorchronicles
250,idee,63.59006165806233,thesarahconnorchronicles
251,aujourd,63.294340321264244,thesarahconnorchronicles
252,desole,63.294340321264244,thesarahconnorchronicles
253,hui,63.000902569695654,thesarahconnorchronicles
254,sembler,62.49932819067132,thesarahconnorchronicles
255,serrano,61.538015108748475,thesarahconnorchronicles
256,contre,61.09701126586138,thesarahconnorchronicles
257,suivre,60.810157158491016,thesarahconnorchronicles
258,projet,60.810157158491016,thesarahconnorchronicles
259,devenir,60.810157158491016,thesarahconnorchronicles
260,stark,60.57355074348662,thesarahconnorchronicles
261,mot,60.49884100367112,thesarahconnorchronicles
262,partie,60.32692409267439,thesarahconnorchronicles
263,semaine,60.243216307637994,thesarahconnorchronicles
264,nuit,59.963059251724026,thesarahconnorchronicles
265,hein,59.68506559234326,thesarahconnorchronicles
266,gars,59.3998720640319,thesarahconnorchronicles
267,battre,59.3998720640319,thesarahconnorchronicles
268,pendant,59.338758694266666,thesarahconnorchronicles
269,jouer,59.12098612631071,thesarahconnorchronicles
270,air,58.93174694522079,thesarahconnorchronicles
271,laisse,58.844304843561744,thesarahconnorchronicles
272,mieux,58.29741871695391,thesarahconnorchronicles
273,ressembler,57.4318150941304,thesarahconnorchronicles
274,jusque,57.4318150941304,thesarahconnorchronicles
275,assez,57.4318150941304,thesarahconnorchronicles
276,sentir,57.4318150941304,thesarahconnorchronicles
277,oncle,56.857256763981844,thesarahconnorchronicles
278,informatique,56.05613225328382,thesarahconnorchronicles
279,rendre,55.48177313821536,thesarahconnorchronicles
280,corps,55.11833849273323,thesarahconnorchronicles
281,point,55.0,thesarahconnorchronicles
282,chronicles,54.95451348091764,thesarahconnorchronicles
283,cyberdyne,54.07616529367452,thesarahconnorchronicles
