,mots,poids,serie
0,be,11016.8572990772,theshield
1,you,6219.123081854431,theshield
2,to,5235.9308064926845,theshield
3,the,4717.044763418264,theshield
4,not,3555.8193814432157,theshield
5,do,2800.6045280456124,theshield
6,get,2647.671596416386,theshield
7,that,2635.6119116084187,theshield
8,it,2534.965642269707,theshield
9,he,2516.3062216402495,theshield
10,we,2508.326376257148,theshield
11,have,2007.4839052853288,theshield
12,this,1962.5439194033884,theshield
13,and,1871.0551784727247,theshield
14,of,1766.9360995084462,theshield
15,in,1758.3237710298715,theshield
16,go,1655.9525826378272,theshield
17,what,1630.8709689358777,theshield
18,your,1514.6919948854447,theshield
19,for,1366.4522588776863,theshield
20,know,1287.314957372239,theshield
21,on,1269.0,theshield
22,they,1258.813463024524,theshield
23,with,1221.674521988645,theshield
24,my,1200.4337382748831,theshield
25,will,1096.0780671969478,theshield
26,pezuela,1090.7949707431985,theshield
27,out,1013.2347848795421,theshield
28,just,1003.5917779184607,theshield
29,can,993.4448135150196,theshield
30,his,972.9050262941954,theshield
31,want,957.8526998683017,theshield
32,vic,939.0662006874693,theshield
33,she,878.2988883576661,theshield
34,about,878.2988883576661,theshield
35,up,863.7810731171618,theshield
36,all,847.2139614885684,theshield
37,right,829.8346812946442,theshield
38,shane,815.9681279136262,theshield
39,if,815.2646944109597,theshield
40,here,780.5329028245845,theshield
41,guardo,750.3171523897364,theshield
42,need,748.4893799496289,theshield
43,now,732.1326270926917,theshield
44,take,707.1421033907118,theshield
45,come,689.654972090364,theshield
46,well,676.6093977415226,theshield
47,no,671.6012947053322,theshield
48,rezian,667.501400007032,theshield
49,would,665.3644665740258,theshield
50,there,662.9099862629719,theshield
51,shit,658.1576509322923,theshield
52,think,650.0450564907006,theshield
53,like,644.1597585469311,theshield
54,at,643.283432515393,theshield
55,so,632.5663798762763,theshield
56,see,631.6789579798152,theshield
57,make,627.6572708433421,theshield
58,tell,622.7937542576781,theshield
59,who,614.9183485327338,theshield
60,give,607.4452161523125,theshield
61,one,595.6395487694737,theshield
62,lem,579.0729458179622,theshield
63,look,564.4549493514236,theshield
64,guy,557.8581662371246,theshield
65,how,556.5158747549212,theshield
66,say,532.0287567280778,theshield
67,let,524.5069467607009,theshield
68,find,522.6854185496642,theshield
69,salvadoran,519.0550163792012,theshield
70,yeah,515.6927798139343,theshield
71,back,513.7227351569369,theshield
72,ve,490.55120915234977,theshield
73,some,477.58136934362545,theshield
74,but,474.76802009619297,theshield
75,from,462.49135671041324,theshield
76,down,459.68837879095616,theshield
77,hey,458.99597203021926,theshield
78,thing,446.6909225347368,theshield
79,mackey,439.61589756539746,theshield
80,man,433.2708791506534,theshield
81,armenian,431.99203262384145,theshield
82,where,423.79664175103755,theshield
83,why,416.9114234009499,theshield
84,when,408.35127550742953,theshield
85,kill,402.4218888475198,theshield
86,call,402.3638709969526,theshield
87,good,400.3545084957557,theshield
88,could,398.68497390875285,theshield
89,time,398.00861975780737,theshield
90,hernan,393.28120213581474,theshield
91,off,386.78342644893854,theshield
92,try,383.56782095389906,theshield
93,keep,375.3630924158277,theshield
94,our,363.7212783575052,theshield
95,work,353.203842926805,theshield
96,talk,346.7945103977337,theshield
97,any,338.54353294962146,theshield
98,hear,327.51629071394643,theshield
99,as,324.0,theshield
100,corrine,320.2888987728718,theshield
101,into,313.7619167019695,theshield
102,way,310.42559989246786,theshield
103,over,308.6626955593061,theshield
104,cop,304.3091193338479,theshield
105,help,302.7250653606942,theshield
106,an,300.0,theshield
107,claudette,299.8769166285587,theshield
108,mean,294.0686627313226,theshield
109,or,293.21611971409857,theshield
110,something,292.2077537590409,theshield
111,marcos,290.12260809024764,theshield
112,mara,287.52736329770653,theshield
113,too,279.2924698011044,theshield
114,happen,279.2506728127202,theshield
115,more,274.1819937514306,theshield
116,kid,273.5550791008127,theshield
117,her,272.46041537222294,theshield
118,only,270.9070612827042,theshield
119,maybe,268.157024989245,theshield
120,then,267.20602081709086,theshield
121,anything,266.461125239361,theshield
122,day,264.28925041099774,theshield
123,still,260.95558758160337,theshield
124,put,258.2704559451073,theshield
125,mexican,256.9378016815894,theshield
126,two,247.22298613171407,theshield
127,leave,245.0107669241682,theshield
128,never,241.60019468694864,theshield
129,by,238.5683073791935,theshield
130,their,237.09005258195438,theshield
131,other,233.87391388216056,theshield
132,lemansky,233.354147969938,theshield
133,aceveda,233.354147969938,theshield
134,should,232.1847411492243,theshield
135,okay,227.36314628252458,theshield
136,people,222.83674459683547,theshield
137,vendrell,222.50046666901065,theshield
138,money,220.61846181201707,theshield
139,even,220.14966179662466,theshield
140,these,218.45048652420027,theshield
141,run,218.05133469624545,theshield
142,emolia,217.07362601854697,theshield
143,murder,216.82993418399454,theshield
144,thank,214.84493437187515,theshield
145,asshole,214.75468342188105,theshield
146,around,214.6782702586981,theshield
147,sorry,214.5332300709822,theshield
148,iook,210.83470851166592,theshield
149,last,210.79711750124812,theshield
150,use,208.33448181515166,theshield
151,those,206.28195199132904,theshield
152,before,205.3444324213634,theshield
153,turn,204.56950450874615,theshield
154,really,202.97130525477158,theshield
155,ask,201.1177687419337,theshield
156,goddamn,198.99702680203882,theshield
157,start,198.67128649779693,theshield
158,stay,196.57850823887324,theshield
159,uh,195.5740453041383,theshield
160,sure,192.0248182171698,theshield
161,kavanaugh,190.43338486630972,theshield
162,beltran,190.14886738644006,theshield
163,little,189.4846135163697,theshield
164,away,189.19812470397395,theshield
165,nothing,188.23239638624977,theshield
166,own,184.473086704173,theshield
167,vontez,180.801478515727,theshield
168,first,178.46866454478769,theshield
169,because,175.78221903153423,theshield
170,move,174.95610776737323,theshield
171,us,174.62735918617733,theshield
172,might,174.15460589235335,theshield
173,head,172.6448410302229,theshield
174,name,171.88691397590642,theshield
175,cartel,169.87294569073646,theshield
176,dutch,169.87294569073646,theshield
177,farmington,169.7029441524389,theshield
178,wait,169.10768584497256,theshield
179,hiatt,168.2320601643739,theshield
180,than,165.4618166241136,theshield
181,year,164.50540144636466,theshield
182,through,164.1642348513882,theshield
183,house,163.9742082882374,theshield
184,wyms,162.80521951391023,theshield
185,oh,162.64670744566507,theshield
186,listen,162.01781606933542,theshield
187,bring,159.66700728617747,theshield
188,gun,158.93702919823755,theshield
189,detective,158.24010275514198,theshield
190,deal,157.76564972001202,theshield
191,everything,157.50692159410812,theshield
192,byz,157.37837886344656,theshield
193,mexicans,156.64187256337624,theshield
194,ok,156.58180275003673,theshield
195,ronnie,156.44954485883747,theshield
196,hell,156.02621743865942,theshield
197,another,155.91594258810704,theshield
198,lose,154.82861312599027,theshield
199,case,154.05176580986856,theshield
200,wagenbach,151.95153821298288,theshield
201,friend,151.8270343452518,theshield
202,today,150.89704503691098,theshield
203,please,150.46199906963557,theshield
204,ever,149.55202656410268,theshield
205,family,148.45212921348175,theshield
206,bad,148.06546394131627,theshield
207,night,147.90706579481466,theshield
208,else,147.43621262309523,theshield
209,girl,147.29461932508326,theshield
210,ass,146.95787979968662,theshield
211,already,144.91072652499972,theshield
212,after,144.82293270437688,theshield
213,enough,144.55328945599635,theshield
214,hand,142.51309197699715,theshield
215,julien,141.24390130709423,theshield
216,zadofian,141.09785691205553,theshield
217,every,140.3256813390718,theshield
218,street,139.17111830516188,theshield
219,place,139.0,theshield
220,diro,138.75728160632113,theshield
221,bullshit,137.46724452866366,theshield
222,much,137.22432225068684,theshield
223,someone,136.82419451609394,theshield
224,got,133.38250399912835,theshield
225,dead,132.22864204051282,theshield
226,until,132.02044927445058,theshield
227,intel,131.0275017007138,theshield
228,gardocki,130.24417561112818,theshield
229,clear,129.1732010618924,theshield
230,guess,128.2543211772986,theshield
231,few,127.18012331612466,theshield
232,life,125.18136079916083,theshield
233,nydia,124.81733496066451,theshield
234,send,124.41367309781626,theshield
235,lot,124.36440852135377,theshield
236,job,123.6406212985645,theshield
237,barn,122.92464238908659,theshield
238,father,122.57265205807563,theshield
239,god,122.34881654018554,theshield
240,long,122.0,theshield
241,body,121.52628142142805,theshield
242,hurt,121.46314330206803,theshield
243,old,121.4132175061578,theshield
244,show,120.94153489232568,theshield
245,box,120.93024499557288,theshield
246,hit,120.73101256404584,theshield
247,home,120.56758070009744,theshield
248,play,120.08798538365797,theshield
249,san,119.73869293832774,theshield
250,kind,118.26674479411886,theshield
251,while,114.45726676370211,theshield
252,again,114.11299748897436,theshield
253,lie,114.07983735763834,theshield
254,close,113.11298267376448,theshield
255,both,112.7384572299817,theshield
256,boy,111.75943424854643,theshield
257,check,111.19574788199166,theshield
258,next,111.0699842226017,theshield
259,without,110.17211492714809,theshield
