,mots,poids,serie
0,le,44440.95501697441,theshield
1,etre,41153.92781679455,theshield
2,avoir,37121.374072067556,theshield
3,je,27992.816736035747,theshield
4,de,26636.651225560687,theshield
5,ce,21741.445194353026,theshield
6,un,19212.79710589349,theshield
7,que,17657.908503838185,theshield
8,il,17375.74899067012,theshield
9,vous,16741.06847360769,theshield
10,pas,15570.732100940051,theshield
11,cela,9390.10176789032,theshield
12,faire,8813.769194171848,theshield
13,on,8638.0,theshield
14,et,8517.54800930379,theshield
15,aller,8308.81584391092,theshield
16,ne,7752.925160806618,theshield
17,en,7260.350592440002,theshield
18,tu,7103.375873250995,theshield
19,pouvoir,6884.783666696724,theshield
20,pour,6423.481940885852,theshield
21,te,6283.741404536483,theshield
22,me,5961.0296396481535,theshield
23,se,5859.689525427533,theshield
24,lui,5616.223825568767,theshield
25,qui,5455.35794868751,theshield
26,mon,4963.892232373012,theshield
27,tout,4881.364720482691,theshield
28,dans,4765.651271521594,theshield
29,dire,4753.553932491416,theshield
30,vouloir,4736.435574233578,theshield
31,moi,4651.871351848502,theshield
32,savoir,4451.304316064363,theshield
33,sur,4423.632344269105,theshield
34,voir,4232.392598850854,theshield
35,avec,4222.293621317107,theshield
36,son,3898.501018589614,theshield
37,mais,3890.0477638247435,theshield
38,devoir,3846.2424402745564,theshield
39,votre,3815.878311434995,theshield
40,nous,3696.634874443202,theshield
41,si,3689.105865986677,theshield
42,luire,3646.9202584772806,theshield
43,ou,3622.3201434206426,theshield
44,quoi,3286.1509280061814,theshield
45,bien,2815.113278403193,theshield
46,au,2739.780807502372,theshield
47,parler,2619.412198464834,theshield
48,quelque,2503.440322117401,theshield
49,rien,2471.9564666162164,theshield
50,toi,2190.179756511404,theshield
51,taire,2178.9205450644577,theshield
52,plus,2167.4491023173164,theshield
53,aceveda,2111.0410130303694,theshield
54,trouver,2097.95042196794,theshield
55,autre,2062.0629820453983,theshield
56,passer,2050.0284686486757,theshield
57,vic,2036.4507215832184,theshield
58,pourquoi,2007.0968443979846,theshield
59,ici,1956.3438166379178,theshield
60,prendre,1930.0931988688253,theshield
61,venir,1889.294200314536,theshield
62,quand,1873.8456016163757,theshield
63,ton,1847.4004889935907,theshield
64,comme,1818.9997910730458,theshield
65,notre,1794.624318769232,theshield
66,lem,1667.2637164825892,theshield
67,alors,1629.9136856566502,theshield
68,tuer,1622.421547829631,theshield
69,la,1619.9403006693612,theshield
70,shane,1610.5338131278784,theshield
71,croire,1586.1315992173072,theshield
72,falloir,1567.5507178633238,theshield
73,chose,1560.7504048870715,theshield
74,appeler,1505.0513896726527,theshield
75,deux,1488.3982380234131,theshield
76,non,1463.60490626076,theshield
77,par,1423.2576456078502,theshield
78,bon,1404.4508770066184,theshield
79,antwon,1385.0330757745805,theshield
80,mackey,1374.2947428395757,theshield
81,flic,1338.888224090249,theshield
82,192,1271.6784608948433,theshield
83,affaire,1255.0540769099673,theshield
84,mettre,1253.3649058777871,theshield
85,besoin,1234.9859343065789,theshield
86,meme,1205.0715086406922,theshield
87,arriver,1157.0821570435096,theshield
88,chez,1155.6053288184194,theshield
89,penser,1153.703814979149,theshield
90,aussi,1119.310439365515,theshield
91,oui,1119.0298368653716,theshield
92,argent,1107.8058109904543,theshield
93,pezuela,1090.7949707431985,theshield
94,aider,1084.4164749742092,theshield
95,armenien,1067.057242976839,theshield
96,maintenant,1066.0651278911885,theshield
97,comment,1051.4657898920834,theshield
98,po,1049.9073424145602,theshield
99,heure,1049.3535369051704,theshield
100,temps,1046.0222558356302,theshield
101,a6,1040.8702524736245,theshield
102,arreter,1040.5293558230685,theshield
103,avant,1039.9260237387791,theshield
104,donner,1020.7122412368132,theshield
105,encore,1015.6954007667198,theshield
106,juste,990.2580047849794,theshield
107,sortir,961.6840677290662,theshield
108,seul,954.9590043183734,theshield
109,fois,945.0135385454348,theshield
110,entrer,944.246606988791,theshield
111,aimer,938.1463457916416,theshield
112,toujours,930.7332387313486,theshield
113,jamais,925.7934005370847,theshield
114,claudette,914.3787949657692,theshield
115,personne,903.64824461457,theshield
116,peu,901.9748219393578,theshield
117,femme,893.2691313186785,theshield
118,occuper,891.8823049912015,theshield
119,apres,888.6741999510685,theshield
120,voiture,884.815993720843,theshield
121,mec,877.930266143249,theshield
122,partir,867.5331799793674,theshield
123,laisser,864.1706482740211,theshield
124,fille,861.1361564761478,theshield
125,veux,856.1392348718374,theshield
126,nouveau,855.8211796201603,theshield
127,connaitre,855.7643190106551,theshield
128,merci,855.5246793201429,theshield
129,ca,849.7732529045453,theshield
130,sans,843.1036060956919,theshield
131,homme,842.8141105936766,theshield
132,guardo,832.5436896379267,theshield
133,merde,813.283420153113,theshield
134,quel,811.1669404330444,theshield
135,margos,808.5992569190875,theshield
136,byz,808.5992569190875,theshield
137,as,808.0,theshield
138,dernier,802.3562402856453,theshield
139,probleme,797.458793053253,theshield
140,essayer,793.9103851247438,theshield
141,arme,791.8762166090738,theshield
142,boulot,787.7891745693571,theshield
143,nom,783.8198539503258,theshield
144,fai,781.1854108071824,theshield
145,gars,780.6840328415622,theshield
146,attendre,778.707845835121,theshield
147,depuis,775.3295037707604,theshield
148,fait,773.6886287928896,theshield
149,petit,741.2233217325205,theshield
150,jour,740.8634160824068,theshield
151,inspecteur,737.3218048752879,theshield
152,coup,725.1056364976611,theshield
153,trop,722.811959777617,theshield
154,mieux,721.2223515554584,theshield
155,deja,717.8041546246646,theshield
156,truc,706.131658122741,theshield
157,demander,699.3168073226467,theshield
158,reste,697.7253288593749,theshield
159,mois,692.9064624643665,theshield
160,entendre,690.1079710126899,theshield
161,tirer,689.318999596009,theshield
162,finir,685.8034390652042,theshield
163,dutch,684.7186426303532,theshield
164,salvadorien,684.1045910743136,theshield
165,mara,669.8080622276119,theshield
166,travailler,667.4625435112575,theshield
167,tavon,663.6620286041873,theshield
168,rezian,656.6477187061046,theshield
169,enfant,653.2198845384233,theshield
170,ami,651.1742291352432,theshield
171,vraiment,649.5998085603436,theshield
172,capitaine,648.9664037966919,theshield
173,lat,645.5620838122503,theshield
174,kavanaugh,641.2552755702267,theshield
