,mots,poids,serie
0,be,39894.76933179275,thesopranos
1,you,23878.831106907135,thesopranos
2,the,14193.639306359397,thesopranos
3,to,13090.981831142715,thesopranos
4,not,11603.502793468157,thesopranos
5,it,10579.473705658209,thesopranos
6,do,9854.714848060332,thesopranos
7,that,9153.20667495603,thesopranos
8,what,8225.634170244768,thesopranos
9,he,7014.021478021209,thesopranos
10,get,6664.776949082016,thesopranos
11,this,5889.107355142047,thesopranos
12,have,5734.126454497801,thesopranos
13,and,5598.916140385869,thesopranos
14,fuck,5564.628493998604,thesopranos
15,go,5442.073878010378,thesopranos
16,we,5308.480197951415,thesopranos
17,in,5191.769872820062,thesopranos
18,know,5122.928387179069,thesopranos
19,my,5108.395973575868,thesopranos
20,of,5083.986469464778,thesopranos
21,fucking,4956.579660484328,thesopranos
22,your,4684.573033651893,thesopranos
23,with,3926.81096353493,thesopranos
24,fuckin,3866.9636314689424,thesopranos
25,for,3854.159301866008,thesopranos
26,they,3830.9738242948506,thesopranos
27,she,3626.8063549097656,thesopranos
28,on,3403.0,thesopranos
29,about,3259.756073208054,thesopranos
30,say,3240.3973691946962,thesopranos
31,here,3135.8251709970154,thesopranos
32,all,3012.454335204954,thesopranos
33,come,2881.068832385664,thesopranos
34,like,2819.636800246723,thesopranos
35,think,2787.693223027428,thesopranos
36,right,2787.5109736306276,thesopranos
37,so,2777.2545615392264,thesopranos
38,there,2746.746945222378,thesopranos
39,will,2682.108081481932,thesopranos
40,can,2574.1746825333935,thesopranos
41,how,2563.894273938661,thesopranos
42,want,2532.783581382528,thesopranos
43,just,2525.3037806463103,thesopranos
44,at,2491.8473703973173,thesopranos
45,shit,2413.2447200850715,thesopranos
46,no,2402.309876492508,thesopranos
47,tell,2390.266661910481,thesopranos
48,yeah,2276.3958327934356,thesopranos
49,out,2263.183258686443,thesopranos
50,up,2241.690161791409,thesopranos
51,see,2216.1782146869778,thesopranos
52,his,2203.2983875981067,thesopranos
53,would,2134.8423880123955,thesopranos
54,tony,1954.4836262495462,thesopranos
55,take,1950.9945981498497,thesopranos
56,good,1899.2927194849842,thesopranos
57,well,1890.7560537349707,thesopranos
58,but,1861.77607880609,thesopranos
59,if,1794.445041666451,thesopranos
60,now,1774.7356976270573,thesopranos
61,some,1743.8720359420329,thesopranos
62,talk,1643.5688548337037,thesopranos
63,make,1608.1840599837785,thesopranos
64,guy,1587.638123233592,thesopranos
65,who,1544.5472669513242,thesopranos
66,one,1496.8011074681172,thesopranos
67,thing,1488.9697417824561,thesopranos
68,look,1461.0165020125214,thesopranos
69,from,1453.3440512384805,thesopranos
70,oh,1441.7325425430558,thesopranos
71,when,1434.980890691601,thesopranos
72,let,1422.1925055024046,thesopranos
73,why,1421.8546305539858,thesopranos
74,could,1412.6632933774708,thesopranos
75,give,1327.9034957748224,thesopranos
76,call,1275.9895361067743,thesopranos
77,something,1225.0849141555511,thesopranos
78,should,1224.6927543716126,thesopranos
79,kid,1219.5360509633997,thesopranos
80,back,1197.8127039118376,thesopranos
