,mots,poids,serie
0,etre,26161.660974560484,thesopranos
1,le,23311.05688677464,thesopranos
2,je,18839.12574692974,thesopranos
3,avoir,18181.114713214814,thesopranos
4,de,16570.991291141665,thesopranos
5,ce,15198.648398387142,thesopranos
6,un,11161.53623789471,thesopranos
7,que,10761.967094665219,thesopranos
8,il,9035.65597436611,thesopranos
9,pas,8869.493821114635,thesopranos
10,tu,6940.776774697432,thesopranos
11,te,5982.38501047599,thesopranos
12,aller,5304.393765183923,thesopranos
13,ne,5298.999470740504,thesopranos
14,vous,5296.128280872056,thesopranos
15,cela,5048.932215186935,thesopranos
16,et,4849.639782850969,thesopranos
17,faire,4717.958803939047,thesopranos
18,mon,4453.532261324896,thesopranos
19,en,4350.438629256033,thesopranos
20,me,4042.623365160005,thesopranos
21,dire,3639.215064469381,thesopranos
22,pouvoir,3517.2081637923193,thesopranos
23,on,3353.0,thesopranos
24,tout,3297.223716854346,thesopranos
25,lui,3272.160824958463,thesopranos
26,pour,3045.4950628512925,thesopranos
27,qui,2946.839308120507,thesopranos
28,se,2837.2971965394286,thesopranos
29,dans,2737.6453001022273,thesopranos
30,avec,2663.6551209572976,thesopranos
31,mais,2548.5402467706463,thesopranos
32,moi,2531.6510972293654,thesopranos
33,savoir,2466.6250232627335,thesopranos
34,quoi,2387.7084751783395,thesopranos
35,vouloir,2353.015247827166,thesopranos
36,taire,2299.9716864569277,thesopranos
37,bien,2221.5923163606717,thesopranos
38,voir,2211.9706301747083,thesopranos
39,devoir,2195.9223418343977,thesopranos
40,son,2038.1038031771611,thesopranos
41,toi,1967.6136251427931,thesopranos
42,sur,1928.0189850785916,thesopranos
43,luire,1878.3581877845002,thesopranos
44,au,1868.977609671922,thesopranos
45,ton,1828.3897091431725,thesopranos
46,si,1757.4035404220724,thesopranos
47,parler,1735.066359958735,thesopranos
48,ou,1593.2196481435192,thesopranos
49,comme,1570.1516290109785,thesopranos
50,rien,1404.2569599087426,thesopranos
51,tony,1389.2011194499548,thesopranos
52,nous,1356.8711666244178,thesopranos
53,votre,1355.1870886499657,thesopranos
54,plus,1314.371467294466,thesopranos
55,quand,1314.1903819336183,thesopranos
56,bon,1303.1811743002588,thesopranos
57,ca,1245.1838189768803,thesopranos
58,putain,1199.728329415915,thesopranos
59,venir,1169.7224499733045,thesopranos
60,autre,1139.2981257827564,thesopranos
61,quelque,1109.4792336656665,thesopranos
62,passer,1105.504134135063,thesopranos
63,la,1096.1009099637797,thesopranos
64,veux,1062.6786611833313,thesopranos
65,pourquoi,1056.016099044251,thesopranos
66,chose,1030.9543958887077,thesopranos
67,soprano,1020.7545922732073,thesopranos
68,ici,1009.6723596038067,thesopranos
69,croire,988.1650538254789,thesopranos
70,alors,975.6054196486931,thesopranos
71,meme,938.5495874623573,thesopranos
72,non,928.6170801981344,thesopranos
73,prendre,924.696218970256,thesopranos
74,oui,897.9869061265327,thesopranos
