,mots,poids,serie
0,le,11784.195777864794,thetudors
1,etre,9462.345753736345,thetudors
2,de,8364.150334618229,thetudors
3,vous,7064.2954829444925,thetudors
4,je,6851.368773344256,thetudors
5,avoir,6372.020425596647,thetudors
6,que,5053.354251951911,thetudors
7,votre,4121.411400512441,thetudors
8,majeste,4042.976107439528,thetudors
9,et,3955.0579504374173,thetudors
10,un,3537.554704598476,thetudors
11,ce,3491.262340833396,thetudors
12,il,3419.1849624278775,thetudors
13,ne,3324.758770170351,thetudors
14,mon,2242.4475822868317,thetudors
15,pas,2236.1018685264307,thetudors
16,roi,2176.388780268906,thetudors
17,en,1928.7185078293746,thetudors
18,son,1867.4251595613396,thetudors
19,nous,1861.902130880385,thetudors
20,pouvoir,1763.6478794541792,thetudors
21,pour,1573.6501871703158,thetudors
22,tout,1501.2499046012804,thetudors
23,me,1470.6118320035935,thetudors
24,lui,1273.0545378226952,thetudors
25,devoir,1244.9190507168855,thetudors
26,faire,1171.3888101812952,thetudors
27,mais,1135.7448906460413,thetudors
28,qui,1032.7339469336182,thetudors
29,moi,1015.0629547610031,thetudors
30,dire,1012.2510491451775,thetudors
31,avec,977.8769241935158,thetudors
32,vouloir,972.9625145358563,thetudors
33,dans,960.2917521167147,thetudors
34,si,837.4204789930681,thetudors
35,se,812.4309835975422,thetudors
36,savoir,798.2226160762035,thetudors
37,dieu,795.0430920079799,thetudors
38,bien,766.9427041002857,thetudors
39,aller,766.6572288189759,thetudors
40,wolsey,759.7576910649144,thetudors
41,au,744.7316900848479,thetudors
42,notre,723.8954477304969,thetudors
43,luire,716.2085176444497,thetudors
44,sur,699.7327469210464,thetudors
45,reine,683.6182946231849,thetudors
46,cromwell,682.8523228990995,thetudors
47,comme,674.2982455875368,thetudors
48,plus,672.9834676291375,thetudors
49,oui,667.7338532735756,thetudors
50,celer,666.9757063189868,thetudors
51,voir,641.271605886493,thetudors
52,empereur,621.9568852735998,thetudors
53,autre,567.9834223566081,thetudors
54,eminence,518.8689378399356,thetudors
55,ou,516.4983078887224,thetudors
56,angleterre,505.97703452603895,thetudors
57,par,504.80744409226816,thetudors
58,grace,501.64232335879643,thetudors
59,lady,490.97368591040447,thetudors
60,penser,479.7245731392069,thetudors
61,boleyn,462.5338217977235,thetudors
62,homme,461.382428131321,thetudors
63,aimer,458.98557777978164,thetudors
64,non,458.8716719480243,thetudors
65,monsieur,429.8056986588533,thetudors
66,aussi,429.73525797068885,thetudors
67,nouveau,425.446613285262,thetudors
68,meme,425.12699083660783,thetudors
69,cour,397.37239161269696,thetudors
70,pourquoi,393.0911662057464,thetudors
71,duc,388.45332442487313,thetudors
72,tres,387.5268606002254,thetudors
73,parler,383.32861440948795,thetudors
74,venir,376.52010192273747,thetudors
75,rien,371.3737414634691,thetudors
76,ici,371.3737414634691,thetudors
77,alors,366.4795658714645,thetudors
78,sir,359.46415097485,thetudors
79,milord,357.2043376259647,thetudors
80,croire,354.72591675786424,thetudors
81,pape,350.0186457920045,thetudors
82,chose,348.4244023142392,thetudors
83,anne,343.640516478327,thetudors
84,jamais,336.652145649849,thetudors
85,cardinal,334.471345409687,thetudors
86,pere,327.99084434158465,thetudors
87,fille,319.8029826758615,thetudors
88,contre,319.06216994394276,thetudors
89,quelque,316.2768856150995,thetudors
90,femme,312.01067175492847,thetudors
91,toujours,305.7399568246354,thetudors
92,lord,304.47834665214117,thetudors
93,francais,298.27248085185033,thetudors
94,fils,293.91575959937325,thetudors
95,thomas,292.0673586183044,thetudors
96,bon,289.1516511484215,thetudors
97,merci,281.8198943642824,thetudors
98,mariage,279.6481052583865,thetudors
