,mots,poids,serie
0,etre,6628.710849429262,thevampirediaries
1,je,5532.701250384739,thevampirediaries
2,le,4782.960722018403,thevampirediaries
3,avoir,4233.6298237786605,thevampirediaries
4,ce,3324.519887530702,thevampirediaries
5,de,2992.0885792723343,thevampirediaries
6,pas,2788.76674247955,thevampirediaries
7,que,2556.8190211509796,thevampirediaries
8,tu,2324.615925931024,thevampirediaries
9,un,2000.030928394898,thevampirediaries
10,ne,1781.3095477701245,thevampirediaries
11,il,1698.9325125080063,thevampirediaries
12,cela,1684.103519083765,thevampirediaries
13,te,1546.2609738911765,thevampirediaries
14,aller,1360.1440748126129,thevampirediaries
15,et,1186.6400986884835,thevampirediaries
16,me,1176.2399979468944,thevampirediaries
17,lui,1174.4954768299704,thevampirediaries
18,pouvoir,1123.0855895856928,thevampirediaries
19,faire,1087.1395458252407,thevampirediaries
20,en,1006.4447575144554,thevampirediaries
21,taire,933.102548233622,thevampirediaries
22,savoir,803.24288410184,thevampirediaries
23,mon,776.944648662634,thevampirediaries
24,moi,773.3097954170363,thevampirediaries
25,tout,749.0899319482871,thevampirediaries
26,vous,748.0170641758688,thevampirediaries
27,devoir,726.3435438375316,thevampirediaries
28,stefan,710.0369092735008,thevampirediaries
29,mais,699.9169654195291,thevampirediaries
30,se,688.2060625581627,thevampirediaries
31,on,686.0,thevampirediaries
32,vouloir,679.046754936483,thevampirediaries
33,quoi,646.1624162548063,thevampirediaries
34,pour,632.4925735082343,thevampirediaries
35,dire,618.2783396767419,thevampirediaries
36,toi,596.7352797564208,thevampirediaries
37,bien,574.0857668119098,thevampirediaries
38,qui,547.1124879175046,thevampirediaries
39,elena,530.0654410914282,thevampirediaries
40,damon,525.0471147886826,thevampirediaries
41,avec,514.8372891420115,thevampirediaries
42,voir,504.68908203534386,thevampirediaries
43,si,491.4439430710494,thevampirediaries
44,ou,476.87277633112194,thevampirediaries
45,dans,457.3592921098251,thevampirediaries
46,sur,423.44342195651313,thevampirediaries
47,pourquoi,421.4070552968383,thevampirediaries
48,ton,391.39840868508276,thevampirediaries
49,luire,378.3743112083885,thevampirediaries
50,quelque,329.6642670167968,thevampirediaries
51,vampire,329.38835127515966,thevampirediaries
52,rien,328.2678607578879,thevampirediaries
53,parler,327.8468412712726,thevampirediaries
54,comme,325.9108187006428,thevampirediaries
