,mots,poids,serie
0,be,28010.884500564207,thewire
1,you,17766.468819867492,thewire
2,the,14160.242507991492,thewire
3,to,11781.421722064042,thewire
4,not,9765.922053684724,thewire
5,that,8334.085161900653,thewire
6,it,7432.058360290733,thewire
7,get,7029.560613410416,thewire
8,we,6977.455254951324,thewire
9,do,6867.091653701157,thewire
10,and,5856.501358277544,thewire
11,what,5514.1686257377405,thewire
12,he,5513.395517886701,thewire
13,this,5295.917388525384,thewire
14,they,5071.609475578948,thewire
15,go,4855.009524441225,thewire
16,fuck,4712.009850692956,thewire
17,in,4592.719502879286,thewire
18,shit,4358.137553738924,thewire
19,on,4315.0,thewire
20,of,4204.833281980417,thewire
21,know,4085.762131750754,thewire
22,for,3999.552779366068,thewire
23,have,3578.625302739822,thewire
24,with,3432.792810057955,thewire
25,right,3429.3720530850487,thewire
26,all,3428.6078206868756,thewire
27,up,3248.0928768080757,thewire
28,your,2934.3812233072267,thewire
29,can,2753.927818680448,thewire
30,no,2594.358300866791,thewire
31,my,2463.7723012628608,thewire
32,here,2458.754719229101,thewire
33,say,2447.021153021247,thewire
34,if,2368.1498266223116,thewire
35,come,2313.862804319507,thewire
36,man,2273.2798569318343,thewire
37,like,2228.6777360440697,thewire
38,there,2200.236571108365,thewire
39,at,2182.118310297313,thewire
40,fucking,2159.7225811339094,thewire
41,about,2123.6480584170436,thewire
42,so,2121.361438804172,thewire
43,out,2119.1511199211186,thewire
44,just,2083.8369589594063,thewire
45,yeah,2032.8364460211553,thewire
46,see,1978.3518444164,thewire
47,motherfucker,1940.2308001331655,thewire
48,one,1917.8566505637796,thewire
49,but,1911.1680808967767,thewire
50,now,1857.0464663534544,thewire
51,want,1851.2345449377751,thewire
52,will,1829.7432250787756,thewire
53,how,1818.8567613941327,thewire
54,his,1802.4183450680102,thewire
55,need,1729.8073979211672,thewire
56,tell,1682.3314830201077,thewire
57,think,1659.4900240219329,thewire
58,some,1633.4216215335723,thewire
59,from,1559.8572121778482,thewire
60,take,1533.8854082005714,thewire
61,down,1460.351496037123,thewire
62,who,1450.279123897957,thewire
63,work,1433.6865078801675,thewire
64,barksdale,1432.68593172241,thewire
65,make,1403.9702110969495,thewire
66,good,1392.3591950756827,thewire
67,back,1338.038042334777,thewire
68,look,1337.2657524902854,thewire
69,would,1324.422160953037,thewire
70,she,1252.631913743935,thewire
71,give,1238.4348205275828,thewire
72,mean,1189.060244957087,thewire
73,where,1152.2442501700807,thewire
74,nigger,1144.5855351027014,thewire
75,marlo,1119.231322148228,thewire
76,well,1111.0145076079043,thewire
77,thing,1103.679633341841,thewire
78,when,1084.1438793401476,thewire
79,then,1043.8223503264135,thewire
80,or,1030.5369462944413,thewire
81,let,1016.6913365781652,thewire
82,more,1011.8981868837328,thewire
83,call,1008.6655944170182,thewire
84,two,947.9319231559215,thewire
85,talk,947.0157783938113,thewire
86,why,944.2732612103604,thewire
87,off,913.0389434761189,thewire
88,something,904.7502108368164,thewire
89,yo,903.9574528704594,thewire
90,time,884.9980185551245,thewire
91,money,874.8663140821367,thewire
92,as,869.0,thewire
93,too,854.3947060044537,thewire
94,ass,851.3422002188742,thewire
95,people,846.4993316760291,thewire
96,mcnulty,840.35070138141,thewire
97,day,821.9395687782029,thewire
98,could,820.9143360404636,thewire
99,our,802.3263493180261,thewire
100,year,798.3350364308874,thewire
101,over,793.7040742953585,thewire
102,put,777.8145126718929,thewire
103,even,776.067153096015,thewire
104,way,767.5089635136608,thewire
105,nothing,766.9303423010011,thewire
106,guy,754.4922457201841,thewire
107,hear,751.3609022261124,thewire
108,ve,729.1576885285683,thewire
109,case,721.4131472071894,thewire
110,boy,720.6155187484401,thewire
111,baltimore,707.5039734555744,thewire
112,little,705.0890040371036,thewire
113,any,685.2251315951472,thewire
114,an,677.0,thewire
115,still,662.5459229616756,thewire
116,maybe,660.5819396076522,thewire
117,run,659.9301983853256,thewire
118,omar,658.9932161513509,thewire
119,name,656.2954897261882,thewire
120,phone,635.4072986477071,thewire
121,these,623.768256701632,thewire
122,ask,618.0692405239914,thewire
123,mayor,607.3360785709134,thewire
124,keep,598.6803752454973,thewire
125,try,588.1373254626452,thewire
126,than,587.071253214403,thewire
127,other,587.071253214403,thewire
128,damn,572.9803439609184,thewire
129,by,568.4255078881804,thewire
130,use,568.0369855741244,thewire
131,hey,566.63114606426,thewire
132,much,565.8575984944052,thewire
133,around,563.1415495191935,thewire
134,those,562.7371650323456,thewire
135,fuckin,555.7545721608631,thewire
136,bullshit,546.744722557185,thewire
137,last,541.1954364216441,thewire
138,find,536.8120514834388,thewire
139,thank,533.8571096513261,thewire
140,carcetti,530.9296228833499,thewire
141,number,528.8759978877083,thewire
142,kid,527.2430295518458,thewire
143,stringer,524.2980225007307,thewire
144,drug,518.8987180605128,thewire
