,mots,poids,serie
0,le,25687.691016882596,thewire
1,etre,23735.16691917,thewire
2,de,18492.948046639918,thewire
3,avoir,17421.970067576887,thewire
4,ce,15830.203885232744,thewire
5,je,14086.220318230251,thewire
6,un,11660.407588784119,thewire
7,que,11535.17223176367,thewire
8,il,10063.010458400364,thewire
9,pas,8564.185348547184,thewire
10,vous,6825.655710604803,thewire
11,cela,6798.9134045257315,thewire
12,et,6188.444692539837,thewire
13,faire,5518.326815321565,thewire
14,tu,5463.605303092181,thewire
15,aller,4912.658821511069,thewire
16,on,4748.0,thewire
17,te,4709.845128133209,thewire
18,en,4628.202953014503,thewire
19,ne,4350.201061765022,thewire
20,pouvoir,3848.417536768938,thewire
21,tout,3799.1753720737925,thewire
22,qui,3703.651971522243,thewire
23,pour,3600.0090998996075,thewire
24,dans,3587.2593587546426,thewire
25,dire,3481.050838040447,thewire
26,se,3290.718158333164,thewire
27,sur,3276.431016698977,thewire
28,me,3264.284278501615,thewire
29,mais,3212.8132926549215,thewire
30,voir,2593.402312637064,thewire
31,avec,2560.0598127762833,thewire
32,savoir,2541.929043647281,thewire
33,si,2529.298160339001,thewire
34,mon,2524.7137115257337,thewire
35,vouloir,2373.2853002133297,thewire
36,moi,2168.2705720042727,thewire
37,ou,2150.709885229759,thewire
38,quoi,2073.5791393164313,thewire
39,nous,2055.284240611309,thewire
40,au,1979.4526422325014,thewire
41,bien,1922.589312812802,thewire
42,devoir,1920.587463589008,thewire
43,lui,1821.699977348863,thewire
44,luire,1768.5620706927803,thewire
45,comme,1698.5893900752712,thewire
46,son,1694.7385319029793,thewire
47,taire,1639.2342063563628,thewire
48,toi,1596.6700728617748,thewire
49,rien,1596.575504595182,thewire
50,plus,1493.4124524227184,thewire
51,non,1453.8185435888827,thewire
52,votre,1448.8181965930544,thewire
53,barksdal,1400.124887819628,thewire
54,alors,1372.2065936739766,thewire
55,oui,1366.1681135942122,thewire
56,autre,1317.5216630031584,thewire
57,bon,1308.5111586532253,thewire
58,la,1297.4929446257995,thewire
59,quand,1260.8898848209747,thewire
60,deux,1253.4709737591243,thewire
61,quelque,1229.9656662809425,thewire
62,falloir,1214.51397213764,thewire
63,parler,1141.579513965098,thewire
64,putain,1136.8604693591858,thewire
65,meme,1110.2354876079105,thewire
66,marlo,1094.9880444121654,thewire
67,ici,1064.3836697301213,thewire
68,ton,1040.0014859346486,thewire
69,passer,1036.5127914401558,thewire
70,prendre,1012.122043309262,thewire
71,venir,990.6662237256027,thewire
72,chose,967.315235648664,thewire
73,affaire,947.6249490531517,thewire
74,pourquoi,931.0930589364925,thewire
75,croire,918.9090415060864,thewire
76,merde,915.3622033410551,thewire
77,mec,879.6516980376475,thewire
78,aussi,861.1361564761478,thewire
79,notre,846.4008311925811,thewire
80,petit,821.9976580751669,thewire
81,truc,820.4577361045181,thewire
82,mcnulty,819.2363621507212,thewire
83,peu,816.6302655035373,thewire
84,par,809.5968442989206,thewire
85,ecoute,807.4237533821862,thewire
86,veux,779.5197702724123,thewire
87,baltimore,769.8602558618284,thewire
88,sans,743.8192046056587,thewire
89,heure,727.8849136945388,thewire
90,appeler,709.4518335157285,thewire
91,ouai,695.5870450063028,thewire
92,comment,692.6771403810066,thewire
93,gars,678.8556807317932,thewire
94,juste,675.7623843728118,thewire
95,trouver,667.2225577112208,thewire
96,encore,662.5459229616756,thewire
97,jour,659.2428702428197,thewire
98,temps,654.5967301646539,thewire
99,mettre,646.9525053250571,thewire
100,fois,643.2723736063662,thewire
101,besoin,625.8600805293503,thewire
102,sai,624.207386287257,thewire
103,arriver,621.6149398423526,thewire
104,celui,618.7058337837349,thewire
105,omar,603.096470138513,thewire
106,maire,598.0159389437547,thewire
107,rue,593.1594523403932,thewire
108,penser,591.2098612631071,thewire
109,maintenant,587.4909992713051,thewire
110,toujours,584.4531771343859,thewire
111,argent,577.3308229481975,thewire
112,apres,573.2852047743492,thewire
113,homme,557.9895791479875,thewire
114,personne,550.5560601448028,thewire
115,hffffff,548.9651696223439,thewire
116,sortir,544.7301362661144,thewire
117,donner,539.519327510887,thewire
118,probleme,537.1655903310893,thewire
119,nouveau,533.8615803772593,thewire
120,avant,533.0438423566699,thewire
121,carcetti,530.9296228833499,thewire
122,allez,528.0817970978023,thewire
123,fai,528.0080495221255,thewire
124,stringer,524.2980225007307,thewire
125,nom,512.8697809798427,thewire
126,burrell,506.8452993095221,thewire
127,hein,502.3493020688891,thewire
128,ville,495.34683391238485,thewire
129,monde,494.29216068591865,thewire
130,meurtre,491.8430185669759,thewire
131,vraiment,483.0357550833324,thewire
132,fait,482.93939886435146,thewire
133,as,481.0,thewire
134,accord,480.7114916592309,thewire
135,kima,472.8025891770942,thewire
136,trois,469.79819073198814,thewire
137,jamais,465.3720836924383,thewire
138,parce,462.348109485128,thewire
139,depuis,459.4545207530432,thewire
140,deja,458.83167530909935,thewire
141,prefet,454.0313432966754,thewire
