,mots,poids,serie
0,etre,2377.440941063184,traveler
1,le,2025.2733321117762,traveler
2,avoir,1577.4226636729097,traveler
3,de,1249.9139701681283,traveler
4,ce,1201.135902552149,traveler
5,je,1166.129766249605,traveler
6,que,968.4721971453479,traveler
7,vous,883.3858239241138,traveler
8,il,826.1475747097755,traveler
9,pas,778.8192980771577,traveler
10,un,767.057316287816,traveler
11,on,467.0,traveler
12,ne,442.68449443842115,traveler
13,cela,434.1169552703386,traveler
14,et,430.72458597689524,traveler
15,burchell,417.8667300857029,traveler
16,drexler,344.3236247267969,traveler
17,qui,329.52884718950565,traveler
18,faire,324.03563213867085,traveler
19,en,322.2547132782247,traveler
20,aller,321.1217778605798,traveler
21,te,300.0404272742028,traveler
22,pouvoir,299.2653217758283,traveler
23,dans,288.0875256350144,traveler
24,tout,285.5137855376668,traveler
25,fog,278.2317550918594,traveler
26,savoir,262.72736000831014,traveler
27,nous,260.5064783978564,traveler
28,dire,251.62490568239497,traveler
29,tu,250.7884401419362,traveler
30,pour,229.60346846531792,traveler
31,sur,226.73743516111162,traveler
32,se,223.60485787088317,traveler
33,will,218.45795578925342,traveler
34,mais,199.28191376528258,traveler
35,votre,193.83281995235876,traveler
36,me,192.09009510479507,traveler
37,vouloir,185.80881353983366,traveler
38,devoir,185.80881353983366,traveler
39,moi,183.19183503083192,traveler
40,traveler,180.68637335706015,traveler
41,mon,171.07038135691025,traveler
42,jay,170.76272052058667,traveler
43,ou,162.60131915015333,traveler
44,si,158.57257896425858,traveler
45,bien,156.9765768626316,traveler
46,oui,155.0370555876578,traveler
47,ici,154.18641944688673,traveler
48,voir,151.57328866408017,traveler
49,quoi,149.74040880464025,traveler
50,au,148.16651425771843,traveler
51,tyler,145.18526409407986,traveler
52,marlow,142.27236471846234,traveler
53,lui,131.41208132363306,traveler
54,pere,130.52696866654898,traveler
55,trouver,130.06616947788356,traveler
56,son,125.49900265869218,traveler
57,avec,122.4308187593808,traveler
58,notre,116.14146743807973,traveler
59,rien,111.0805387413055,traveler
60,appeler,109.79611709171989,traveler
61,croire,109.79611709171989,traveler
62,quelque,108.77247388879083,traveler
63,parler,107.60101457108433,traveler
64,la,106.74878340008698,traveler
65,plus,106.37140881149122,traveler
66,venir,103.75220586315433,traveler
67,luire,103.03943296299866,traveler
68,quand,98.2727915514366,traveler
69,doherty,94.93382632566849,traveler
70,attentat,94.81077507676167,traveler
71,passer,93.63110794308855,traveler
72,aider,84.06329263365964,traveler
73,toi,82.25270072318233,traveler
74,ami,81.98803853518801,traveler
75,taft,79.21007163340494,traveler
76,alors,78.65086573497183,traveler
77,homme,78.28510513419525,traveler
78,arriver,77.70186748029407,traveler
79,non,77.20352774480978,traveler
80,pourquoi,76.61946459942514,traveler
81,carlton,75.51072319399529,traveler
82,tuer,73.97569751762047,traveler
83,freed,73.84479190151136,traveler
84,chose,73.18503427605025,traveler
85,partir,72.29443166494728,traveler
86,bon,71.95478876504497,traveler
87,penser,70.94518335157285,traveler
88,taire,70.61316581227409,traveler
89,seul,70.61316581227409,traveler
90,falloir,69.25601231939254,traveler
91,sortir,68.9318999596009,traveler
92,donc,68.61032968369884,traveler
93,fbi,68.16679402659877,traveler
94,deux,66.22110804765185,traveler
95,monsieur,62.93583444647494,traveler
96,ton,62.62374538961325,traveler
97,par,62.590680399580414,traveler
98,toujours,62.49932819067132,traveler
99,prendre,62.20683654890813,traveler
100,autre,61.62869978649414,traveler
101,comme,61.00793650553904,traveler
102,deja,60.52074244874623,traveler
103,heure,59.963059251724026,traveler
104,temps,59.963059251724026,traveler
105,new,59.927382131348615,traveler
106,kim,58.39912234685976,traveler
107,merci,57.514264155975994,traveler
108,voiture,55.08582062075288,traveler
109,whaley,54.07616529367452,traveler
110,avant,52.32332194912097,traveler
111,agent,52.27353562850302,traveler
112,nom,51.609537708663424,traveler
113,holloway,51.48654656171321,traveler
114,jamais,51.1579240938496,traveler
115,choix,50.914176054884486,traveler
116,juste,49.99673965526769,traveler
117,dernier,48.98595993322887,traveler
118,ellington,48.90612537197143,traveler
119,parce,48.75670972752259,traveler
120,ville,48.440857575028176,traveler
121,celui,47.0754438748494,traveler
122,chercher,45.60761786886826,traveler
123,mourir,45.182412230728495,traveler
124,nouveau,44.351577446726154,traveler
125,chambers,44.214199528034335,traveler
126,preuve,44.125619247566554,traveler
127,essayer,43.918446836687956,traveler
128,york,43.8829666181566,traveler
129,allez,42.90664601419644,traveler
130,meme,42.512699083660785,traveler
131,arreter,42.22927580450765,traveler
132,fai,41.641013369252796,traveler
133,fait,41.06627541363533,traveler
134,revenir,40.54010477232734,traveler
135,fils,40.54010477232734,traveler
136,affaire,40.54010477232734,traveler
137,maya,40.478162762083116,traveler
138,desole,39.975372834482684,traveler
139,suivre,38.850933740147035,traveler
140,laisser,38.66911461148343,traveler
141,connaitre,38.66911461148343,traveler
142,type,38.65811858422233,traveler
143,pays,38.4192478124456,traveler
144,musee,38.277275219683744,traveler
145,borjes,37.98788455324572,traveler
146,shears,37.98788455324572,traveler
147,encore,37.502599412925036,traveler
148,ecoute,37.16176270796673,traveler
149,travailler,36.98784875881024,traveler
150,fois,36.474206750876434,traveler
151,toile,36.466625653645245,traveler
152,raison,35.643919535253794,traveler
153,gens,35.472591675786425,traveler
154,vrai,35.306582906137045,traveler
155,personne,35.1418761794555,traveler
156,peu,35.1418761794555,traveler
157,vraiment,34.97845123017235,traveler
158,mentir,34.10342747053494,traveler
159,demander,33.78342064360612,traveler
160,aucun,33.78342064360612,traveler
161,aimer,33.62531705346385,traveler
162,truc,33.62531705346385,traveler
163,vivre,33.46845350424333,traveler
164,petit,33.26002084697207,traveler
165,suspect,32.822936390603246,traveler
166,sans,32.55226278361745,traveler
167,entendre,32.55226278361745,traveler
168,cas,32.10944026607318,traveler
169,depuis,32.094249611425816,traveler
170,fallbrook,32.05679953053529,traveler
171,confiance,31.94405120079066,traveler
172,idee,31.795030829031166,traveler
173,haven,31.781005378012964,traveler
174,avocat,31.283301534295287,traveler
175,tres,31.25216617743753,traveler
176,as,31.0,traveler
177,ordre,30.985774099173494,traveler
178,vie,30.564813307353376,traveler
179,comment,30.559285605044405,traveler
180,finir,30.405078579245508,traveler
181,attendre,30.405078579245508,traveler
182,veux,29.981529625862013,traveler
183,fuir,29.687600582344327,traveler
184,borje,29.161528792859194,traveler
185,meilleur,28.7159075470652,traveler
186,arme,28.581519495444276,traveler
187,jour,28.253265867549416,traveler
188,probleme,28.184614307495426,traveler
189,sai,27.925067281272025,traveler
190,allon,27.796764785470515,traveler
191,changer,27.753233713622055,traveler
192,attend,27.733813423184095,traveler
193,chez,27.66942336607483,traveler
194,donner,27.54302873178702,traveler
195,mort,27.293024226162203,traveler
196,vendre,27.282741976427953,traveler
197,lacher,27.282741976427953,traveler
198,mettre,27.026736514884895,traveler
199,entrer,27.026736514884895,traveler
200,vers,27.026736514884895,traveler
201,question,27.0,traveler
202,daniel,26.803781828811463,traveler
203,quel,26.650248556321788,traveler
204,fille,26.650248556321788,traveler
205,deer,26.03226841349323,traveler
206,explosion,25.961555158427842,traveler
207,terroriste,25.572045413512143,traveler
208,police,25.478907218548173,traveler
209,hier,25.457088027442243,traveler
210,bateau,25.422918329472296,traveler
211,verite,25.33756548270459,traveler
212,tant,25.33756548270459,traveler
213,accord,25.300604824170048,traveler
214,semaine,25.1013401281825,traveler
215,mieux,24.984608021551676,traveler
216,quitter,24.97652127431909,traveler
217,hahn,24.765345998000477,traveler
218,maintenant,24.753834238959485,traveler
219,sou,24.753834238959485,traveler
220,dunn,24.7317258771731,traveler
221,flic,24.56675640532567,traveler
222,nell,24.366513509858528,traveler
223,boston,24.2152735094906,traveler
224,ensembl,23.87239922937446,traveler
225,arretez,23.87239922937446,traveler
226,boulot,23.87239922937446,traveler
