,mots,poids,serie
0,etre,11228.257869519177,trucalling
1,je,8845.764302663567,trucalling
2,le,8029.336545757745,trucalling
3,avoir,7207.8786354253525,trucalling
4,ce,6014.5330943520385,trucalling
5,de,5428.77874200592,trucalling
6,que,4681.167372399435,trucalling
7,ne,4248.4497003567885,trucalling
8,pas,4148.520217525332,trucalling
9,un,4020.516718557471,trucalling
10,tu,3296.076641865447,trucalling
11,il,2983.458741572883,trucalling
12,cela,2302.340116861757,trucalling
13,aller,2046.1005427032756,trucalling
14,pouvoir,2022.5628207658508,trucalling
15,vous,1977.5003357037426,trucalling
16,et,1909.4229509403106,trucalling
17,tru,1883.9378368797854,trucalling
18,te,1871.3047701048963,trucalling
19,lui,1834.8411854812264,trucalling
20,en,1779.615580790196,trucalling
21,me,1771.2203574597986,trucalling
22,faire,1683.3651089603952,trucalling
23,mais,1521.3472928910596,trucalling
24,tout,1355.422971127741,trucalling
25,moi,1349.913604038671,trucalling
26,mon,1341.4769071404378,trucalling
27,taire,1314.7498967904367,trucalling
28,dire,1275.3788076587678,trucalling
29,devoir,1238.1623665881643,trucalling
30,pour,1222.746773100679,trucalling
31,savoir,1146.294532520334,trucalling
32,qui,1117.8753715663133,trucalling
33,se,1044.731585941182,trucalling
34,bien,1030.065347222411,trucalling
35,on,1022.0,trucalling
36,vouloir,962.8274883427744,trucalling
37,voir,917.7679346583316,trucalling
38,si,821.6942728147945,trucalling
39,dans,808.9237301728936,trucalling
40,avec,800.5091995805668,trucalling
41,toi,785.4326520037215,trucalling
42,oui,753.6949930053463,trucalling
43,quoi,751.9572703015631,trucalling
44,sur,731.2657677050421,trucalling
45,quelque,679.4096061361396,trucalling
46,son,659.6227579740861,trucalling
47,luire,624.9932819067132,trucalling
48,ici,606.7981668554897,trucalling
49,au,582.2684069075251,trucalling
50,ton,566.9685520095342,trucalling
51,chose,553.6606940883801,trucalling
52,non,549.1236832553371,trucalling
53,parler,527.9174777393825,trucalling
54,rien,527.218079399032,trucalling
55,nous,525.8075545576365,trucalling
56,ou,523.3302960883086,trucalling
57,plus,519.2188568719324,trucalling
58,peu,507.0470705892865,trucalling
59,venir,497.00653453801345,trucalling
60,penser,494.9271124288296,trucalling
61,passer,489.5100029305331,trucalling
62,comme,478.4306599644904,trucalling
63,croire,474.657060042666,trucalling
64,merci,473.05482268290257,trucalling
65,pourquoi,469.7106308051715,trucalling
66,bon,441.05620520796083,trucalling
67,juste,437.06827247024336,trucalling
