,mots,poids,serie
0,etre,11864.31325196318,trueblood
1,je,9522.91789553467,trueblood
2,le,8504.415934597648,trueblood
3,avoir,7489.161704124878,trueblood
4,ce,6178.3243537909675,trueblood
5,de,6007.720058667699,trueblood
6,pas,5200.13828970211,trueblood
7,que,4673.304269310299,trueblood
8,un,4210.292380513123,trueblood
9,te,3607.064961221885,trueblood
10,tu,3494.502660439287,trueblood
11,cela,2873.2799257387005,trueblood
12,il,2812.8992422779615,trueblood
13,et,2552.441990974194,trueblood
14,ne,2270.2446610304705,trueblood
15,me,2247.7035803820827,trueblood
16,vous,1969.1270103584905,trueblood
17,aller,1940.1807939848645,trueblood
18,pouvoir,1903.1929452260542,trueblood
19,faire,1895.6084480112245,trueblood
20,mon,1841.8577726094004,trueblood
21,en,1791.6400103901299,trueblood
22,lui,1742.8527285546834,trueblood
23,moi,1702.7831223357655,trueblood
24,tout,1553.4405965812841,trueblood
25,mais,1524.5876492124464,trueblood
26,pour,1309.3895913894783,trueblood
27,taire,1306.3435675270707,trueblood
28,on,1267.0,trueblood
29,toi,1262.820875808858,trueblood
30,savoir,1253.3935837339127,trueblood
31,devoir,1239.8515376203445,trueblood
32,si,1183.3970149150869,trueblood
33,qui,1171.4829352239362,trueblood
34,sookie,1160.1795463006533,trueblood
35,dire,1128.7174340610288,trueblood
36,avec,1092.459613545244,trueblood
37,se,1047.2160843619695,trueblood
38,quoi,1023.7686645447687,trueblood
39,bien,1016.6102120627569,trueblood
40,vouloir,978.0300276323972,trueblood
41,dans,961.9193652558955,trueblood
42,voir,904.4428103801707,trueblood
43,comme,900.6697994633528,trueblood
44,vampire,820.9371216396287,trueblood
45,ton,811.8721277296288,trueblood
46,ou,784.3122453125043,trueblood
47,sur,782.3192299267494,trueblood
48,nous,770.3320404157472,trueblood
49,plus,668.7707385672963,trueblood
50,rien,641.61445511769,trueblood
51,aimer,605.2557069623493,trueblood
52,au,603.0637071542224,trueblood
53,putain,602.4836588769878,trueblood
54,pourquoi,589.6367493086195,trueblood
