,mots,poids,serie
0,etre,45302.1861850733,uglybetty
1,je,37113.71923538168,uglybetty
2,le,31799.389404562604,uglybetty
3,avoir,28344.063769239165,uglybetty
4,ce,25068.91627574749,uglybetty
5,de,24888.055825513835,uglybetty
6,que,21742.790558644745,uglybetty
7,un,16799.123417307826,uglybetty
8,pas,16355.20525962031,uglybetty
9,ne,15729.17473821053,uglybetty
10,tu,11748.473849726088,uglybetty
11,vous,11183.971552808605,uglybetty
12,il,10237.567445960009,uglybetty
13,et,10100.552897936823,uglybetty
14,cela,9716.11177710112,uglybetty
15,pouvoir,8480.304960883584,uglybetty
16,aller,8172.63330984439,uglybetty
17,faire,7810.878912702661,uglybetty
18,mon,7093.718480266545,uglybetty
19,me,6755.58412394526,uglybetty
20,en,6436.67716484454,uglybetty
21,te,6340.327976346969,uglybetty
22,pour,6033.589258586256,uglybetty
23,lui,5571.872248122041,uglybetty
24,tout,5558.308695870385,uglybetty
25,taire,5502.78313579936,uglybetty
26,dire,5268.306596687401,uglybetty
27,mais,5249.377240646468,uglybetty
28,savoir,5063.777015192016,uglybetty
29,bien,4724.247456056341,uglybetty
30,vouloir,4599.612720626973,uglybetty
31,betty,4463.5380895602075,uglybetty
32,moi,4438.64806845196,uglybetty
33,on,4429.0,uglybetty
34,qui,4337.482577121196,uglybetty
35,avec,4313.331922445877,uglybetty
36,devoir,4185.765817742798,uglybetty
37,dans,4086.9365924831704,uglybetty
38,si,3653.7219020855614,uglybetty
39,non,3575.2844961258384,uglybetty
40,se,3571.466479882162,uglybetty
41,quoi,3515.6443806306843,uglybetty
42,sur,3262.916864934408,uglybetty
43,daniel,3121.8522365321587,uglybetty
44,quelque,3115.913021245054,uglybetty
45,wilhelmina,3114.0890972519996,uglybetty
46,meade,2969.9393301870086,uglybetty
47,voir,2941.5211844040173,uglybetty
48,toi,2911.1004863792964,uglybetty
49,nous,2873.5622586462937,uglybetty
50,vraiment,2861.570438735052,uglybetty
51,oh,2837.281452107713,uglybetty
52,chose,2532.838577553739,uglybetty
53,au,2526.6289799737247,uglybetty
54,penser,2525.310693109557,uglybetty
55,juste,2470.8066178022614,uglybetty
56,ton,2396.4765423203785,uglybetty
57,comme,2347.2000834499495,uglybetty
58,alors,2305.9764464423656,uglybetty
59,son,2259.9860398777287,uglybetty
60,plus,2232.746402775855,uglybetty
61,ou,2205.3657908264495,uglybetty
62,parler,2197.414469443863,uglybetty
63,luire,2180.719802544775,uglybetty
64,votre,2165.0140398068543,uglybetty
65,oui,2053.8572314483777,uglybetty
66,pourquoi,2040.4096550933868,uglybetty
67,ici,2025.9763931623183,uglybetty
68,hilda,1942.5192092233597,uglybetty
69,croire,1940.8575159751715,uglybetty
70,bon,1813.5271760967814,uglybetty
71,aimer,1802.3169940656626,uglybetty
72,headl0ck,1802.1824793986982,uglybetty
73,peu,1795.5825305026547,uglybetty
74,passer,1719.8556143230476,uglybetty
75,venir,1686.810056613864,uglybetty
76,merci,1670.7893737311026,uglybetty
77,quand,1648.9841294224107,uglybetty
78,rien,1619.7863634366488,uglybetty
