,mots,poids,serie
0,be,4563.756860776695,v
1,you,2318.0590966106984,v
2,to,1756.4734796372682,v
3,the,1692.1044506404928,v
4,we,1325.7303949857724,v
5,not,1292.6330869055605,v
6,do,1013.4073980866218,v
7,it,984.4283571264772,v
8,have,827.9714724563913,v
9,they,798.3088989337233,v
10,that,797.3508416120461,v
11,this,628.6042929818371,v
12,what,627.2580649753376,v
13,of,623.4975979950439,v
14,he,586.9299871815967,v
15,get,548.6705115103408,v
16,will,546.776270848247,v
17,and,539.2847966072528,v
18,go,493.2354936034569,v
19,can,469.27917986482976,v
20,know,441.78308764365477,v
21,in,429.3194317908898,v
22,my,427.2286011764322,v
23,for,425.09109947051553,v
24,your,412.12467705363696,v
25,with,394.088555480208,v
26,she,377.24612286009204,v
27,on,377.0,v
28,there,364.81341856441924,v
29,our,327.04350238868113,v
30,here,325.6024195018735,v
31,need,307.8338368477597,v
32,column,299.78981926083657,v
33,about,298.59249106686826,v
34,if,293.3227471954776,v
35,just,278.22346318531584,v
36,anna,268.09767099793163,v
37,would,268.03781828811464,v
38,5th,265.90254060571175,v
39,want,265.55852095707723,v
40,ve,250.46270195391878,v
41,visitor,245.7858275426026,v
42,no,240.91281637484,v
43,how,233.76683085911324,v
44,all,233.54285155403355,v
45,from,232.64716731493513,v
46,ship,229.11379224698018,v
47,like,227.18134341610516,v
48,come,225.1934602744046,v
49,tell,223.8904129230134,v
50,think,221.89037985980647,v
51,out,219.17934159940648,v
52,see,218.13374088511605,v
53,so,209.94068572900278,v
54,right,207.84073049000295,v
55,now,205.05489752891955,v
56,up,198.98019394043806,v
57,but,196.56000832007987,v
58,find,196.20323519131537,v
59,one,195.12330045896553,v
60,why,194.4549549444729,v
61,who,192.8871234784283,v
62,human,191.54866149856286,v
63,could,177.3677246129491,v
64,say,174.2316396302477,v
65,take,164.45165195132833,v
66,tyler,164.2885883169851,v
67,at,163.9742082882374,v
68,people,158.3682524493233,v
69,help,154.51591877785432,v
70,make,153.16038666512176,v
71,hobbes,151.38182339809828,v
72,okay,148.8195139303797,v
73,look,147.7432417765471,v
74,good,147.5709451110635,v
75,visitors,146.54536928244704,v
76,decker,144.7185472886895,v
77,call,144.68563854342472,v
78,her,137.50338719719664,v
79,let,135.16705630807976,v
80,any,131.83666427365065,v
81,something,128.13388132749387,v
82,time,127.45895375929783,v
83,more,121.18541160284225,v
84,shuttle,120.78548650068285,v
85,his,120.26401275902892,v
86,talk,118.56222577700296,v
87,chad,118.35162843326772,v
88,thank,117.18814602102282,v
89,as,117.0,v
90,erica,116.71322878833561,v
91,really,116.6685455401443,v
92,georgie,114.99091708296007,v
93,back,112.70447761096065,v
94,where,111.60480957144762,v
95,down,109.31613885882494,v
96,only,108.6605245804253,v
97,too,108.11321411655653,v
98,mom,104.93535369051705,v
99,their,103.01154008733191,v
100,live,102.52744876445978,v
101,work,101.14473683813053,v
102,sorry,100.66559257176857,v
103,an,100.0,v
104,ryan,99.9384320862067,v
105,leave,98.64069837206772,v
106,please,98.19625202439374,v
107,give,97.31680465489244,v
108,thing,96.706282198242,v
109,some,96.44965765245855,v
110,everything,95.45874036006553,v
111,other,93.86776135406444,v
112,vs,93.67037728624385,v
113,because,92.77394893330973,v
114,yeah,92.52535363416236,v
115,before,91.7827387337912,v
116,trust,91.69443992206013,v
117,mother,90.63128191456883,v
118,when,90.58496604566218,v
119,anything,89.87150377895608,v
120,father,88.70389293676526,v
121,nothing,88.67145945467965,v
122,today,87.11581981512386,v
123,into,86.71811768144885,v
124,keep,85.5257678922139,v
125,never,85.17955581911652,v
126,well,84.38084867908134,v
127,off,83.39568302616519,v
128,guy,83.02327800395848,v
129,by,82.76859643767938,v
130,hear,81.87907267848661,v
131,then,81.25563206133758,v
132,should,80.12008673459148,v
133,ambassador,79.80048583706105,v
134,use,79.75304381986274,v
135,aboard,79.69351939788487,v
136,lisa,79.02710461639087,v
137,kill,78.63416218859582,v
138,believe,78.48498292368146,v
139,may,77.41025196932658,v
140,warehouse,76.3576631047335,v
141,life,76.19735005166311,v
142,way,74.5510298954352,v
143,happen,73.91929574454359,v
144,peace,73.77241643193459,v
145,even,72.85528376003407,v
146,feel,72.46677691890204,v
147,lezards,71.94822009216651,v
148,ask,71.94456768004133,v
149,dale,71.94356991196535,v
150,name,71.87998220810633,v
151,than,71.59405527004915,v
152,center,70.61093620824019,v
153,two,70.21717949303121,v
154,sure,70.202621713804,v
155,evans,68.47444866655009,v
156,god,68.1436446552932,v
157,those,67.66048025315592,v
158,or,67.4183048977672,v
159,day,67.39375885480442,v
160,val,67.39337733330052,v
161,meet,66.82111825204588,v
162,healing,66.03177321539033,v
163,send,65.56936825425451,v
164,fbi,65.13715873652771,v
165,falkner,65.12208780556409,v
166,first,64.36574786861195,v
167,stay,63.92797015898317,v
168,joshua,63.47877306937596,v
169,lose,62.899124082433545,v
170,terrorist,62.89357926082357,v
171,try,62.329770905008594,v
172,maybe,62.13394481458115,v
173,still,60.94172404600319,v
174,great,60.592705801421125,v
175,every,59.914335852637386,v
176,baby,59.61219988744834,v
177,against,59.40920217350276,v
178,love,59.36934108855,v
179,mean,59.13337239705943,v
180,soldier,58.757186755361616,v
181,much,58.59016006209101,v
182,stop,57.58394397496059,v
183,parker,57.53808385342219,v
184,someone,57.27524421603932,v
185,move,57.228633381851054,v
186,yes,57.059751894849285,v
187,last,56.81057067409524,v
188,safe,55.59352957094103,v
189,put,55.55817947656378,v
190,away,55.55817947656378,v
191,friend,55.07451245857173,v
192,home,55.04172162395753,v
193,program,54.927745188787995,v
194,ty,54.8820286077764,v
195,anyone,54.83513381545489,v
196,ever,54.093286204037135,v
197,fight,54.05660705827827,v
198,family,53.018617576243486,v
199,world,52.85785008219954,v
200,through,52.65645268818112,v
201,wrong,52.50230719803604,v
202,lie,50.54170009515623,v
203,else,50.22552298149398,v
204,again,50.20971889514872,v
205,man,50.121309927453474,v
206,bring,49.99673965526769,v
207,must,49.78046846578506,v
208,welcome,49.32034918603386,v
209,show,49.06118868273589,v
210,us,48.6461929161494,v
211,always,48.30357550833324,v
212,over,48.228546181141574,v
213,protect,47.74479845874892,v
214,jack,46.754666578390854,v
215,together,45.78290670548085,v
216,plan,45.54108868350609,v
217,hell,45.444529351065846,v
218,message,45.36000192001843,v
219,long,45.0,v
220,anymore,44.972294438793014,v
221,understand,44.76379919425744,v
222,wait,44.76379919425744,v
223,turn,44.74957911128822,v
224,start,44.318979295662395,v
225,technology,44.166503322304926,v
226,kind,43.15137985731364,v
227,fifth,42.69068013014667,v
228,year,41.93274938828903,v
229,worry,41.44796221690504,v
230,answer,41.25639039826581,v
231,after,40.960021370934875,v
232,mr,40.883060639774776,v
233,everyone,40.69032847952181,v
234,listen,40.504454017333856,v
235,save,40.319951334893304,v
236,join,40.18950909139018,v
237,yet,40.162144205092,v
238,son,40.1596808507815,v
239,parishioner,39.98589299359181,v
240,night,39.974882647247206,v
241,idea,39.606134782335175,v
242,dad,39.42362439708992,v
243,own,39.41732621884039,v
244,bad,38.74610271361547,v
245,very,38.70715328149757,v
246,since,37.95587916640454,v
247,speak,37.95587916640454,v
248,many,37.95587916640454,v
249,truth,37.840633170086775,v
250,most,37.7809733805445,v
251,heal,37.429851779485205,v
252,around,37.335351349338794,v
253,morning,37.335351349338794,v
254,hope,36.90719409601128,v
255,priest,36.66269824919359,v
256,run,36.10121435368302,v
257,walk,35.62054152435781,v
258,resistance,35.3203842926805,v
259,new,35.31435018454472,v
260,agent,35.22781748877377,v
261,lead,34.97845123017235,v
262,afraid,34.97845123017235,v
263,alex,34.84383136349455,v
264,care,34.84383136349455,v
265,cell,34.78974546556675,v
266,ago,34.65536793454328,v
267,until,34.65536793454328,v
268,timbal,34.412105186883785,v
269,real,34.385345408005016,v
270,group,34.37738279518128,v
271,john,34.252456135644444,v
272,lot,34.22873629028085,v
273,check,34.21407627138205,v
274,might,34.17987592279832,v
275,without,34.02374137456044,v
276,question,34.0,v
277,report,33.92061898331585,v
278,another,33.41055912602294,v
279,attack,32.55226278361745,v
280,news,32.38327695739091,v
281,kid,32.093053972721044,v
282,hurt,31.963985079491586,v
283,comms,31.684028653361977,v
284,fear,31.392517630610463,v
285,vitamin,31.38952797446015,v
286,alone,31.112792791115666,v
287,big,31.011087792526787,v
288,head,30.987535569527182,v
289,doctor,30.78338505317373,v
290,daughter,30.54850563293069,v
291,these,30.26723608467835,v
292,exactly,30.26278534811747,v
293,oh,30.119760638086124,v
294,war,30.092399813927113,v
295,set,30.065757504825452,v
296,already,29.981529625862013,v
297,embed,29.906694942976102,v
298,number,29.84253279617163,v
299,nice,29.82289174907994,v
300,word,29.82289174907994,v
301,task,29.573640712968647,v
302,soon,29.567718297817436,v
303,hard,29.431268154299023,v
304,hand,29.384142675669516,v
305,same,29.297036505255704,v
306,win,29.16320689248038,v
307,wanna,29.030364961123176,v
308,destroy,28.9879133499547,v
309,sleeper,28.96995905123273,v
310,tollbooth,28.89290366433389,v
311,weapon,28.85136643110121,v
312,high,28.712136509176098,v
313,able,28.44818547860683,v
314,few,28.44818547860683,v
315,tonight,28.380474877565078,v
316,fine,28.3394066313677,v
317,army,28.212464069344442,v
318,tracker,28.118808724274764,v
319,follow,28.05434547082075,v
320,hang,27.925067281272025,v
321,dead,27.914935541886038,v
322,late,27.796764785470515,v
323,aneurysm,27.642528234382215,v
324,address,27.54291031037644,v
325,dorset,27.47725674045882,v
326,test,27.382738901968036,v
327,drive,27.213339304165398,v
328,yesterday,27.154227229271726,v
329,emotion,27.10725851696041,v
330,threat,26.97097680629165,v
331,shoot,26.793006060926785,v
332,heart,26.741723407585546,v
333,egg,26.707812161528008,v
334,scared,26.526695818819224,v
335,whatever,26.526695818819224,v
336,partner,26.449185065010415,v
337,team,26.347778468600463,v
338,break,26.31933572580726,v
