,mots,poids,serie
0,le,3175.8562269584177,v
1,etre,2995.5101815871753,v
2,avoir,2418.0754712635385,v
3,je,1924.5417902652403,v
4,de,1783.9097502313955,v
5,ce,1484.4505134735402,v
6,un,1314.7930591777824,v
7,que,1217.4704616346796,v
8,vous,1189.0121990258212,v
9,il,1144.6141397995116,v
10,pas,1030.4160949151506,v
11,ne,955.4056402357568,v
12,nous,599.3247202404673,v
13,pouvoir,553.1364655294805,v
14,cela,542.2239013298782,v
15,on,537.0,v
16,faire,531.4184367074203,v
17,tu,508.46667259546405,v
18,aller,507.7422875073042,v
19,et,503.12558475933633,v
20,en,491.7991706372907,v
21,devoir,444.25198146342046,v
22,tout,420.595576544735,v
23,lui,412.3054051528987,v
24,mon,411.9945017678922,v
25,te,406.6337369637222,v
26,me,385.4275284894914,v
27,pour,354.1525197554668,v
28,se,349.0720281206565,v
29,savoir,326.31742166637247,v
30,vouloir,324.3208381786187,v
31,sur,319.8349250948131,v
32,mais,296.49260340688386,v
33,5e,294.2303915378311,v
34,avec,291.9504139646773,v
35,qui,290.11152097066525,v
36,visiteur,284.05767399870564,v
37,notre,275.23936803818896,v
38,colonne,273.7955405129467,v
39,voir,264.8368450284478,v
40,votre,261.1815116307207,v
41,dans,257.16287599057785,v
42,si,248.99826448933166,v
43,moi,246.25787659882323,v
44,son,229.9141728707241,v
45,bien,222.7572376431629,v
46,dire,221.42991700050757,v
47,anna,214.4781367983453,v
48,au,207.95300246697323,v
49,vaisseau,206.54766845693277,v
50,plus,193.78553684469688,v
51,quoi,187.17551100580033,v
52,taire,181.57671208870482,v
53,parler,179.89544623603163,v
54,toi,179.02058392692626,v
55,luire,177.36295837893212,v
56,humain,173.040126959696,v
57,quelque,172.36253554685317,v
58,ou,172.1661026295741,v
59,pourquoi,169.8953345465514,v
60,comme,168.5745613968842,v
61,venir,163.99542217079232,v
62,ici,155.84433793556295,v
63,autre,154.9045697336204,v
64,trouver,150.33622186404722,v
65,rien,142.58099002615333,v
66,chose,140.00615252809612,v
67,croire,138.51202463878508,v
68,visiteurs,137.3862837022941,v
69,la,135.36185936299688,v
70,hobbes,125.53614623256931,v
71,penser,123.30948534916233,v
72,passer,123.19882624090599,v
73,tyler,118.44061018201252,v
74,appeler,111.48528812390019,v
