,mots,poids,serie
0,etre,32419.20325891317,veronicamars
1,le,29722.154264296463,veronicamars
2,avoir,23789.195895411613,veronicamars
3,je,23061.71299342281,veronicamars
4,de,21526.77176703944,veronicamars
5,ce,17322.032383365695,veronicamars
6,que,15545.354807223433,veronicamars
7,un,14404.768209280526,veronicamars
8,pas,10068.11226897204,veronicamars
9,ne,9322.803308247945,veronicamars
10,il,8970.363666042273,veronicamars
11,tu,8748.658277259083,veronicamars
12,vous,7242.926423643207,veronicamars
13,et,7002.035577162861,veronicamars
14,faire,5495.644321071858,veronicamars
15,pouvoir,5332.975284679367,veronicamars
16,me,5205.142642027986,veronicamars
17,te,5129.638532959835,veronicamars
18,cela,4944.203611191756,veronicamars
19,aller,4805.057806939984,veronicamars
20,mon,4789.970677993487,veronicamars
21,lui,4688.126001220609,veronicamars
22,en,4658.264027014337,veronicamars
23,pour,4100.371375517423,veronicamars
24,qui,4041.0642839555167,veronicamars
25,dire,3764.3085890086286,veronicamars
26,dans,3740.2549938376446,veronicamars
27,tout,3579.6674616873065,veronicamars
28,on,3548.0,veronicamars
29,taire,3429.782339453313,veronicamars
30,mais,3366.7302179207904,veronicamars
31,se,3182.642477028904,veronicamars
32,savoir,3181.1765055783285,veronicamars
33,sur,3109.756478269286,veronicamars
34,si,2943.421589700205,veronicamars
35,veronica,2910.0367271608907,veronicamars
36,moi,2908.545774219028,veronicamars
37,avec,2861.4279820301435,veronicamars
38,devoir,2858.0773864490775,veronicamars
39,vouloir,2832.739820966373,veronicamars
40,voir,2779.9540525313164,veronicamars
41,bien,2637.2064912922106,veronicamars
42,son,2508.976061152574,veronicamars
43,ou,2328.3415784190024,veronicamars
44,quelque,2232.3458487330304,veronicamars
45,au,2086.028555996825,veronicamars
46,toi,1932.1320679680869,veronicamars
47,ton,1926.798451898279,veronicamars
48,luire,1876.66901675232,veronicamars
49,comme,1785.284878793669,veronicamars
50,votre,1693.573198058321,veronicamars
51,quoi,1671.5586939387558,veronicamars
52,plus,1660.8684326309076,veronicamars
53,nous,1614.181246514325,veronicamars
54,oui,1530.4152912959883,veronicamars
55,croire,1530.3889551553573,veronicamars
56,non,1500.575609687852,veronicamars
57,alors,1485.999335588404,veronicamars
