,mots,poids,serie
0,be,21067.474960334006,weeds
1,you,12735.212972274128,weeds
2,to,6694.462039090889,weeds
3,not,6361.077615650945,weeds
4,the,5841.403641804381,weeds
5,it,5047.38712368919,weeds
6,do,4934.955057349155,weeds
7,that,4053.426889355436,weeds
8,and,3698.2660645383557,weeds
9,have,3409.0222078232428,weeds
10,we,3185.088118770849,weeds
11,go,3001.2555613351738,weeds
12,what,2998.008433279852,weeds
13,get,2984.0499754077396,weeds
14,my,2822.8540090001075,weeds
15,this,2657.5500743199264,weeds
16,in,2646.91515310869,weeds
17,your,2558.3843588524473,weeds
18,of,2412.0080088527993,weeds
19,fuck,2160.613152922267,weeds
20,she,2074.1254013620505,weeds
21,for,2045.3658699161037,weeds
22,he,1917.9290183966007,weeds
23,no,1852.3013711839112,weeds
24,know,1849.0523933164886,weeds
25,with,1791.6954683082315,weeds
26,can,1701.4800673461664,weeds
27,will,1700.941424555632,weeds
28,just,1629.5945700854213,weeds
29,here,1580.8453918805915,weeds
30,so,1562.8917715381317,weeds
31,like,1514.063003906068,weeds
32,they,1496.6398332951019,weeds
33,on,1447.0,weeds
34,fucking,1408.2306088785401,weeds
35,think,1359.4692287185326,weeds
36,want,1333.9326861947982,weeds
37,shit,1301.5252422930723,weeds
38,there,1256.264106729615,weeds
39,all,1222.3732230274948,weeds
40,right,1204.253644309723,weeds
41,out,1178.558631114523,weeds
42,about,1136.1080147910109,weeds
43,how,1082.868287463505,weeds
44,up,1082.3142340922093,weeds
45,take,1068.9357376836342,weeds
46,now,1054.1554591275442,weeds
47,say,1042.2785585023748,weeds
48,well,1036.0093087820542,weeds
49,need,981.3180179715384,weeds
50,would,977.5496902272416,weeds
51,if,976.3046340476925,weeds
52,come,973.9617156867998,weeds
53,at,960.0199374140395,weeds
54,make,959.5047752844392,weeds
55,okay,897.0509589692333,weeds
56,good,867.6625013474568,weeds
57,yeah,859.9415220116266,weeds
58,see,846.7830635748603,weeds
59,but,811.4400343469964,weeds
60,botwin,803.1724162686238,weeds
61,tell,799.383375718083,weeds
62,silas,797.837172248181,weeds
63,who,796.2032390199785,weeds
64,some,788.7092972547821,weeds
65,one,777.9257899877177,weeds
66,let,758.1108810322735,weeds
67,look,746.2927853840969,weeds
68,shane,738.3842731283961,weeds
69,why,734.2619098703296,weeds
70,back,710.3003123853566,weeds
71,really,684.0292807011199,weeds
72,where,663.5961650194182,weeds
73,celia,652.5112148044873,weeds
74,ve,635.7899357291784,weeds
75,give,635.6984820198619,weeds
76,oh,628.4990053147304,weeds
77,could,616.8629714414956,weeds
78,thing,614.0081409412189,weeds
79,mom,604.6275141215506,weeds
80,from,595.632807884623,weeds
81,should,580.4618528730607,weeds
82,his,578.1923690337928,weeds
83,talk,575.0267950184644,weeds
84,when,573.7047849558605,weeds
85,thank,561.526533017401,weeds
86,love,553.2143146887614,weeds
87,judah,550.5936829901406,weeds
88,time,548.3139897569794,weeds
89,then,542.2250831785411,weeds
90,nancy,538.7895334268956,weeds
91,weed,533.9208903506178,weeds
92,her,516.9108815005725,weeds
93,mean,505.03096425596704,weeds
94,sorry,496.7269403951203,weeds
95,too,491.01418077936097,weeds
96,hodes,488.2200649111299,weeds
97,or,485.8398479934334,weeds
98,yes,485.0078911062189,weeds
99,little,478.2230722079807,weeds
100,off,477.36839249460076,weeds
101,house,470.90029046878436,weeds
102,call,468.50587718823243,weeds
103,heylia,466.708295939876,weeds
104,agrestic,466.708295939876,weeds
105,man,460.0022444452952,weeds
106,our,460.0004402756683,weeds
107,work,459.1649958048465,weeds
108,down,442.87051127421387,weeds
109,more,436.2674817702321,weeds
110,something,431.2798932486379,weeds
111,leave,429.5643316202949,weeds
112,bubbie,421.4110033969753,weeds
113,guy,420.9425849674386,weeds
114,andy,414.48909972270314,weeds
115,hey,414.45727932647833,weeds
116,money,403.1992577943761,weeds
117,guillermo,400.82728749310525,weeds
118,never,398.0208335547808,weeds
119,please,394.36881861409745,weeds
120,god,391.82595676793596,weeds
121,drug,390.90370093891966,weeds
122,people,385.40946392534437,weeds
123,an,382.0,weeds
124,doug,378.04150297280063,weeds
125,over,376.1826602129043,weeds
126,maybe,376.07387650930696,weeds
127,kid,375.94720368044653,weeds
128,wait,363.08414902008815,weeds
129,happen,358.09792160690006,weeds
130,very,354.815571747061,weeds
131,try,351.6038358744074,weeds
132,help,351.6025498720563,weeds
133,ass,347.96923262914305,weeds
134,hear,343.57101084698303,weeds
135,keep,337.35164001928814,weeds
136,way,337.3128565760675,weeds
137,nice,335.89993864753194,weeds
138,because,335.2883066712597,weeds
139,much,333.0388045634647,weeds
140,into,332.6822332870129,weeds
141,by,329.8572005089869,weeds
142,fine,327.7513984323395,weeds
143,ask,327.020762182006,weeds
144,kill,326.8714192937709,weeds
145,nothing,320.46176574849136,weeds
146,great,319.62652310249644,weeds
147,use,317.38456214027013,weeds
148,name,310.9590534655034,weeds
149,put,307.822345748529,weeds
150,big,307.72540963353504,weeds
151,find,304.50742101692146,weeds
152,still,303.14601192114407,weeds
153,conrad,299.34608123333845,weeds
154,us,295.6191723366002,weeds
155,buy,294.3186859638054,weeds
156,even,289.83732452361374,weeds
157,life,289.8220635893615,weeds
158,friend,279.8380633030131,weeds
159,bullshit,278.0587446147969,weeds
160,any,275.0666205215674,weeds
161,day,273.53937417538265,weeds
162,business,272.4136209808319,weeds
163,grow,271.54227229271726,weeds
164,only,270.9070612827042,weeds
165,bitch,270.68380228038404,weeds
166,family,268.1227231712885,weeds
167,as,267.0,weeds
168,sell,266.92487667686845,weeds
169,bring,264.49888075690006,weeds
170,two,263.31442309886705,weeds
171,feel,257.48833500971574,weeds
172,those,257.43987608517864,weeds
173,anything,257.0009669468393,weeds
174,other,252.96566195417367,weeds
175,again,251.04859447574358,weeds
176,start,250.63146912029768,weeds
177,move,250.17088306923463,weeds
178,wanna,246.758102169547,weeds
179,asshole,246.33625451333415,weeds
180,turn,246.1226851120852,weeds
181,away,244.7563041805377,weeds
182,sure,244.6767845025228,weeds
183,stay,244.52448585811064,weeds
184,around,244.23542341025797,weeds
185,got,243.0525628428561,weeds
186,esteban,240.68706934738702,weeds
187,everything,240.23782990616493,weeds
188,baby,239.61766621425315,weeds
189,year,238.69411190256835,weeds
190,kind,238.13168884221233,weeds
191,these,236.87402153226535,weeds
192,lupita,235.96872128148883,weeds
193,girl,235.42992433107568,weeds
194,mother,234.39124633078148,weeds
195,school,227.24228269638095,weeds
196,home,226.71947240344412,weeds
197,room,226.0797843218111,weeds
198,live,222.3834804186874,weeds
199,first,220.89154382182738,weeds
200,through,219.91812593299173,weeds
201,after,213.5772542913033,weeds
