,mots,poids,serie
0,etre,18282.095709785048,weeds
1,le,14539.408795954547,weeds
2,je,13547.348616955984,weeds
3,de,11618.421210715213,weeds
4,avoir,11069.128033027937,weeds
5,ce,10433.945905339368,weeds
6,un,7867.167112089704,weeds
7,que,7583.962929472434,weeds
8,pas,6462.3626693444,weeds
9,tu,4939.981087411215,weeds
10,ne,4683.20551728288,weeds
11,et,4277.794606026942,weeds
12,il,4221.3476075493045,weeds
13,vous,4070.831672016808,weeds
14,aller,3840.011207505572,weeds
15,te,3822.8835141735044,weeds
16,faire,3721.549235112635,weeds
17,cela,3378.342064360612,weeds
18,mon,3164.8020551028394,weeds
19,pouvoir,2800.988910553539,weeds
20,en,2796.882324944592,weeds
21,me,2772.8329962205157,weeds
22,lui,2325.993839428305,weeds
23,on,2318.0,weeds
24,dans,2280.286007992402,weeds
25,tout,2150.5635136466194,weeds
26,pour,2079.4276389311813,weeds
27,qui,1992.94001362457,weeds
28,moi,1988.081881810012,weeds
29,taire,1842.6673745298192,weeds
30,devoir,1755.0487024353379,weeds
31,dire,1744.120060529972,weeds
32,avec,1698.335203816026,weeds
33,se,1626.1042164054782,weeds
34,bien,1613.1212041407568,weeds
35,vouloir,1599.6449674747498,weeds
36,mais,1506.7656894448196,weeds
37,quoi,1420.9062705049016,weeds
38,toi,1361.2015570659978,weeds
39,sur,1351.4151764569567,weeds
40,si,1323.6223533380262,weeds
41,savoir,1290.2088825885805,weeds
42,ton,1261.4211571336382,weeds
43,ou,1250.253840524288,weeds
44,non,1170.014026104441,weeds
45,voir,1087.663269204883,weeds
46,au,992.9755867797971,weeds
47,comme,913.513575569782,weeds
48,votre,913.3139651992497,weeds
49,plus,913.109024154088,weeds
50,alors,898.6279765889335,weeds
51,ici,882.0126359757392,weeds
52,nous,875.8131911780695,weeds
53,oui,856.5413566130005,weeds
54,son,844.357289887681,weeds
55,aimer,835.5891287785768,weeds
56,quelque,833.364492255659,weeds
57,silas,816.9241859383288,weeds
58,luire,798.9778982212847,weeds
59,botwin,786.8918943172328,weeds
60,bon,784.8401959742868,weeds
61,pourquoi,767.8602865290216,weeds
62,vraiment,756.2008027856307,weeds
63,putain,756.1606501267702,weeds
64,la,736.236454584105,weeds
65,shane,727.6830517787092,weeds
66,parler,712.8567215334338,weeds
67,rien,706.2732761760618,weeds
68,quand,704.5659462077573,weeds
69,prendre,699.4065947120482,weeds
70,peu,682.756451486564,weeds
71,merde,672.715915435291,weeds
72,juste,672.5367882660203,weeds
73,petit,668.3680379724864,weeds
74,maintenant,655.151479524461,weeds
75,chose,652.3013924604478,weeds
76,penser,628.3716239710739,weeds
77,passer,627.4926883203478,weeds
78,veux,616.2869978649413,weeds
79,celia,603.8590628234509,weeds
80,besoin,592.391627025107,weeds
81,tres,590.6659407535693,weeds
82,ca,549.2612226895708,weeds
83,croire,548.9805854585994,weeds
84,autre,541.3331738002863,weeds
85,venir,535.4952560678933,weeds
86,ok,529.5509579115825,weeds
87,aussi,528.0080495221255,weeds
88,ouai,515.6938437115693,weeds
89,maison,514.1497681787143,weeds
90,nancy,512.5071171621689,weeds
91,agrestic,499.26933984265804,weeds
92,meme,498.70666232755923,weeds
93,parce,492.6108948332455,weeds
94,oh,490.95209840080383,weeds
95,par,488.4794405097689,weeds
96,merci,485.99553211799713,weeds
97,falloir,481.4137441713872,weeds
98,notre,480.47565981232987,weeds
99,judah,476.8534575896753,weeds
100,jamais,471.97310615616084,weeds
101,as,469.0,weeds
102,weeds,463.90196005056544,weeds
103,maman,461.62186289761934,weeds
104,fai,459.71678759655083,weeds
105,comment,451.5983317189895,weeds
106,argent,446.80385428164846,weeds
107,dieu,441.87312345071615,weeds
108,temps,439.7291011793095,weeds
109,fois,437.6904810105172,weeds
110,trop,430.71671575789503,weeds
111,heylia,428.7204113866303,weeds
112,hodes,426.5501619749872,weeds
113,appeler,422.2927580450765,weeds
114,mere,417.63955632179443,weeds
115,beuh,408.7357989064422,weeds
116,mettre,405.40104772327345,weeds
117,andy,403.199513348933,weeds
118,trouver,400.3335346267325,weeds
119,sai,394.2362439708991,weeds
120,vie,386.6448883380202,weeds
121,encore,385.9642522913535,weeds
122,femme,370.61166086626025,weeds
123,guillermo,370.2880655888687,weeds
124,arriver,368.2392850153067,weeds
125,doug,364.9410548499808,weeds
126,personne,359.78587517061584,weeds
127,toujours,353.03674572568394,weeds
128,chez,351.56443806306845,weeds
129,bubbie,349.46278330480874,weeds
130,mec,347.72924266850254,weeds
131,deux,345.29577767704177,weeds
132,donc,344.72507109370633,weeds
133,conrad,339.7982543729788,weeds
134,homme,338.1250285583327,weeds
135,laisser,336.25317053463857,weeds
136,salut,333.8491970529165,weeds
137,voiture,332.2363556189158,weeds
138,fille,331.4624664192522,weeds
139,cul,331.10554023825927,weeds
140,fait,328.53020330908265,weeds
141,partir,327.8468412712726,weeds
142,enfant,324.9520237805355,weeds
143,arreter,320.9424961142581,weeds
144,truc,304.3091193338479,weeds
145,sans,301.1084307484614,weeds
146,tuer,300.9465876285015,weeds
147,drogue,297.47052945431693,weeds
148,gros,294.22152421780874,weeds
149,allez,292.0952440197219,weeds
150,quel,289.82145304999943,weeds
151,connaitre,289.17772665978913,weeds
152,sortir,287.49646080711597,weeds
153,avant,286.1431669092553,weeds
154,herbe,285.9214300785425,weeds
155,famille,285.81519495444275,weeds
156,essayer,283.7807334062914,weeds
157,beaucoup,277.16684039143394,weeds
158,nouveau,275.9653707796294,weeds
159,apres,272.68006874653855,weeds
160,probleme,266.92487667686845,weeds
161,ami,264.8844321906074,weeds
162,vendre,264.3015628966458,weeds
163,vrai,260.5962071643449,weeds
164,donner,259.2285057109367,weeds
165,monde,257.2336754589985,weeds
166,lupita,255.63278138827957,weeds
167,mourir,254.36024663224933,weeds
168,acheter,253.3756548270459,weeds
169,nom,253.20929438312993,weeds
170,mieux,253.17736128505697,weeds
171,jour,249.57051516335318,weeds
172,bonjour,249.26102143539424,weeds
173,fils,248.30814173050499,weeds
174,moins,246.61897069832466,weeds
175,seul,243.78354863761294,weeds
176,sentir,243.24062863396406,weeds
177,mal,242.06987183548128,weeds
178,desoler,241.55145760178374,weeds
179,demander,239.86228656960344,weeds
180,gens,238.17311553742314,weeds
181,bebe,238.16618962192308,weeds
182,entendre,237.63151832040737,weeds
183,regarder,236.48394450524285,weeds
184,accord,234.78961276829804,weeds
185,laisse,233.69595352157378,weeds
186,payer,230.3334218162274,weeds
187,entrer,229.7272603765216,weeds
188,grand,229.5937338703474,weeds
189,rester,226.97089011088102,weeds
190,celui,226.97089011088102,weeds
191,salope,226.45060326588552,weeds
192,jusque,224.65974727998068,weeds
193,ecole,222.72491588871765,weeds
194,affaire,219.59223418343979,weeds
195,aider,218.56456084751505,weeds
196,esteban,216.9573582849686,weeds
197,finir,209.45720799035794,weeds
198,aucun,209.45720799035794,weeds
199,heure,208.20506684626397,weeds
200,est,208.07172781006796,weeds
201,manger,206.16770376272072,weeds
202,euh,205.86418478716865,weeds
203,gars,203.65670421953794,weeds
204,voila,200.33555631656475,weeds
205,baiser,196.95799339419915,weeds
206,revenir,195.94383973291548,weeds
207,ecoute,192.56549766855488,weeds
208,pler,192.02827531436927,weeds
209,donne,188.90486690272252,weeds
210,regarde,187.49798457201396,weeds
211,chercher,187.49798457201396,weeds
212,pere,185.7499169485505,weeds
213,bas,184.82862898423082,weeds
214,demain,184.11964250765334,weeds
215,soir,183.2204588247123,weeds
216,semaine,180.72964892291398,weeds
217,combien,180.72964892291398,weeds
218,prend,179.89544623603163,weeds
219,reste,178.21418038335844,weeds
220,marche,177.4077858735305,weeds
221,feu,177.36295837893212,weeds
222,deja,177.33984996609362,weeds
223,premier,175.77048018627303,weeds
224,hein,175.73935979967737,weeds
225,tete,174.92709528864702,weeds
226,depuis,172.2954452823912,weeds
227,mme,168.0167809811188,weeds
228,super,167.7044184571335,weeds
229,beau,167.2616732448106,weeds
230,an,167.0,weeds
231,cote,165.6688448460045,weeds
232,ouais,165.10631365322513,weeds
233,porte,164.13393037894394,weeds
234,occuper,163.84959012148968,weeds
235,majestic,163.60373356619297,weeds
236,commencer,163.0827877092997,weeds
237,dis,162.31566250704716,weeds
238,rentrer,161.40152185662652,weeds
239,adorer,161.22822417380087,weeds
240,monsieur,161.17713699707,weeds
241,sou,160.07479474527133,weeds
242,bordel,159.8924300641759,weeds
243,mexicain,158.3941143463328,weeds
244,perdre,158.0389901512801,weeds
245,dernier,157.09290599276846,weeds
246,rendre,156.3577242986069,weeds
247,nanc,154.17475734035682,weeds
248,meilleur,153.71456392840784,weeds
249,devenir,152.02539289622754,weeds
250,dean,151.64199437272637,weeds
251,envoyer,151.31392674058733,weeds
252,attendre,150.33622186404722,weeds
253,juif,150.27920800744005,weeds
254,chier,149.3671921212697,weeds
255,air,149.36149656805958,weeds
256,plein,147.95139503524095,weeds
257,sanjay,147.68303316162795,weeds
258,pret,147.55474549218192,weeds
259,foutre,146.64473812330024,weeds
260,peur,145.5877727434585,weeds
261,arrete,145.26870876750633,weeds
262,cheri,145.1518248056159,weeds
263,boulot,144.9395667497735,weeds
264,dedans,144.58886332989456,weeds
265,mort,144.4924811973293,weeds
266,fou,141.6023431087359,weeds
267,pendant,141.5001168863282,weeds
268,raison,140.95549998032183,weeds
269,desole,139.9138049206894,weeds
270,nuit,138.24816438591927,weeds
271,bite,137.54138163202006,weeds
272,endroit,137.46827534818812,weeds
273,travail,136.58252385114918,weeds
274,contre,135.77113614635863,weeds
275,vivre,135.5472366921855,weeds
276,fumer,135.0479704271132,weeds
277,tard,134.0785124946225,weeds
278,tant,133.44451154224416,weeds
279,aujourd,133.25124278160894,weeds
280,travailler,132.82000236118222,weeds
281,hui,132.63347909409612,weeds
282,chambre,132.37685774269966,weeds
283,he,132.16331271642338,weeds
284,genre,131.78913511809094,weeds
285,wilson,131.25875379061935,weeds
286,blanca,130.69661819511816,weeds
287,oublier,130.67971854087017,weeds
288,comprendre,130.06616947788356,weeds
289,assez,128.37699844570326,weeds
290,amour,128.12677929054223,weeds
291,sac,127.62456290302022,weeds
292,frere,127.53809725098236,weeds
293,idee,127.18012331612466,weeds
294,ren,125.97429035497593,weeds
295,connerie,124.1258150128818,weeds
296,cas,123.62134502438175,weeds
297,plante,123.54959910282871,weeds
298,ville,123.44605640087825,weeds
299,dormir,123.30948534916233,weeds
300,attend,123.13813159893738,weeds
301,va,122.97146811744594,weeds
302,precedemment,122.22352608704735,weeds
303,mari,122.15985529048817,weeds
304,gagner,121.62031431698203,weeds
305,business,121.0727204359253,weeds
306,allon,120.99768200734223,weeds
307,garde,120.86119287785027,weeds
308,part,120.0,weeds
309,compte,119.93114328480172,weeds
310,voler,119.93114328480172,weeds
311,demande,119.92611850344805,weeds
312,scottson,119.39049431020084,weeds
313,celier,119.06811254198823,weeds
314,journee,118.7997441280638,weeds
315,changer,118.72216644160547,weeds
316,isabelle,118.72171118384588,weeds
317,pense,118.26047796867793,weeds
318,hey,117.53266130153862,weeds
319,cool,116.90323146609431,weeds
320,jouer,116.55280122044111,weeds
321,prochain,116.55280122044111,weeds
322,pote,115.2577434373368,weeds
323,dapitch666,114.48856975191175,weeds
324,compris,114.3260779817771,weeds
325,propre,114.3260779817771,weeds
326,thieum2000,113.96365365973716,weeds
327,papa,113.7801691604455,weeds
328,parle,113.2635563643676,weeds
329,apprendre,113.1744591560805,weeds
330,noir,111.56156857183981,weeds
331,moment,111.44311436091866,weeds
332,pilar,111.1502849362987,weeds
333,viens,110.96354627643072,weeds
334,plaire,110.83613927923857,weeds
335,ferme,110.83613927923857,weeds
336,tomber,109.79611709171989,weeds
337,ouvrir,109.28228042375753,weeds
338,tirer,109.28228042375753,weeds
339,confiance,109.28228042375753,weeds
340,pousser,108.9687307927077,weeds
341,facon,108.77247388879083,weeds
342,sors,108.6169089170869,weeds
343,hode,108.15233058734904,weeds
344,dehors,108.10694605953958,weeds
345,amie,107.42579653218506,weeds
346,garcon,107.42246718593758,weeds
347,histoire,106.41777502735927,weeds
348,tenir,106.41777502735927,weeds
349,conduire,105.72062515865832,weeds
350,importer,104.83187347072258,weeds
351,dea,104.76160204876614,weeds
352,utiliser,104.72860399517897,weeds
353,dessus,104.72860399517897,weeds
354,partie,104.06394405986332,weeds
355,desolee,104.01545378513157,weeds
356,defoncer,103.6952686697594,weeds
357,milf,103.3827086621159,weeds
358,ah,102.61500608453464,weeds
359,longtemps,102.55721701306476,weeds
360,boire,102.31028241160483,weeds
361,foutr,101.63552574490492,weeds
362,gamin,101.08284644180262,weeds
363,peter,101.00520863944355,weeds
364,question,101.0,weeds
365,droit,100.87595116039157,weeds
366,oeil,100.87595116039157,weeds
367,chien,100.60511103807808,weeds
368,mois,99.9384320862067,weeds
369,esperer,99.66109089863805,weeds
370,coup,99.63283554929694,weeds
371,fromage,99.33728595910728,weeds
372,jeune,98.43407370611001,weeds
373,suivre,97.97191986645774,weeds
374,serieux,97.97191986645774,weeds
375,faute,97.97191986645774,weeds
376,adelita,97.68313170834614,weeds
377,helia,97.68313170834614,weeds
378,joue,96.73693450428053,weeds
379,plutot,96.73693450428053,weeds
380,com,96.00568550442716,weeds
381,marier,95.5878657992356,weeds
382,revoir,95.17126184588895,weeds
383,choisir,95.03979530245104,weeds
384,10,94.75200401070518,weeds
385,aide,94.67566789925091,weeds
386,devant,94.59357780209713,weeds
387,main,94.48428093544948,weeds
388,recuperer,94.22977210676515,weeds
389,vieux,94.1508877496988,weeds
390,preferer,93.7844255439711,weeds
391,train,93.20172030142218,weeds
392,magasin,93.04123351833898,weeds
393,coucher,92.90440676991683,weeds
394,mauvais,92.90440676991683,weeds
395,garder,92.84343536586728,weeds
396,emmerde,92.70821872658479,weeds
397,vite,92.6955567305256,weeds
398,plait,92.6955567305256,weeds
399,merd,92.64547359420526,weeds
400,pied,92.41431449211541,weeds
401,aguatecture,92.25629105788246,weeds
402,oncle,91.70525284513201,weeds
403,megan,91.6291957256802,weeds
404,annee,91.61022941235615,weeds
405,vien,91.21523573773652,weeds
406,casser,90.80323493924642,weeds
407,toucher,90.78835604435241,weeds
408,completement,90.78835604435241,weeds
409,trois,90.34580590999772,weeds
410,municipal,90.06935403240422,weeds
411,mexique,90.0239047872319,weeds
412,lit,89.82571340925014,weeds
413,emmener,89.52606470555621,weeds
414,asseoir,89.52606470555621,weeds
415,dealer,89.42795031017972,weeds
416,tellement,88.66891142339085,weeds
417,000,88.11510852482294,weeds
418,enfin,87.83689367337591,weeds
419,pres,87.46354764432351,weeds
420,conseil,87.37669777172769,weeds
421,porter,87.10971792595711,weeds
422,blanc,87.01797911103266,weeds
423,macanto,86.82945040741879,weeds
424,fete,86.55409929330362,weeds
425,colere,86.48311967675214,weeds
426,turn,86.30275971462729,weeds
427,gentil,86.1477226411956,weeds
428,genial,86.07159471992637,weeds
429,trou,85.3445564358205,weeds
430,travis,85.07701728966377,weeds
431,bel,84.80154745828962,weeds
432,forom,84.7534572832171,weeds
433,traduction,84.50906065971384,weeds
434,chaque,84.06329263365964,weeds
435,marvin,83.94114939303424,weeds
436,sang,83.77520184381606,weeds
437,isabel,83.74813660275655,weeds
438,passeur,83.68497771959595,weeds
439,haut,83.67113376060833,weeds
440,rencontrer,83.55339730281061,weeds
441,ensembl,83.55339730281061,weeds
442,mar,82.82994495202392,weeds
443,leur,82.76938057683499,weeds
444,avai,82.76938057683499,weeds
445,con,82.76859643767938,weeds
446,patisserie,82.50334119708894,weeds
447,apporter,82.38202678098645,weeds
448,fromagerie,82.2265372481903,weeds
449,couille,82.15788092207225,weeds
450,eau,81.7551905455015,weeds
451,bain,81.68417622843769,weeds
452,minute,81.64800345603318,weeds
453,ignacio,81.61430779984703,weeds
454,toilette,81.50568640916929,weeds
455,cours,81.46268168781518,weeds
456,boite,81.29413249614701,weeds
457,armenien,81.2292710916625,weeds
458,montrer,81.08020954465468,weeds
459,seulement,81.08020954465468,weeds
460,amener,81.08020954465468,weeds
461,cadeau,80.90729903673079,weeds
462,flic,80.71934247464148,weeds
463,audra,80.23448907661702,weeds
464,ni,80.05091995805668,weeds
465,chatte,79.49663585119217,weeds
466,enlever,79.39103851247438,weeds
467,mariage,78.43788318223037,weeds
468,sujet,78.0684032841562,weeds
469,chance,78.0,weeds
470,jesslataree,77.7279121903305,weeds
471,quell,77.6067153096015,weeds
472,rue,77.43595983556047,weeds
473,bientot,77.33822922296686,weeds
474,client,77.27392223343924,weeds
475,sucio,77.08737867017841,weeds
476,bizarre,76.36631501435464,weeds
477,derriere,76.26425047910527,weeds
478,jeter,76.26425047910527,weeds
479,agent,76.13754102412396,weeds
480,dur,76.01269644811377,weeds
481,groff,75.97576910649144,weeds
482,greendies,75.97576910649144,weeds
483,transcript,75.73864952025636,weeds
484,prison,75.51008972258316,weeds
485,detester,75.38381768541213,weeds
486,po,74.85970355897041,weeds
487,photo,74.72943077408932,weeds
488,hier,74.67412488049725,weeds
489,ecouter,74.67412488049725,weeds
490,quinn,74.65206739596033,weeds
491,vue,73.97569751762047,weeds
492,balle,73.67054910165275,weeds
493,manque,73.32236906165012,weeds
494,stupide,73.32236906165012,weeds
