,mots,poids,serie
0,be,6704.725343982902,womensmurderclub
1,you,3137.7856590966417,womensmurderclub
2,the,2359.0283938056155,womensmurderclub
3,to,2321.1779711182835,womensmurderclub
4,not,2174.0391850958927,womensmurderclub
5,do,1549.9171970736568,womensmurderclub
6,it,1531.7504844347095,womensmurderclub
7,that,1502.17632958993,womensmurderclub
8,have,1353.741066697787,womensmurderclub
9,he,1281.0475429442297,womensmurderclub
10,and,1228.7362947088016,womensmurderclub
11,we,1149.244273221419,womensmurderclub
12,she,1095.3246501574874,womensmurderclub
13,in,960.6992969790971,womensmurderclub
14,of,942.7974059648241,womensmurderclub
15,get,853.653575129168,womensmurderclub
16,this,841.0902511728807,womensmurderclub
17,know,804.5718483576494,womensmurderclub
18,what,766.965543083481,womensmurderclub
19,go,763.3104553966094,womensmurderclub
20,they,666.5197638156324,womensmurderclub
21,for,640.7170194917916,womensmurderclub
22,my,635.6008330385572,womensmurderclub
23,on,628.0,womensmurderclub
24,with,592.540292347027,womensmurderclub
25,your,574.0308001818514,womensmurderclub
26,no,537.5083120061288,womensmurderclub
27,so,535.142924407262,womensmurderclub
28,about,508.3355091821318,womensmurderclub
29,his,504.18374579746734,womensmurderclub
30,just,482.6325381786091,womensmurderclub
31,want,457.43606500120814,womensmurderclub
32,would,452.51090499228764,womensmurderclub
33,think,442.21815141074103,womensmurderclub
34,can,441.83595297214964,womensmurderclub
35,well,434.4051098663817,womensmurderclub
36,will,433.12762332782614,womensmurderclub
37,at,433.0600885561142,womensmurderclub
38,if,424.16769815032296,womensmurderclub
39,say,412.24450448228254,womensmurderclub
40,there,391.7840604038121,womensmurderclub
41,right,391.2296103341232,womensmurderclub
42,like,388.221283052838,womensmurderclub
43,tell,379.98302474962134,womensmurderclub
44,all,375.1592615389262,womensmurderclub
45,out,370.726200648139,womensmurderclub
46,her,367.9488787036095,womensmurderclub
47,uh,366.04061181923186,womensmurderclub
48,okay,356.89124174044764,womensmurderclub
49,but,355.82401506147795,womensmurderclub
50,yeah,341.52740826727575,womensmurderclub
51,here,340.8174858337367,womensmurderclub
52,see,339.3191524879583,womensmurderclub
53,lindsay,336.3549403831716,womensmurderclub
54,come,332.1603539047468,womensmurderclub
55,how,324.2572169981248,womensmurderclub
56,one,317.07536324581895,womensmurderclub
57,when,307.70131323447157,womensmurderclub
58,from,298.5171484221758,womensmurderclub
59,jacobi,294.3195286020984,womensmurderclub
60,take,290.0329134414336,womensmurderclub
61,up,285.2432837990095,womensmurderclub
62,why,284.6820540387083,womensmurderclub
63,could,271.5452775047805,womensmurderclub
64,need,268.7686291259628,womensmurderclub
65,talk,268.24703582046925,womensmurderclub
66,who,266.8513587972241,womensmurderclub
