,mots,poids,serie
0,etre,5559.352957094103,womensmurderclub
1,le,5138.033077739894,womensmurderclub
2,avoir,4751.446382066424,womensmurderclub
3,de,3705.8665057296475,womensmurderclub
4,je,3575.370970359424,womensmurderclub
5,ce,2743.1346963690967,womensmurderclub
6,un,2550.039433703495,womensmurderclub
7,que,2431.009371724791,womensmurderclub
8,pas,1994.3993277438647,womensmurderclub
9,il,1937.4493123032478,womensmurderclub
10,ne,1888.3466941865786,womensmurderclub
11,vous,1663.5006352567827,womensmurderclub
12,et,1340.032045261452,womensmurderclub
13,cela,1086.1369736919366,womensmurderclub
14,lui,1069.365811771064,womensmurderclub
15,pouvoir,919.6524214122364,womensmurderclub
16,aller,860.8081165686747,womensmurderclub
17,tu,857.0901635620017,womensmurderclub
18,en,856.1393875152835,womensmurderclub
19,faire,827.911040114304,womensmurderclub
20,pour,816.6085623719326,womensmurderclub
21,dire,740.496151008191,womensmurderclub
22,on,726.0,womensmurderclub
23,dans,683.5975184559663,womensmurderclub
24,me,654.852596948165,womensmurderclub
25,mon,651.4930356675666,womensmurderclub
26,son,650.5868297826603,womensmurderclub
27,tout,638.5684665788677,womensmurderclub
28,sur,626.1556984250566,womensmurderclub
29,savoir,620.8398125037138,womensmurderclub
30,se,600.0063686202031,womensmurderclub
31,vouloir,576.0073219734843,womensmurderclub
32,qui,575.4929627950696,womensmurderclub
33,mais,573.5430688854474,womensmurderclub
34,te,519.8068805846934,womensmurderclub
35,avec,510.12841149742,womensmurderclub
36,devoir,508.4404806862721,womensmurderclub
37,quelque,471.905194409831,womensmurderclub
38,voir,456.38550652701065,womensmurderclub
39,si,445.5758417177514,womensmurderclub
40,luire,423.9819290772568,womensmurderclub
41,moi,418.9387047016566,womensmurderclub
42,parler,379.96608270414157,womensmurderclub
43,bien,375.2487694525764,womensmurderclub
44,votre,371.2391297392634,womensmurderclub
45,au,370.41628564429607,womensmurderclub
46,taire,364.8346900300828,womensmurderclub
47,ou,364.828169857907,womensmurderclub
48,nous,361.1930313982549,womensmurderclub
49,non,340.34794625528815,womensmurderclub
50,penser,339.5233774682415,womensmurderclub
51,quand,316.47170160632123,womensmurderclub
52,comme,301.8287385010879,womensmurderclub
53,quoi,301.1084307484614,womensmurderclub
54,rien,290.13573551833525,womensmurderclub
55,ouai,280.9760477365361,womensmurderclub
56,chose,280.01230505619225,womensmurderclub
57,alors,266.0742053587345,womensmurderclub
58,trouver,261.8215099879474,womensmurderclub
59,pourquoi,261.50556395890754,womensmurderclub
60,lindsay,249.93040709027335,womensmurderclub
61,plus,249.60419691409325,womensmurderclub
62,venir,245.9931332561885,womensmurderclub
63,tuer,238.73975107959336,womensmurderclub
64,jacobi,233.72433153696048,womensmurderclub
65,autre,231.52403433304553,womensmurderclub
66,passer,229.97114231635783,womensmurderclub
67,bon,227.85683108930908,womensmurderclub
68,prendre,210.1582315841491,womensmurderclub
69,ok,206.60098973963179,womensmurderclub
70,la,205.7940463486213,womensmurderclub
71,juste,203.21255472786223,womensmurderclub
72,ton,193.46264200719807,womensmurderclub
73,femme,191.64107249922003,womensmurderclub
74,deux,184.473086704173,womensmurderclub
75,personne,184.0764942733383,womensmurderclub
76,toi,182.2461800337177,womensmurderclub
77,meme,181.49652301101335,womensmurderclub
78,notre,181.37160668412452,womensmurderclub
79,appeler,180.74130044329274,womensmurderclub
80,vraiment,176.55789668563185,womensmurderclub
81,par,174.16537154665855,womensmurderclub
82,peu,169.01569019642884,womensmurderclub
83,encore,160.94865581380327,womensmurderclub
84,tom,158.54835008512566,womensmurderclub
85,parce,158.0389901512801,womensmurderclub
86,aimer,156.3577242986069,womensmurderclub
87,affaire,152.02539289622754,womensmurderclub
88,merci,149.53708680553757,womensmurderclub
89,besoin,145.5877727434585,womensmurderclub
90,mort,144.4924811973293,womensmurderclub
91,maintenant,143.572238585965,womensmurderclub
92,jamais,143.572238585965,womensmurderclub
93,apres,141.26798742290552,womensmurderclub
94,essayer,140.2011956709654,womensmurderclub
95,ici,139.26515304880093,womensmurderclub
96,galvan,137.64842074753514,womensmurderclub
97,inspecteur,137.22378035178969,womensmurderclub
98,fois,134.29139758277233,womensmurderclub
99,pere,133.8738140169733,womensmurderclub
100,theresa,133.71096073003258,womensmurderclub
101,silas,133.6090958310351,womensmurderclub
102,arriver,133.44451154224416,womensmurderclub
103,temps,133.25124278160894,womensmurderclub
104,comment,132.42357095519242,womensmurderclub
105,aussi,131.58560224683882,womensmurderclub
106,isela,130.24417561112818,womensmurderclub
107,oui,128.94170959765597,womensmurderclub
108,petit,128.28865183832085,womensmurderclub
109,tres,128.13388132749387,womensmurderclub
110,donc,127.18012331612466,womensmurderclub
111,toujours,126.68782741352295,womensmurderclub
112,boxer,125.43168830593585,womensmurderclub
113,laisser,124.41367309781626,womensmurderclub
114,voiture,122.22166450229544,womensmurderclub
115,entrer,121.62031431698203,womensmurderclub
116,avant,120.99768200734223,womensmurderclub
117,nivaldo,119.39049431020084,womensmurderclub
118,bebe,118.27300573061487,womensmurderclub
119,donner,116.65282756992151,womensmurderclub
120,oh,116.46307446726635,womensmurderclub
121,flic,115.81470876796388,womensmurderclub
122,glenn,115.0046574262452,womensmurderclub
123,maison,114.98557115817891,womensmurderclub
124,joe,114.29602507749468,womensmurderclub
125,javier,114.18919887318148,womensmurderclub
126,heure,113.2635563643676,womensmurderclub
127,linz,113.06834561404673,womensmurderclub
128,seul,112.64481212910391,womensmurderclub
129,fille,111.59791582959748,womensmurderclub
130,nuit,111.59791582959748,womensmurderclub
131,vie,111.56156857183981,womensmurderclub
132,demander,111.48528812390019,womensmurderclub
133,jour,111.44343758866714,womensmurderclub
134,meurtre,111.22951656638324,womensmurderclub
135,nouveau,110.05761810854268,womensmurderclub
