,mots,poids,serie
0,etre,31145.457390214255,xfiles
1,le,30877.685902776855,xfiles
2,avoir,24805.650620939447,xfiles
3,de,21088.017719292067,xfiles
4,je,18328.765775881624,xfiles
5,ce,15960.056415238381,xfiles
6,vous,15066.403404557239,xfiles
7,un,14595.680252445494,xfiles
8,que,13565.163345942485,xfiles
9,il,10969.107798404633,xfiles
10,ne,10613.856296505668,xfiles
11,pas,10575.54625810035,xfiles
12,cela,5864.801823730022,xfiles
13,et,5776.127140151698,xfiles
14,pouvoir,5378.369462701544,xfiles
15,qui,5097.4486266204385,xfiles
16,mulder,5045.49267955504,xfiles
17,en,5040.640888292231,xfiles
18,faire,4670.97363727894,xfiles
19,aller,4556.230460744352,xfiles
20,on,4257.0,xfiles
21,cest,4228.605357362196,xfiles
22,dans,3922.5476654259023,xfiles
23,me,3879.222050492939,xfiles
24,tu,3829.3465667826413,xfiles
25,mais,3783.116005218982,xfiles
26,lui,3753.457572806269,xfiles
27,tout,3702.4690898755503,xfiles
28,savoir,3656.428545338584,xfiles
29,dire,3542.878672008121,xfiles
30,mon,3464.1752224774327,xfiles
31,nous,3381.7896214102097,xfiles
32,voir,3377.9190045137866,xfiles
33,scully,3307.9238749244137,xfiles
34,se,3234.816943865443,xfiles
35,pour,3153.7985857122917,xfiles
36,son,3036.071872319081,xfiles
37,votre,2997.838105195379,xfiles
38,ou,2906.327780104001,xfiles
39,vouloir,2783.7538610331444,xfiles
40,moi,2771.9026841550467,xfiles
41,sur,2768.899539318476,xfiles
42,devoir,2526.999864141738,xfiles
43,si,2335.3416174736267,xfiles
44,te,2189.768732387164,xfiles
45,au,2162.7112256565215,xfiles
46,quoi,2141.938891162028,xfiles
47,croire,2045.5861199703504,xfiles
48,avec,1899.2473166519328,xfiles
49,luire,1874.9798457201396,xfiles
50,ici,1855.2107888286696,xfiles
51,rien,1777.288619860888,xfiles
52,quelque,1768.80776769926,xfiles
53,bien,1755.147630825995,xfiles
54,trouver,1751.6703603709773,xfiles
55,pourquoi,1735.5974372304565,xfiles
56,chose,1700.7565574151677,xfiles
57,ie,1653.8041762052558,xfiles
58,ia,1636.0071384984774,xfiles
59,non,1635.4099398337169,xfiles
60,homme,1615.6713187270084,xfiles
61,comme,1613.4993733701774,xfiles
62,jai,1575.646142384751,xfiles
63,doggett,1568.3569479840019,xfiles
64,venir,1556.283087947315,xfiles
65,par,1534.8323367549285,xfiles
66,taire,1528.2706600799322,xfiles
67,oui,1445.9891719165707,xfiles
68,la,1425.1512835372437,xfiles
69,tuer,1422.350911361521,xfiles
70,plus,1379.6687677530049,xfiles
71,autre,1375.8190817201123,xfiles
72,parler,1370.231669928652,xfiles
73,ii,1358.9094231762874,xfiles
74,meme,1335.8798135134946,xfiles
75,passer,1287.838396971604,xfiles
76,agent,1134.1084468966524,xfiles
77,notre,1104.139430164758,xfiles
78,ies,1097.945639995812,xfiles
79,arriver,1089.5153157562972,xfiles
80,comment,1077.49777392601,xfiles
81,peutetre,1026.4858135086436,xfiles
82,toi,1012.8371775325197,xfiles
83,falloir,1008.4351062116426,xfiles
84,mort,990.5762322083576,xfiles
85,prendre,978.4967262557982,xfiles
86,ll,961.4214263737681,xfiles
87,penser,961.1383173105941,xfiles
88,quand,941.0869021451132,xfiles
89,appeler,890.1931339590212,xfiles
90,quon,889.7987198322808,xfiles
91,quil,852.6609872737262,xfiles
92,affaire,849.6530291866939,xfiles
93,vie,839.0041252868501,xfiles
94,aussi,836.1515484545961,xfiles
95,deux,829.3405436444017,xfiles
96,heure,822.8264241764352,xfiles
97,mourir,819.9771108539617,xfiles
98,extraterrestre,814.0327296877373,xfiles
99,fait,790.1151389583437,xfiles
100,personne,786.5086573497183,xfiles
101,alors,778.1415439736575,xfiles
102,fbi,775.5866342581904,xfiles
103,ton,744.775257669329,xfiles
104,questce,723.205914062908,xfiles
105,bon,716.8828954739665,xfiles
106,tres,709.424172227832,xfiles
107,quel,706.2315867425274,xfiles
108,seul,697.7253288593749,xfiles
109,jamais,694.7576143067962,xfiles
110,aucun,690.8709521617451,xfiles
111,dieu,686.6281249159827,xfiles
112,skinner,683.9736663533806,xfiles
113,celui,677.5501386272966,xfiles
114,femme,658.8651748733515,xfiles
115,peu,650.9614206575328,xfiles
116,apres,648.8471515354382,xfiles
117,sans,646.1624162548063,xfiles
118,connaitre,637.19975816314,xfiles
119,sest,635.7213276843305,xfiles
120,mettre,623.3041108745329,xfiles
121,avant,619.7043443349014,xfiles
122,entrer,618.236597777992,xfiles
123,encore,609.4172404600318,xfiles
124,verite,608.1015715849102,xfiles
125,depuis,603.0340584883692,xfiles
126,dun,597.2955139277879,xfiles
127,merci,595.2726340143515,xfiles
128,sortir,583.3992508775979,xfiles
129,partir,583.3992508775979,xfiles
130,quii,583.2305758571839,xfiles
131,petit,581.25845956375,xfiles
132,corps,573.2307203244256,xfiles
133,peur,570.6371322473489,xfiles
134,aider,568.2678582035392,xfiles
135,sou,562.7371650323456,xfiles
136,chez,559.8989198782201,xfiles
137,pere,555.5763281704393,xfiles
138,temps,547.9957359393668,xfiles
139,retrouver,547.2914144264191,xfiles
140,besoin,547.2092147943785,xfiles
141,laisser,543.0488704134413,xfiles
142,victime,532.3757224197916,xfiles
143,ca,526.2555170271803,xfiles
144,juste,524.1593673536129,xfiles
145,gens,521.9538489437145,xfiles
146,entendre,520.8362045378792,xfiles
147,nom,519.3209731934257,xfiles
148,arreter,515.1971648149934,xfiles
149,sang,514.1497681787143,xfiles
150,deja,509.5002038708404,xfiles
151,chercher,508.4404806862721,xfiles
152,eiie,503.6375406451656,xfiles
153,toujours,501.68379655755086,xfiles
154,comprendre,489.8595993322887,xfiles
155,visiontext,487.05180462734273,xfiles
156,gouvernement,484.1235997051263,xfiles
157,jour,483.4447715114011,xfiles
158,an,481.0,xfiles
159,monde,480.8420338645331,xfiles
160,mal,473.3468194489984,xfiles
161,enfant,470.84885078404125,xfiles
162,muider,466.5844606857471,xfiles
163,ceter,466.41401629567565,xfiles
164,demander,466.21120488176444,xfiles
165,mentir,455.2807567316415,xfiles
166,essayer,454.3870076565023,xfiles
167,aimer,443.8541851057229,xfiles
168,dana,443.68893250603816,xfiles
169,vrai,442.1729192530497,xfiles
170,preuve,439.55905327383607,xfiles
171,donner,437.44810338720566,xfiles
172,fois,434.37464403316477,xfiles
173,attendre,432.4277842381583,xfiles
174,fbl,430.6259212004908,xfiles
175,raison,429.3472125837389,xfiles
176,voiture,428.6365417052333,xfiles
177,iti,426.5501619749872,xfiles
178,maintenant,412.5639039826581,xfiles
179,meurtre,408.4208811421885,xfiles
180,trop,407.6131371348662,xfiles
181,iui,407.57930831680585,xfiles
182,rapport,407.57758556361523,xfiles
183,parce,406.86633634691265,xfiles
184,porte,402.87419274831694,xfiles
185,lagent,402.4290973414569,xfiles
186,dernier,396.9551925623719,xfiles
187,as,393.0,xfiles
188,nouveau,392.5935929543537,xfiles
189,vraiment,389.75988513620615,xfiles
190,veux,389.75988513620615,xfiles
191,trois,389.30829092126294,xfiles
192,perdre,388.3724119675075,xfiles
193,arme,388.3724119675075,xfiles
194,vivre,388.23406064922267,xfiles
195,ni,387.6975927380392,xfiles
196,allez,384.5095585118373,xfiles
197,moins,380.0634822405688,xfiles
198,monsieur,379.15002703120274,xfiles
199,ager,378.4439403619098,xfiles
200,fai,376.43476085804525,xfiles
201,paranormal,373.9801560328544,xfiles
202,dr,371.3357428496066,xfiles
203,nest,370.718067685896,xfiles
